axis,num_traits,mean_abs_shift,max_abs_shift,signed_mean_shift,trait_mean_std,strongest_positive_trait,strongest_positive_mean_delta,strongest_negative_trait,strongest_negative_mean_delta
entertaining,63,0.3065066140972906,0.8778694190084935,0.3045967896956773,0.22955732954207375,entertaining,0.8778694190084935,factual,-0.04165699183940887
formal,63,0.3033792743843699,1.1402012526988983,-0.19913082243431182,0.3144882966714764,socratic,0.4177278995513916,skeptical,-1.1402012526988983
casual,63,0.30269732054263826,1.1459262490272522,0.1874212615546726,0.31932881646609684,skeptical,1.1459262490272522,formal,-0.4309370994567871
ritualistic,63,0.2938580422174363,0.9957303971052169,-0.1990607824590471,0.2933461413141155,formal,0.3062993764877319,skeptical,-0.9957303971052169
serious,63,0.29110871964976903,1.1361201047897338,-0.20488991202816131,0.3004017104617166,formal,0.37551379203796387,skeptical,-1.1361201047897338
provocative,63,0.2801442047196721,0.7029739260673523,0.2801442047196721,0.159798372563457,speculative,0.7029739260673523,factual,0.0520807683467865
solemn,63,0.27975921365949846,1.1178873300552368,-0.1804899359506274,0.296901807225844,formal,0.389083194732666,skeptical,-1.1178873300552368
playful,63,0.2700201658738984,0.8372223295271397,0.26350073074064556,0.21206013313680852,entertaining,0.8372223295271397,socratic,-0.08964008688926697
data_driven,63,0.26274718831455895,0.7358072996139526,-0.2494822847464728,0.1725377123052544,data_driven,0.13941280841827391,metaphorical,-0.7358072996139526
subversive,63,0.25986245898973376,0.8009246945381164,0.2582254539406489,0.17535407932065095,metaphorical,0.8009246945381164,factual,-0.050899279117584226
quantitative,63,0.25490664470763436,0.8426341772079468,-0.2313106379811726,0.19977326988602093,quantitative,0.3508295059204102,metaphorical,-0.8426341772079468
pedantic,63,0.25314819316364945,0.7095847353339195,-0.09866210563137891,0.28270194148461797,interdisciplinary,0.5376966625452042,skeptical,-0.7095847353339195
accessible,63,0.25086995467307077,0.7990411281585693,0.11756566980528453,0.2899333338725525,generalist,0.7990411281585693,socratic,-0.4185678124427795
empathetic,63,0.2433365247079304,0.7848547637462616,0.16644856291157858,0.24811130447834912,skeptical,0.7848547637462616,quantitative,-0.2958801746368408
qualitative,63,0.2362331325099582,0.7808043241500855,0.21431669536091033,0.19501350703478945,metaphorical,0.7808043241500855,quantitative,-0.2938352108001709
introspective,63,0.23605029327528818,0.6145325779914856,0.22564495035580226,0.17505801397646467,interdisciplinary,0.6145325779914856,assertive,-0.14655895233154298
condescending,63,0.234555008155959,0.6705691337585449,0.2306395120563961,0.16652563921572017,skeptical,0.6705691337585449,contemporary,-0.07150888442993164
fundamentalist,63,0.23285991596797156,0.7454254865646363,-0.22065959449798342,0.1820314868566864,qualitative,0.11070566177368164,pessimistic,-0.7454254865646363
emotional,63,0.2312942084220667,0.6559711247682571,0.19451115503907204,0.2144365702657147,skeptical,0.6559711247682571,quantitative,-0.1856452703475952
grounded,63,0.21213640506778444,0.6769681692123413,-0.19109790124117382,0.20799891618122626,skeptical,0.24196551442146302,theoretical,-0.6769681692123413
narrative,63,0.21208839447252334,0.6692440420389175,0.1862696345126818,0.1983618823011068,entertaining,0.6692440420389175,assertive,-0.2174426406621933
disorganized,63,0.20392659836345248,0.9279567480087281,0.13507634070184496,0.2231675191423416,skeptical,0.9279567480087281,formal,-0.23348650932312012
whimsical,63,0.20201917252843343,0.7302329927682877,0.20169185504080758,0.143788259539345,metaphorical,0.7302329927682877,assertive,-0.010310500860214233
dispassionate,63,0.20122830194849817,0.5534625113010406,-0.17716720963990876,0.1785349380699583,quantitative,0.21555563807487488,anxious,-0.5534625113010406
deconstructionist,63,0.1995820240960235,0.6161735355854034,0.19157711500449784,0.15548532828037093,pessimistic,0.6161735355854034,decisive,-0.10403314828872681
reverent,63,0.19499406057690818,0.8211310863494873,-0.09611630742512052,0.22745973305200348,theoretical,0.3499302387237549,skeptical,-0.8211310863494873
