axis,direction,rank,trait,count,mean_delta,min_delta,max_delta
absolutist,positive,1,optimistic,10,0.15115415155887604,-0.011215806007385254,0.5107412487268448
absolutist,positive,2,decisive,10,0.10436142683029175,-0.2880134582519531,0.5088658332824707
absolutist,positive,3,assertive,10,0.09476911723613739,-0.21880578994750977,0.34925949573516846
absolutist,positive,4,progressive,10,0.07582394182682037,-0.12236756086349487,0.30913639068603516
absolutist,negative,1,pessimistic,10,-0.6246428519487381,-1.8072152882814407,-0.1973327398300171
absolutist,negative,2,analytical,10,-0.48765589892864225,-1.49667589366436,-0.1409372091293335
absolutist,negative,3,entertaining,10,-0.46456671357154844,-1.2921474277973175,0.17343300580978394
absolutist,negative,4,speculative,10,-0.4552930846810341,-0.9475222527980804,-0.11540710926055908
abstract,positive,1,theoretical,10,0.5647910475730896,0.2957664728164673,0.9598082900047302
abstract,positive,2,speculative,10,0.4230347633361816,0.04059708118438721,0.8649866580963135
abstract,positive,3,holistic,10,0.33988088071346284,-0.18885552883148193,0.7291513681411743
abstract,positive,4,socratic,10,0.33423133492469786,-0.15874290466308594,0.7166604697704315
abstract,negative,1,skeptical,10,-0.34457377195358274,-0.8070880770683289,0.40949511528015137
abstract,negative,2,entertaining,10,-0.2584787130355835,-0.486144483089447,-0.037897348403930664
abstract,negative,3,assertive,10,-0.20529307126998902,-0.6180322170257568,0.2500724196434021
abstract,negative,4,empathetic,10,-0.20008541345596315,-0.669765830039978,0.17718923091888428
accessible,positive,1,generalist,10,0.7990411281585693,-0.029365837574005127,1.8461940288543701
accessible,positive,2,empathetic,10,0.7587384700775146,-0.09814834594726562,1.8697985410690308
accessible,positive,3,skeptical,10,0.717475152015686,-0.1117628812789917,1.7089388370513916
accessible,positive,4,flexible,10,0.6200594663619995,-0.13798338174819946,2.5465115308761597
accessible,negative,1,socratic,10,-0.4185678124427795,-1.6155000925064087,0.10983359813690186
accessible,negative,2,speculative,10,-0.41643511056900023,-1.412214756011963,0.013562500476837158
accessible,negative,3,formal,10,-0.39786243438720703,-1.0094372034072876,-0.08068156242370605
accessible,negative,4,interdisciplinary,10,-0.39225183725357055,-0.7199463844299316,-0.18712842464447021
accommodating,positive,1,anxious,10,0.5371678709983826,-0.13414549827575684,0.8779783248901367
accommodating,positive,2,empathetic,10,0.504185152053833,0.040683865547180176,1.1786333322525024
accommodating,positive,3,generalist,10,0.4612352132797241,0.08490610122680664,0.9565485119819641
accommodating,positive,4,skeptical,10,0.4173063158988953,-0.17478609085083008,0.9562486410140991
accommodating,negative,1,decisive,10,-0.13811202049255372,-0.38603270053863525,0.12274372577667236
accommodating,negative,2,optimistic,10,-0.12889701128005981,-0.5517796277999878,0.16312658786773682
accommodating,negative,3,quantitative,10,-0.10779967308044433,-0.4497408866882324,0.20602375268936157
accommodating,negative,4,concise,10,-0.10618879795074462,-0.6088919639587402,0.036676764488220215
acerbic,positive,1,confident,10,0.11389675140380859,-0.10259485244750977,0.2449049949645996
acerbic,positive,2,qualitative,10,0.09890246391296387,-0.2460331916809082,0.3627512454986572
acerbic,positive,3,data_driven,10,0.06956219673156738,-0.29729747772216797,0.5806267261505127
acerbic,positive,4,assertive,10,0.03445148468017578,-0.33777904510498047,0.46224498748779297
acerbic,negative,1,nurturing,10,-0.3777963161468506,-0.5760843753814697,-0.06493330001831055
acerbic,negative,2,pessimistic,10,-0.35083885192871095,-0.9712300300598145,0.09313631057739258
acerbic,negative,3,inclusive,10,-0.3154440879821777,-0.5030150413513184,0.08378386497497559
acerbic,negative,4,generalist,10,-0.2927233219146729,-1.0198488235473633,0.21638154983520508
adventurous,positive,1,entertaining,10,0.29788332581520083,0.13050007820129395,0.482821524143219
adventurous,positive,2,interdisciplinary,10,0.2162128210067749,-0.06523753702640533,0.5509370565414429
adventurous,positive,3,inspirational,10,0.20765524804592134,0.06040535867214203,0.4454508125782013
adventurous,positive,4,speculative,10,0.1893765926361084,-0.015263646841049194,0.31391283869743347
adventurous,negative,1,traditional,10,-0.07250026762485504,-0.2406313419342041,0.042919009923934937
adventurous,negative,2,reductionist,10,-0.06443479061126708,-0.22477015852928162,0.008394122123718262
adventurous,negative,3,specialized,10,-0.03675299882888794,-0.16983762383460999,0.14024567604064941
adventurous,negative,4,methodical,10,-0.033208370208740234,-0.1284584254026413,0.11120514571666718
agreeable,positive,1,nurturing,10,0.3418186902999878,-0.016642212867736816,0.5862340927124023
agreeable,positive,2,generalist,10,0.31116819381713867,-0.058542490005493164,0.8189464807510376
agreeable,positive,3,inclusive,10,0.25633490085601807,-0.05808103084564209,0.449232816696167
agreeable,positive,4,humble,10,0.25277280807495117,0.061342477798461914,0.4924752712249756
agreeable,negative,1,confident,10,-0.09830670356750489,-0.1984950304031372,0.12057960033416748
agreeable,negative,2,qualitative,10,-0.0782477855682373,-0.3438115119934082,0.17785286903381348
agreeable,negative,3,assertive,10,-0.07733466625213622,-0.4153869152069092,0.1792973279953003
agreeable,negative,4,skeptical,10,-0.045867514610290525,-0.4499880075454712,0.24738335609436035
altruistic,positive,1,nurturing,10,0.4634653091430664,-0.12060928344726562,1.3855252265930176
altruistic,positive,2,contemporary,10,0.3807680130004883,0.11960792541503906,0.7014679908752441
altruistic,positive,3,optimistic,10,0.2871713638305664,0.1530928611755371,0.5775809288024902
altruistic,positive,4,supportive,10,0.26915864944458007,-0.11980915069580078,0.7731418609619141
altruistic,negative,1,skeptical,10,-0.30779666900634767,-1.2064104080200195,0.42818546295166016
altruistic,negative,2,qualitative,10,-0.24768409729003907,-0.7061333656311035,0.36597776412963867
altruistic,negative,3,confident,10,-0.23974065780639647,-0.4341559410095215,-0.16404104232788086
altruistic,negative,4,independent,10,-0.21328973770141602,-0.46195220947265625,0.12745094299316406
animated,positive,1,entertaining,10,0.35441810488700864,0.09219159185886383,0.5078893601894379
animated,positive,2,generalist,10,0.332480651140213,0.24898505210876465,0.4769471287727356
animated,positive,3,metaphorical,10,0.325885021686554,-0.20768985152244568,0.7128022313117981
animated,positive,4,narrative,10,0.306279394030571,0.1969035565853119,0.4354074001312256
animated,negative,1,decisive,10,-0.13417510092258453,-0.38916347920894623,0.0969037115573883
animated,negative,2,assertive,10,-0.09301524758338928,-0.40714555978775024,0.1814015507698059
animated,negative,3,reductionist,10,-0.0914242297410965,-0.24794188141822815,-0.01701122522354126
animated,negative,4,factual,10,-0.04679049551486969,-0.16281002759933472,0.03504735231399536
anxious,positive,1,skeptical,10,0.3675819158554077,-0.035456180572509766,0.8186625242233276
anxious,positive,2,entertaining,10,0.22637884616851806,0.0347900390625,0.45479416847229004
anxious,positive,3,confident,10,0.21684274673461915,0.09622812271118164,0.421842098236084
anxious,positive,4,qualitative,10,0.15712828636169435,-0.16933321952819824,0.5999882221221924
anxious,negative,1,nurturing,10,-0.33373398780822755,-0.7172727584838867,0.0955357551574707
anxious,negative,2,theoretical,10,-0.2915804862976074,-0.4796164035797119,-0.012342453002929688
anxious,negative,3,verbose,10,-0.27539496421813964,-0.5495865345001221,0.023787260055541992
anxious,negative,4,formal,10,-0.2652305603027344,-0.4329475164413452,-0.17277741432189941
arrogant,positive,1,skeptical,10,0.27098793983459474,0.08571052551269531,0.5201506614685059
arrogant,positive,2,interdisciplinary,10,0.2635429620742798,-0.07464265823364258,0.9386032819747925
arrogant,positive,3,speculative,10,0.2288835883140564,-0.015225648880004883,0.43937933444976807
arrogant,positive,4,metaphorical,10,0.22399187088012695,0.09276556968688965,0.4550929069519043
arrogant,negative,1,curious,10,-0.07988295555114747,-0.215722918510437,-0.014164209365844727
arrogant,negative,2,adaptable,10,-0.0696303367614746,-0.16467702388763428,-0.020416259765625
arrogant,negative,3,contemporary,10,-0.04396443367004395,-0.25712788105010986,0.14228248596191406
arrogant,negative,4,reductionist,10,-0.026906943321228026,-0.24095988273620605,0.17901349067687988
artistic,positive,1,metaphorical,10,0.4276640504598618,-0.2315414547920227,0.8490935564041138
artistic,positive,2,inspirational,10,0.3669572673738003,0.06338167190551758,0.8452875018119812
artistic,positive,3,entertaining,10,0.36005877926945684,-0.012133270502090454,0.6798833645880222
artistic,positive,4,generalist,10,0.3313005790114403,0.035477280616760254,0.6086485385894775
artistic,negative,1,assertive,10,-0.2881877988576889,-0.8718651682138443,0.13824665546417236
artistic,negative,2,decisive,10,-0.18573958575725555,-0.6267698332667351,0.07008016109466553
artistic,negative,3,reductionist,10,-0.1134507916867733,-0.24604738131165504,0.14173083752393723
artistic,negative,4,factual,10,-0.07918558418750762,-0.3014344573020935,0.21361390501260757
ascetic,positive,1,intuitive,10,0.19998515546321868,-0.15531909465789795,0.6720762252807617
ascetic,positive,2,theoretical,10,0.16233527809381484,-0.027786344289779663,0.3965352773666382
ascetic,positive,3,concise,10,0.15871163755655288,-0.08554345369338989,0.4081563949584961
ascetic,positive,4,nurturing,10,0.15598656833171845,-0.03386478126049042,0.6924573183059692
ascetic,negative,1,skeptical,10,-0.408083126693964,-0.6518745422363281,-0.2759263515472412
ascetic,negative,2,entertaining,10,-0.2915224328637123,-0.6443459987640381,-0.007974028587341309
ascetic,negative,3,analytical,10,-0.1609942376613617,-0.6825909614562988,0.09559404850006104
ascetic,negative,4,pessimistic,10,-0.15851498544216155,-0.7176876068115234,0.06646662950515747
assertive,positive,1,nurturing,10,0.24848880171775817,0.12590837478637695,0.46645164489746094
assertive,positive,2,optimistic,10,0.21978891491889954,-0.1973648965358734,0.5199596285820007
assertive,positive,3,supportive,10,0.19069369435310363,-0.02207130193710327,0.36508095264434814
assertive,positive,4,holistic,10,0.17979165017604828,0.014919936656951904,0.37881557643413544
assertive,negative,1,skeptical,10,-0.26181709617376325,-0.4358866885304451,-0.09546029567718506
assertive,negative,2,quantitative,10,-0.14737197756767273,-0.8062496185302734,0.3221784234046936
assertive,negative,3,confident,10,-0.08140818327665329,-0.3213643953204155,0.1327185332775116
assertive,negative,4,qualitative,10,-0.07932853698730469,-0.20136821269989014,0.07681763172149658
avoidant,positive,1,skeptical,10,0.2924479007720947,-0.2880210876464844,1.2699334621429443
avoidant,positive,2,qualitative,10,0.2567180633544922,-0.3312811851501465,0.7554073333740234
avoidant,positive,3,independent,10,0.20371227264404296,-0.1642136573791504,0.4761471748352051
avoidant,positive,4,confident,10,0.2005295753479004,0.08467292785644531,0.43082618713378906
avoidant,negative,1,nurturing,10,-0.5860099792480469,-1.5244998931884766,0.08292293548583984
avoidant,negative,2,contemporary,10,-0.44372987747192383,-0.939903736114502,0.015594959259033203
avoidant,negative,3,metaphorical,10,-0.36944026947021485,-0.9597029685974121,0.24746322631835938
avoidant,negative,4,supportive,10,-0.3397668838500977,-0.8859500885009766,0.02878093719482422
benevolent,positive,1,nurturing,10,0.5469696044921875,0.05305075645446777,1.200465202331543
benevolent,positive,2,generalist,10,0.42429370880126954,-0.06809139251708984,1.2874011993408203
benevolent,positive,3,inclusive,10,0.35793132781982423,-0.03258490562438965,0.6667056083679199
benevolent,positive,4,narrative,10,0.2961897373199463,0.041960954666137695,0.7113232612609863
benevolent,negative,1,confident,10,-0.22326045036315917,-0.3050413131713867,-0.10241913795471191
benevolent,negative,2,qualitative,10,-0.19019713401794433,-0.5205256938934326,0.25122690200805664
benevolent,negative,3,assertive,10,-0.1815566062927246,-0.8177294731140137,0.1707925796508789
benevolent,negative,4,skeptical,10,-0.14327926635742189,-0.9509594440460205,0.35683250427246094
bitter,positive,1,skeptical,10,0.3100517749786377,-0.18830490112304688,0.816741943359375
bitter,positive,2,qualitative,10,0.16205291748046874,-0.3089618682861328,0.7619199752807617
bitter,positive,3,confident,10,0.16004767417907714,-0.12695074081420898,0.31892895698547363
