topic,axis,neutral_mean,trait_mean,shift_trait_minus_neutral
0,disorganized,-2.747711706161499,-1.3447609215974807,1.4029507845640181
0,chaotic,0.09460239112377167,0.386952331662178,0.29234994053840635
1,disorganized,-2.8066568613052367,-2.173468178510666,0.6331886827945707
1,chaotic,-1.4122263550758363,-1.279242593050003,0.13298376202583317
2,disorganized,-2.634896731376648,-2.346127676963806,0.28876905441284206
2,chaotic,0.05038619637489319,0.1824355185031891,0.1320493221282959
3,disorganized,-1.9785155296325683,-1.5517863631248474,0.42672916650772086
3,chaotic,0.042263203859329225,0.1990060955286026,0.15674289166927338
4,disorganized,-2.7510766983032227,-2.1322496831417084,0.6188270151615143
4,chaotic,-0.9937647581100464,-0.6702082574367523,0.3235565006732941
