axis,num_traits,mean_abs_shift,max_abs_shift,signed_mean_shift,trait_mean_std,strongest_positive_trait,strongest_positive_mean_delta,strongest_negative_trait,strongest_negative_mean_delta
introspective,50,0.9988695532385511,1.5496189610825644,0.9988695532385511,0.25757286411893454,verbose,1.5496189610825644,concise,0.5038637345837008
avoidant,50,0.911010251178196,1.4883149137368072,-0.911010251178196,0.3048546158129842,spontaneous,-0.31477109264386327,methodical,-1.4883149137368072
fundamentalist,50,0.8288902122348368,1.3078023775203809,-0.8288902122348368,0.2242885233074488,spontaneous,-0.3527566163163436,inspirational,-1.3078023775203809
reserved,50,0.8064271767772793,1.5222660001171262,-0.8064271767772793,0.24431901623899266,concise,-0.3118563385740403,narrative,-1.5222660001171262
altruistic,50,0.783757424867441,1.2672639265656471,0.783757424867441,0.28015786982990337,verbose,1.2672639265656471,spontaneous,0.21013622887824712
egalitarian,50,0.7754404529406694,1.3386215760901168,0.7754404529406694,0.2895328809450009,methodical,1.3386215760901168,spontaneous,0.1729658747974195
elitist,50,0.7099553654492168,1.2197675017210154,-0.7099553654492168,0.2727003346083576,spontaneous,-0.13589122891426086,patient,-1.2197675017210154
benevolent,50,0.687732446458652,1.1391874528848207,0.687732446458652,0.22866826682915217,patient,1.1391874528848207,spontaneous,0.2444224930123279
grounded,50,0.6873640733981209,1.434310444303461,-0.6873640733981209,0.29658998380494844,practical,-0.23448109295633104,inspirational,-1.434310444303461
creative,50,0.6450237609258316,1.1077757219003666,0.6450237609258316,0.193991509788018,inspirational,1.1077757219003666,concise,0.25508684857237723
provocative,50,0.6434214747049372,1.151964803079241,0.6434214747049372,0.19551276303059237,narrative,1.151964803079241,concise,0.28014694010057756
literal,50,0.632057740882377,0.9906759030724827,-0.632057740882377,0.15445918139553377,concise,-0.3452678493434383,narrative,-0.9906759030724827
curious,50,0.6205888155323206,1.1526998165580962,0.6205888155323206,0.2325257652883879,verbose,1.1526998165580962,spontaneous,0.17623360611890493
qualitative,50,0.6157762389182178,1.2720931220699,0.6112406595017308,0.26643334112186356,inspirational,1.2720931220699,data_driven,-0.11338948541217381
risk_taking,50,0.6149289674349488,1.2965748672549788,0.6149289674349488,0.2156711156579829,inspirational,1.2965748672549788,concise,0.23052638913354567
closure_seeking,50,0.6072075467866056,0.9538231137636546,-0.6072075467866056,0.1818003102169281,confident,-0.19801951340726903,curious,-0.9538231137636546
whimsical,50,0.6013605069733675,1.4312713501092635,0.6013605069733675,0.2511743208773092,narrative,1.4312713501092635,data_driven,0.1653199481467406
eloquent,50,0.5962221485877738,1.6210618403397108,0.5962221485877738,0.29382806343090023,narrative,1.6210618403397108,practical,0.20760195847186777
metaphorical,50,0.594366617627523,1.5524576988659406,0.594366617627523,0.2651370912205431,narrative,1.5524576988659406,data_driven,0.14841621534691918
philosophical,50,0.582787331455838,1.4098950589173718,0.582787331455838,0.28340225763530136,narrative,1.4098950589173718,concise,0.13150439255179897
impulsive,50,0.581561252964821,1.0779896823538315,-0.5804167387520838,0.26196815309512034,entertaining,0.015589562622276513,methodical,-1.0779896823538315
submissive,50,0.5606022759268526,1.0856601833491712,-0.5606022759268526,0.2484794303266254,spontaneous,-0.03260133650742079,methodical,-1.0856601833491712
educational,50,0.5547544821982398,1.0302083089544967,0.5547544821982398,0.22033484629448058,methodical,1.0302083089544967,spontaneous,0.12565137210645175
rebellious,50,0.5149603668719824,1.0240630718904573,0.5149603668719824,0.17739176246108238,inspirational,1.0240630718904573,concise,0.1905006290443482
supportive,50,0.5114441486494029,0.9121472473080093,0.5114441486494029,0.16232770828760162,inspirational,0.9121472473080093,confident,0.199105982844894
serene,50,0.5019226066912491,1.002319242503192,0.5018392018151587,0.21139683325266098,inspirational,1.002319242503192,entertaining,-0.0020851219022596204
