axis,direction,rank,trait,count,mean_delta,min_delta,max_delta
absolutist,positive,1,confident,74,-0.21483029223777153,-1.7660598158836365,1.0285580158233643
absolutist,positive,2,playful,74,-0.23254695856893384,-1.0504226684570312,0.8938355445861816
absolutist,positive,3,spontaneous,76,-0.26814241040694087,-1.3550587892532349,0.9415458291769028
absolutist,positive,4,entertaining,74,-0.2800495399011148,-1.4524276852607727,0.58608078956604
absolutist,negative,1,curious,74,-0.6316134414157352,-1.9621655344963074,0.5676683187484741
absolutist,negative,2,speculative,72,-0.6225134208798409,-2.096325546503067,0.21956992149353027
absolutist,negative,3,patient,78,-0.6126721295026633,-1.8596296310424805,0.6360137462615967
absolutist,negative,4,verbose,72,-0.6035847316185633,-1.8796412944793701,0.5146681070327759
abstract,positive,1,verbose,72,0.8801046713358827,-1.2661917209625244,2.6507319509983063
abstract,positive,2,narrative,76,0.8764191644364282,-0.9213147461414337,3.4662586748600006
abstract,positive,3,inspirational,74,0.8761882800105456,-0.4575972259044647,3.0185614824295044
abstract,positive,4,speculative,72,0.826642334047291,-0.4825265407562256,2.1694328784942627
abstract,negative,1,collaborative,74,0.03055103405101879,-2.110927104949951,1.9584977328777313
abstract,negative,2,practical,72,0.039506437049971685,-1.7917001247406006,2.246599406003952
abstract,negative,3,spontaneous,76,0.04629988360561823,-1.9499180316925049,1.8667666912078857
abstract,negative,4,proactive,74,0.04901781275465682,-1.8441258668899536,2.662387490272522
accessible,positive,1,humble,74,0.3147413968234449,-0.7110114991664886,2.1857930198311806
accessible,positive,2,casual,80,0.26658764109015465,-0.6823278665542603,1.3163777887821198
accessible,positive,3,accessible,74,0.13749085326452512,-0.8084641695022583,2.0464567244052887
accessible,positive,4,entertaining,74,0.12675041685233246,-0.6350529193878174,1.227368801832199
accessible,negative,1,verbose,72,-0.5194485630426142,-1.207281082868576,0.10805600881576538
accessible,negative,2,formal,74,-0.44610981300875946,-1.128879874944687,0.10964614152908325
accessible,negative,3,data_driven,72,-0.4230828339027034,-1.3689710199832916,0.41261351108551025
accessible,negative,4,educational,76,-0.4148252414245355,-1.5860310792922974,0.32378149032592773
accommodating,positive,1,humble,74,0.6021686796400998,-0.5945242643356323,2.2260276079177856
accommodating,positive,2,collaborative,74,0.502205169281444,-0.48631560802459717,2.7534848526120186
accommodating,positive,3,curious,74,0.4984708245138864,-0.7791442275047302,2.0274298787117004
accommodating,positive,4,patient,78,0.4916521566800582,-0.389178067445755,2.0385916233062744
accommodating,negative,1,formal,74,0.04602851779074282,-0.8813451528549194,1.4086668491363525
accommodating,negative,2,data_driven,72,0.08649716236525112,-0.8798317909240723,1.1264540553092957
accommodating,negative,3,confident,74,0.10754678076183474,-2.019407570362091,1.6505883634090424
accommodating,negative,4,traditional,70,0.11922008224896022,-0.8037806302309036,2.069734811782837
acerbic,positive,1,entertaining,74,0.25097672037176183,-1.9886674880981445,2.5309094190597534
acerbic,positive,2,narrative,76,0.13975325069929423,-2.045173406600952,2.419763207435608
