axis,composite_score,n_total_traits,n_significant_traits,pct_significant_traits,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_trait,top_direction
introspective,42.08838509454552,50,50,1.0,0.8417677018909104,1.4853097221210676,0.45315631992372224,inspirational,+
creative,41.30031980255127,50,48,0.96,0.8604233292198181,1.5259761379857997,0.44452651936204557,inspirational,+
absolutist,39.26845696934318,50,49,0.98,0.8013970810070036,1.2453703368831057,0.460936420809606,inspirational,-
risk_taking,38.47139530617771,50,48,0.96,0.8014874022120356,1.5828058963661966,0.44759123007478263,inspirational,+
provocative,37.593661073079936,50,49,0.98,0.7672175729199987,1.5874219001239325,0.4196470268972955,pessimistic,+
fundamentalist,37.535629523313375,50,49,0.98,0.766033255577824,1.2983857404567039,0.3925831400762969,inspirational,-
eloquent,36.75921330613221,50,47,0.94,0.7821109214070683,1.5982905812733348,0.40394711805686045,inspirational,+
circumspect,36.51190528908451,50,49,0.98,0.7451409242670308,1.337985253409293,0.45041317571202205,inspirational,+
metaphorical,35.95577132794007,50,48,0.96,0.7490785693320848,1.5929316013011183,0.37953644436825673,inspirational,+
whimsical,35.950724521848436,50,47,0.94,0.7649090323797539,1.5749155418218486,0.3790035567498269,inspirational,+
entertaining,35.019841871543775,50,44,0.88,0.7959054970805404,1.5646452874759338,0.4551413018412171,inspirational,+
curious,34.01507722062212,50,46,0.92,0.7394582004483069,1.3517831260706292,0.3297873938892245,inspirational,+
literal,33.891919908152396,50,48,0.96,0.7060816647531749,1.0611076625352054,0.3104625410546463,inspirational,-
rebellious,33.87932298823905,50,48,0.96,0.705819228921647,1.4006697739857503,0.4034649844682739,pessimistic,+
epicurean,33.624725669499064,50,42,0.84,0.8005887064166444,1.5934734780951019,0.5263601286157679,verbose,+
charismatic,32.84437846114569,50,46,0.92,0.7140082274162106,1.3972697972860426,0.4073528311800624,inspirational,+
innovative,32.80692056560147,50,46,0.92,0.7131939253391625,1.3957179205570902,0.41207206905147403,big_picture,+
deconstructionist,32.629467424013356,50,46,0.92,0.7093362483481165,1.5652087075991716,0.40528600022307126,pessimistic,+
forgiving,32.47429257382631,50,44,0.88,0.738052103950598,1.2276156661226545,0.4479501066725174,inspirational,+
qualitative,32.3901182576604,50,43,0.86,0.7532585641316372,1.732440438980011,0.4349131736258123,inspirational,+
grounded,31.267962198767858,50,43,0.86,0.7271619115992525,1.5195164094939233,0.37176049036514164,inspirational,-
nurturing,30.83480430193218,50,46,0.92,0.6703218326506996,1.0872145847735135,0.38241460317012094,inspirational,+
serene,30.666444299754872,50,42,0.84,0.7301534357084494,1.4472366866662434,0.43606053587256594,inspirational,+
essentialist,30.496477073183158,50,44,0.88,0.6931017516632536,1.103018773673837,0.473132344535146,pessimistic,-
traditional,30.419578804199055,50,47,0.94,0.6472250809404054,1.4515673664355855,0.3638474032650965,big_picture,-
closure_seeking,30.3021807976399,50,45,0.9,0.6733817955031088,1.086761432161275,0.29633657930771684,inspirational,-
supportive,30.13508862237317,50,46,0.92,0.6551106222255038,1.0514962854491492,0.3058211718394785,inspirational,+
narrative,29.50109529292147,50,40,0.8,0.7375273823230367,1.39327458174174,0.4464286506720717,inspirational,+
quantitative,29.347661587767213,50,40,0.8,0.7336915396941803,1.6734025743770964,0.42062721836278705,inspirational,-
inspirational,29.23744819077277,50,43,0.86,0.6799406555993668,1.129912823534902,0.3894219292934104,inspirational,+
data_driven,29.229832916794784,50,43,0.86,0.6797635562045299,1.3018682685342122,0.360584966126483,inspirational,-
reserved,29.17143486023516,50,48,0.96,0.6077382262548991,1.040062113915824,0.2626310159204896,inspirational,-
