trait,axis,n,mean_delta,cohen_d,t_stat,p_raw,p_adjusted,significant,direction,exceedance_rate
verbose,pedantic,36,0.6471087637150453,1.983553090256402,11.901318541538412,7.395576598481212e-14,6.951842002572339e-10,True,+,0.6944444444444444
inspirational,qualitative,37,1.2720931220699,1.732440438980011,10.53802378820101,1.5038016884391225e-12,7.067867935663876e-09,True,+,0.8918918918918919
inspirational,quantitative,37,-0.9342163414568514,-1.6734025743770964,-10.17891047752558,3.8599077018600135e-12,9.070783099371031e-09,True,-,0.918918918918919
educational,pedantic,38,0.5743457143636126,1.6431842610970588,10.12926806856494,3.2290420571547626e-12,9.070783099371031e-09,True,+,0.7105263157894737
formal,pedantic,37,0.6157880989280907,1.617926285856346,9.841461388391547,9.504461625228469e-12,1.786838785542952e-08,True,+,0.7027027027027027
inspirational,eloquent,37,1.5272111270476032,1.5982905812733348,9.722022060298,1.3121740777416816e-11,1.9248094531565712e-08,True,+,0.7567567567567568
verbose,epicurean,36,0.8354435846623447,1.5934734780951019,9.56084086857061,2.7092163293294717e-11,2.0885981940123373e-08,True,+,0.7777777777777778
inspirational,metaphorical,37,1.4111131268578607,1.5929316013011183,9.689424657722384,1.4333687417123404e-11,1.9248094531565712e-08,True,+,0.7837837837837838
pessimistic,provocative,36,1.0050350824991863,1.5874219001239325,9.524531400743596,2.9857159402813244e-11,2.0885981940123373e-08,True,+,0.6666666666666666
inspirational,risk_taking,37,1.2965748672549788,1.5828058963661966,9.627832399151389,1.6943950572569377e-11,1.9909141922769017e-08,True,+,0.8108108108108109
inspirational,whimsical,37,1.3118070444545231,1.5749155418218486,9.57983724617826,1.9309907385396137e-11,2.0168125491413744e-08,True,+,0.7837837837837838
pessimistic,deconstructionist,36,0.727651202533808,1.5652087075991716,9.39125224559503,4.2717529235144246e-11,2.5690154930215037e-08,True,+,0.75
inspirational,entertaining,37,0.7812441317616282,1.5646452874759338,9.517365727866295,2.2901395278919826e-11,2.0885981940123373e-08,True,+,0.7837837837837838
inspirational,artistic,37,1.3509027998189669,1.5487236210505915,9.420518011914316,2.986364469443109e-11,2.0885981940123373e-08,True,+,0.8378378378378378
methodical,pedantic,37,0.5495500840448044,1.546283774870345,9.405677006989423,3.1106781612949706e-11,2.0885981940123373e-08,True,+,0.7297297297297297
inspirational,creative,37,1.1077757219003666,1.5259761379857997,9.282150474269208,4.37279232854724e-11,2.5690154930215037e-08,True,+,0.6486486486486487
inspirational,grounded,37,-1.434310444303461,-1.5195164094939233,-9.242857479842923,4.8751150865736475e-11,2.6956518713995464e-08,True,-,0.6756756756756757
inspirational,dispassionate,37,-1.030962254550006,-1.510786856656268,-9.189757682935776,5.648613735792984e-11,2.7945773219186343e-08,True,-,0.7567567567567568
data_driven,pedantic,36,0.5694174422985978,1.504826488367322,9.028958930203931,1.1442149675117414e-10,4.676356823743639e-08,True,+,0.6388888888888888
