trait,composite_score,n_total_axes,n_significant_axes,pct_significant_axes,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_axis,top_direction
inspirational,151.1834255768642,188,158,0.8404255319148937,0.9568571239042039,1.732440438980011,0.5285665412247694,qualitative,+
verbose,138.00403506327467,188,164,0.8723404255319149,0.8414880186785041,1.983553090256402,0.4061653116531167,pedantic,+
narrative,120.06725106913828,188,140,0.7446808510638298,0.8576232219224162,1.477236007818502,0.5199248120300753,epicurean,+
big_picture,117.14856470376083,188,154,0.8191489361702128,0.7607049656088365,1.4515673664355855,0.40873990873990873,traditional,-
educational,116.83626857206164,188,150,0.7978723404255319,0.7789084571470776,1.6431842610970588,0.357719298245614,pedantic,+
speculative,108.48708072290839,188,144,0.7659574468085106,0.7533825050201971,1.3814190915012263,0.39216820987654316,deconstructionist,+
methodical,107.99389611059907,188,145,0.7712765957446809,0.7447854904179246,1.546283774870345,0.3783783783783784,pedantic,+
pessimistic,97.38123895959605,188,118,0.6276595744680851,0.8252647369457292,1.5874219001239325,0.4618644067796609,provocative,+
conscientious,94.13862477245517,188,143,0.7606382978723404,0.6583120613458404,1.206251494670299,0.362880362880363,creative,+
formal,91.7544253561455,188,139,0.7393617021276596,0.6601037795406152,1.617926285856346,0.34726813144079344,pedantic,+
empathetic,89.90682918911921,188,134,0.7127659574468085,0.6709464864859642,1.1167186071510862,0.37922230950510605,forgiving,+
patient,87.6288280555995,188,130,0.6914893617021277,0.6740679081199962,1.0467071052247408,0.3416173570019722,absolutist,-
analytical,85.43431042928808,188,132,0.7021276595744681,0.6472296244643037,1.4815897509955922,0.3981481481481483,pedantic,+
optimistic,82.26310751323547,188,122,0.648936170212766,0.6742877665019301,1.118406474289153,0.3451484271156404,conciliatory,+
flexible,81.51381092370298,188,127,0.675531914893617,0.641841030895299,1.0256443827890231,0.35892388451443563,eloquent,+
curious,80.94156975240568,188,125,0.6648936170212766,0.6475325580192455,1.105744714978457,0.33362162162162173,introspective,+
data_driven,80.37292724604066,188,120,0.6382978723404256,0.6697743937170055,1.504826488367322,0.34398148148148144,pedantic,+
serious,78.63983309221939,188,129,0.6861702127659575,0.6096111092420108,0.9109542215553634,0.36148510811913503,risk_taking,+
