rank,trait,abs_mean_sum
1,narrative,115.84344859538898
2,inspirational,114.04527271533938
3,verbose,101.49695502516506
4,speculative,90.85348260185374
5,big_picture,89.84300519873362
6,methodical,86.12519235022965
7,educational,81.4414823858656
8,formal,79.71646210364995
9,analytical,78.01504519229961
10,conscientious,76.89409031583047
11,patient,76.75081588514153
12,curious,75.08828941425563
13,optimistic,73.79651422828837
14,pessimistic,72.49093521619214
15,entertaining,71.69429081814316
16,serious,70.35438135888823
17,empathetic,70.05535793441689
18,calm,66.9199901440818
19,humble,65.6436801073519
20,traditional,65.63300033813076
21,flexible,65.20498003815818
22,inquisitive,59.95148872477
23,inclusive,59.01874629060765
24,transparent,58.89888655545655
25,resilient,58.827188975152545
26,data_driven,58.1628261627112
27,factual,58.12674694073697
28,open_ended,58.025275580887076
29,collaborative,56.8872491283644
30,intuitive,56.7283318864389
31,playful,56.63476067585114
32,independent,56.29861497811767
33,skeptical,56.18737022347141
34,supportive,53.70925385106561
35,agreeable,51.267186087430304
36,cautious,51.166846726089695
37,grounded,50.40330298401012
38,accessible,47.475903844158786
39,anxious,47.472834700861824
40,reactive,45.269746230130934
41,stoic,44.20787780160186
42,problem_solving,43.6834129483716
43,casual,42.82524284482934
44,spontaneous,42.735650593414874
45,proactive,41.704297799566675
46,adaptable,39.85472750771994
47,practical,39.45303458322047
48,confident,38.48695726254702
49,strategic,38.19777078533339
50,concise,26.63231555246298
