rank,trait,top5_count
1,narrative,104
2,inspirational,102
3,verbose,89
4,methodical,73
5,speculative,59
6,patient,58
7,big_picture,53
8,educational,51
9,analytical,48
10,entertaining,48
11,pessimistic,46
12,optimistic,32
13,humble,24
14,formal,22
15,playful,19
16,data_driven,18
17,empathetic,14
18,curious,13
19,collaborative,12
20,calm,10
21,factual,10
22,spontaneous,6
23,inclusive,5
24,serious,4
25,cautious,4
26,traditional,3
27,confident,3
28,intuitive,2
29,inquisitive,2
30,anxious,2
31,conscientious,2
32,supportive,1
33,problem_solving,1
