rank,trait,abs_mean_sum
1,patient,37.66212831471019
2,methodical,37.392948335993125
3,verbose,35.90675255516545
4,analytical,34.92786605951065
5,educational,33.24728231328098
6,inspirational,31.236472891996037
7,optimistic,30.68801586556476
8,conscientious,30.49100522817792
9,factual,29.92561575154671
10,calm,29.7134813487922
11,formal,28.99645895541117
12,data_driven,27.872921289876107
13,narrative,27.856584084367277
14,speculative,27.84568238175578
15,traditional,27.473097900993057
16,humble,27.36906598770135
17,collaborative,27.14386046411017
18,curious,27.120507904504603
19,inquisitive,26.545452962629493
20,big_picture,26.277218904648272
21,flexible,25.835585374902525
22,empathetic,23.303526470829784
23,grounded,23.057254923004145
24,serious,22.899077289198576
25,resilient,22.239026380249776
26,skeptical,21.64867528095036
27,supportive,21.50077225288583
28,inclusive,21.181010906861438
29,cautious,20.879823095704385
30,pessimistic,20.175115158884886
31,problem_solving,19.617313362204943
32,intuitive,19.388972172151426
33,stoic,19.28726717643439
34,practical,18.613278584244355
35,independent,18.517059642614587
36,agreeable,18.1413791900551
37,transparent,17.817973651364447
38,open_ended,17.524802078870504
39,entertaining,15.402603002516807
40,accessible,14.526891426661527
41,reactive,14.465685857704983
42,casual,14.04100574390031
43,anxious,13.664747160978802
44,strategic,12.789848246197742
45,proactive,12.12440740367448
46,playful,12.044492421923454
47,adaptable,11.265209788104166
48,concise,10.98869031914059
49,spontaneous,10.888040630146863
50,confident,9.670274485859117
