rank,trait,abs_mean_sum
1,narrative,87.98686451102168
2,inspirational,82.80879982334335
3,verbose,65.59020246999957
4,big_picture,63.56578629408537
5,speculative,63.00780022009795
6,entertaining,56.291687815626325
7,pessimistic,52.31582005730727
8,formal,50.7200031482388
9,methodical,48.732244014236585
10,educational,48.19420007258457
11,curious,47.967781509751
12,serious,47.45530406968964
13,empathetic,46.75183146358712
14,conscientious,46.40308508765255
15,playful,44.59026825392769
16,optimistic,43.10849836272362
17,analytical,43.08717913278896
18,transparent,41.0809129040921
19,open_ended,40.500473502016575
20,flexible,39.369394663255655
21,patient,39.08868757043128
22,humble,38.274614119650536
23,traditional,38.15990243713769
24,inclusive,37.837735383746185
25,independent,37.78155533550307
26,intuitive,37.339359714287475
27,calm,37.20650879528961
28,resilient,36.58816259490274
29,skeptical,34.53869494252108
30,anxious,33.808087539883
31,inquisitive,33.406035762140526
32,agreeable,33.12580689737523
33,accessible,32.94901241749726
34,supportive,32.2084815981798
35,spontaneous,31.847609963268052
36,reactive,30.80406037242593
37,data_driven,30.28990487283509
38,cautious,30.287023630385338
39,collaborative,29.74338866425426
40,proactive,29.579890395892228
41,confident,28.81668277668793
42,casual,28.78423710092902
43,adaptable,28.589517719615753
44,factual,28.201131189190257
45,grounded,27.34604806100597
46,strategic,25.40792253913567
47,stoic,24.92061062516747
48,problem_solving,24.066099586166644
49,practical,20.839755998976113
50,concise,15.643625233322377
