rank,trait,top10_count
1,narrative,115
2,inspirational,104
3,entertaining,100
4,pessimistic,88
5,playful,86
6,speculative,86
7,verbose,85
8,big_picture,80
9,spontaneous,73
10,anxious,61
11,formal,56
12,educational,56
13,methodical,53
14,empathetic,51
15,casual,48
16,accessible,46
17,confident,45
18,analytical,44
19,serious,41
20,data_driven,37
21,optimistic,36
22,curious,34
23,strategic,32
24,conscientious,31
25,humble,31
26,patient,30
27,proactive,29
28,concise,28
29,adaptable,26
30,factual,25
31,reactive,21
32,problem_solving,20
33,collaborative,20
34,transparent,20
35,inquisitive,16
36,intuitive,15
37,practical,15
38,open_ended,14
39,traditional,14
40,calm,12
41,stoic,12
42,agreeable,11
43,supportive,8
44,cautious,8
45,inclusive,7
46,grounded,4
47,flexible,4
48,resilient,1
49,independent,1
