axis,num_traits,mean_abs_shift,max_abs_shift,signed_mean_shift,trait_mean_std,strongest_positive_trait,strongest_positive_mean_delta,strongest_negative_trait,strongest_negative_mean_delta
subversive,50,0.45199258578451074,0.821134303510189,0.4499146986308852,0.16284573002287353,pessimistic,0.821134303510189,data_driven,-0.05194717884063721
provocative,50,0.3859655398267228,0.7125851759314537,0.3837931632297952,0.1294071581458576,speculative,0.7125851759314537,data_driven,-0.05430941492319107
rhetorical,50,0.33390928767977923,0.8159612093865871,0.33390928767977923,0.12995705704785007,inspirational,0.8159612093865871,practical,0.09562765404582024
spontaneous,50,0.32784827789873416,0.6428231328725815,0.32784827789873416,0.11615830534522507,entertaining,0.6428231328725815,methodical,0.12992111206054688
dispassionate,50,0.2973895043752435,0.726310593560338,-0.2823676328114513,0.17512382813861638,data_driven,0.3226234431564808,inspirational,-0.726310593560338
condescending,50,0.29615126602263653,0.5718154126405716,0.29615126602263653,0.09424309573334651,entertaining,0.5718154126405716,concise,0.11528460582097372
narrative,50,0.29315187100430395,0.5860518707334995,0.29315187100430395,0.09855009016001313,inspirational,0.5860518707334995,concise,0.10234951178232829
qualitative,50,0.2854421178760388,1.3709843875281513,0.21525529966451312,0.2754747288481803,inspirational,0.6300738620758056,data_driven,-1.3709843875281513
contrarian,50,0.28000800487218713,0.6118392919003963,0.2757705102872691,0.11864898209111008,pessimistic,0.6118392919003963,data_driven,-0.10593736462295056
rebellious,50,0.27343283779733535,0.5153966011852026,0.2648195309620416,0.11921484807762907,inspirational,0.5153966011852026,data_driven,-0.21533267088234426
empathetic,50,0.26713321356274916,0.5268478104472161,0.26612797591187787,0.1303521456695786,empathetic,0.5268478104472161,formal,-0.02513094127178192
serious,50,0.26660300892361427,0.6612882876396179,-0.26039538510807775,0.14835641458741264,formal,0.15519059538841248,entertaining,-0.6612882876396179
entertaining,50,0.26554075731516574,0.5577616956830025,0.2623619732159445,0.11643736971760789,playful,0.5577616956830025,data_driven,-0.07946960248053074
solemn,50,0.26550390903745824,0.6383103501796722,-0.25723154356275735,0.14986169074364494,formal,0.17088936805725097,entertaining,-0.6383103501796722
quantitative,50,0.26534419041516055,1.3734182805195452,-0.192964635417776,0.26892514110852056,data_driven,1.3734182805195452,inspirational,-0.5244956153631211
emotional,50,0.26480614899527605,0.5813516348600387,0.26425253278147753,0.1294897330180754,inspirational,0.5813516348600387,data_driven,-0.013840405344963074
mercurial,50,0.2613483690936315,0.6096488201618194,0.2613483690936315,0.115661018538621,entertaining,0.6096488201618194,formal,0.02373378038406372
artistic,50,0.2612604773550006,0.6913908731937408,0.2612604773550006,0.11645059944082596,inspirational,0.6913908731937408,practical,0.026934285163879395
iconoclastic,50,0.2597361670884559,0.5986036072671413,0.2597361670884559,0.10779785440784875,pessimistic,0.5986036072671413,data_driven,0.08483219489455224
deconstructionist,50,0.2571412207649378,0.4827460800111294,0.2571412207649378,0.0844659287060491,pessimistic,0.4827460800111294,data_driven,0.07405441150069236
metaphorical,50,0.2515594167671445,0.6611230383813381,0.24837442044832733,0.11518660717476435,inspirational,0.6611230383813381,data_driven,-0.07962490797042847
absolutist,50,0.24559761903346974,0.3852079056203365,-0.2451628634458919,0.0752705678046161,data_driven,0.010868889689445495,cautious,-0.3852079056203365
