axis,direction,rank,trait,count,mean_delta,min_delta,max_delta
absolutist,positive,1,data_driven,100,0.010868889689445495,-0.9946772456169128,1.0604588985443115
absolutist,positive,2,concise,120,-0.10108515620231628,-1.009439468383789,1.0941095352172852
absolutist,positive,3,confident,100,-0.11075887560844422,-1.1464760899543762,0.7263414859771729
absolutist,positive,4,formal,100,-0.11875937342643737,-1.3650944232940674,0.6885083913803101
absolutist,negative,1,cautious,200,-0.3852079056203365,-1.7495635747909546,0.6968064308166504
absolutist,negative,2,humble,100,-0.3681295238435268,-2.0536317825317383,0.7639043927192688
absolutist,negative,3,pessimistic,200,-0.3639921569824219,-1.5106241703033447,0.6409603357315063
absolutist,negative,4,inquisitive,200,-0.34450441479682925,-1.4984750151634216,0.3965904712677002
abstract,positive,1,verbose,100,0.32176940232515333,-0.5311160087585449,1.3236443996429443
abstract,positive,2,formal,100,0.25594526961445807,-0.8301407098770142,1.211980938911438
abstract,positive,3,speculative,100,0.24986317113041878,-0.8346138000488281,1.425491213798523
abstract,positive,4,big_picture,100,0.21192900955677033,-0.7629003524780273,1.380605697631836
abstract,negative,1,data_driven,100,-0.3265146942436695,-1.551504135131836,1.0953116416931152
abstract,negative,2,practical,200,-0.18712251856923104,-1.7717313766479492,0.8199296593666077
abstract,negative,3,accessible,100,-0.08234545096755028,-1.379819631576538,0.6854989528656006
abstract,negative,4,casual,100,-0.0749355687201023,-1.9218819737434387,1.367403268814087
accessible,positive,1,casual,100,0.1731647275388241,-0.4235938936471939,0.913740485906601
accessible,positive,2,playful,100,0.13283771350979806,-0.5401851534843445,1.0016153156757355
accessible,positive,3,empathetic,200,0.125694540143013,-0.7204327881336212,0.9007495641708374
accessible,positive,4,spontaneous,100,0.11688287451863288,-0.6889589726924896,0.8839330077171326
accessible,negative,1,formal,100,-0.35313153922557833,-0.892400473356247,0.20041710138320923
accessible,negative,2,verbose,100,-0.29221928924322127,-0.9043487906455994,0.4285382479429245
accessible,negative,3,strategic,100,-0.21156598910689353,-0.8791805356740952,0.4658364951610565
accessible,negative,4,methodical,200,-0.17521770909428597,-0.738619327545166,0.4700692296028137
accommodating,positive,1,empathetic,200,0.23388593256473542,-0.13772064447402954,0.8662124276161194
accommodating,positive,2,optimistic,200,0.21358645975589752,-0.15535610914230347,1.278828352689743
accommodating,positive,3,inspirational,100,0.209604669213295,-0.1619337797164917,0.8105132579803467
accommodating,positive,4,collaborative,100,0.1819834017753601,-0.2842963933944702,0.6369098424911499
accommodating,negative,1,data_driven,100,-0.012839164733886719,-0.48306137323379517,0.4731789827346802
accommodating,negative,2,formal,100,0.005500858724117279,-0.39812153577804565,0.3902548551559448
accommodating,negative,3,factual,100,0.030616652965545655,-0.3719934821128845,0.46710658073425293
accommodating,negative,4,methodical,200,0.03417569637298584,-0.38009509444236755,0.4571409225463867
acerbic,positive,1,data_driven,100,0.4964266705513001,-0.6177940368652344,1.474329948425293
acerbic,positive,2,entertaining,100,0.17856747508049012,-0.8865029811859131,1.6208661794662476
acerbic,positive,3,factual,100,0.14305439233779907,-0.5787985324859619,1.40458083152771
acerbic,positive,4,confident,100,0.1333485722541809,-0.4690883159637451,1.0507190227508545
acerbic,negative,1,empathetic,200,-0.11860673904418945,-0.9143686294555664,1.0883944034576416
acerbic,negative,2,inclusive,100,-0.10431271016597748,-3.3242210745811462,0.4703655242919922
acerbic,negative,3,accessible,100,-0.09769565105438233,-1.074110984802246,0.5842640399932861
acerbic,negative,4,humble,100,-0.09140679359436035,-2.99825382232666,0.5344843864440918
adventurous,positive,1,inspirational,100,0.4536582250893116,-0.23806171119213104,1.8132895231246948
adventurous,positive,2,entertaining,100,0.2544171668589115,-0.6665277779102325,1.378100335597992
adventurous,positive,3,optimistic,200,0.2535527756810188,-0.5039660930633545,1.2759237587451935
adventurous,positive,4,playful,100,0.24862473711371422,-0.3313319981098175,1.4714380502700806
adventurous,negative,1,data_driven,100,-0.037796050906181336,-0.8733484447002411,0.526736319065094
adventurous,negative,2,practical,200,-0.030663586854934692,-0.8510575890541077,0.5331947058439255
adventurous,negative,3,methodical,200,-0.019528484791517257,-0.46915632486343384,0.6025844365358353
adventurous,negative,4,concise,120,0.01518716166416804,-0.49001944065093994,0.5088405013084412
agreeable,positive,1,empathetic,200,0.22438905239105225,-0.5936274528503418,1.3196568489074707
agreeable,positive,2,optimistic,200,0.20904320985078811,-0.5966572761535645,2.878881722688675
agreeable,positive,3,inclusive,100,0.2048506060242653,-0.5220526456832886,2.4636302292346954
agreeable,positive,4,adaptable,100,0.1895857894420624,-0.7025237083435059,1.1287007331848145
agreeable,negative,1,data_driven,100,-0.22417547464370727,-1.1843280792236328,0.6265690326690674
agreeable,negative,2,entertaining,100,-0.08059771776199341,-1.2676931619644165,0.9826271533966064
agreeable,negative,3,confident,100,-0.05340452551841736,-0.8063983917236328,0.9237241744995117
agreeable,negative,4,skeptical,200,-0.036143419742584226,-0.8089003562927246,0.6411571502685547
altruistic,positive,1,optimistic,200,0.11269693970680236,-1.213167667388916,6.640385270118713
altruistic,positive,2,inspirational,100,0.10262478351593017,-0.7200131416320801,1.0944156646728516
altruistic,positive,3,big_picture,100,0.09713299036026,-0.9082798957824707,1.971466302871704
altruistic,positive,4,inclusive,100,0.08238264679908752,-0.9872522354125977,5.985895276069641
altruistic,negative,1,data_driven,100,-0.6631065058708191,-1.8110404014587402,0.6169471740722656
altruistic,negative,2,entertaining,100,-0.21608526945114137,-3.1635706424713135,1.311422348022461
altruistic,negative,3,skeptical,200,-0.20921087265014648,-1.0568065643310547,0.8031001091003418
altruistic,negative,4,factual,100,-0.18216027259826661,-1.516833782196045,0.8286609649658203
animated,positive,1,inspirational,100,0.4904178136587143,-0.10904490947723389,1.3304134607315063
animated,positive,2,optimistic,200,0.2828030730783939,-0.19671516120433807,0.9219174981117249
animated,positive,3,playful,100,0.2718092314898968,-0.39301353693008423,1.3521119058132172
animated,positive,4,speculative,100,0.2649460533261299,-0.4459683895111084,1.376559317111969
animated,negative,1,practical,200,0.004138752967119217,-0.513381689786911,0.6556237936019897
animated,negative,2,methodical,200,0.012899398803710938,-0.4769097864627838,0.46735048294067383
animated,negative,3,data_driven,100,0.026344620734453202,-0.8577969670295715,0.6035011410713196
