axis,composite_score,n_total_traits,n_significant_traits,pct_significant_traits,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_trait,top_direction
entertaining,48.34218740940527,50,49,0.98,0.9865752532531687,1.8783741099406575,0.44256235827664403,entertaining,+
condescending,47.59287541327682,50,50,1.0,0.9518575082655364,1.5878010792010053,0.4351953216374268,entertaining,+
narrative,46.534609990013344,50,50,1.0,0.9306921998002669,1.6182160174413487,0.44099532163742694,inspirational,+
playful,45.23695728480371,50,50,1.0,0.9047391456960742,1.9358252753096916,0.4493766081871345,entertaining,+
spontaneous,43.89545289686787,50,50,1.0,0.8779090579373574,1.5335623125450402,0.44849590643274845,entertaining,+
subversive,43.29327505068894,50,49,0.98,0.8835362255242641,1.3835244528235027,0.43680988184747593,playful,+
rhetorical,43.26861800299912,50,50,1.0,0.8653723600599824,1.619142940421613,0.4393169590643275,inspirational,+
metaphorical,41.52635177412459,50,50,1.0,0.8305270354824918,1.699116126245464,0.44265146198830413,inspirational,+
sycophantic,39.96871847822611,50,48,0.96,0.8326816349630439,1.6209758342786122,0.367547514619883,inspirational,+
artistic,39.63914367328529,50,48,0.96,0.8258154931934435,1.6499339470987788,0.46845516569200757,inspirational,+
dispassionate,39.605751814117546,50,47,0.94,0.8426755705131392,1.619429686314266,0.42268259300734107,inspirational,-
provocative,39.41722180285563,50,48,0.96,0.8211921208928256,1.364229247629818,0.41458333333333336,big_picture,+
emotional,38.693513604355516,50,45,0.9,0.859855857874567,1.3969821058805767,0.44058739441195577,inspirational,+
witty,37.31265022170221,50,50,1.0,0.7462530044340441,1.584546816172978,0.4455988304093569,entertaining,+
rebellious,36.93990833135283,50,48,0.96,0.7695814235698507,1.2822915955534042,0.4451498538011697,speculative,+
whimsical,36.86272576160483,50,47,0.94,0.7843133140766985,1.6179016186198956,0.44561403508771946,inspirational,+
empathetic,36.55031200069844,50,46,0.92,0.7945720000151835,1.3187359155262774,0.4429913551995931,empathetic,+
risk_taking,36.50110130910033,50,47,0.94,0.7766191767893686,1.4953604616701448,0.4745215876570861,inspirational,+
enigmatic,36.4607145893325,50,50,1.0,0.72921429178665,1.3149420641536809,0.41541754385964913,inspirational,+
confrontational,35.04553185143386,50,48,0.96,0.7301152469048721,1.3629536708830376,0.38189083820662767,agreeable,-
