trait,axis,n,mean_delta,cohen_d,t_stat,p_raw,p_adjusted,significant,direction,exceedance_rate
entertaining,playful,100,0.5218873944878578,1.9358252753096916,19.358252753096913,1.983456351277769e-35,1.8644489702011028e-31,True,+,0.69
entertaining,entertaining,100,0.5523595380783081,1.8783741099406575,18.783741099406576,2.080940631093375e-34,9.780420966138863e-31,True,+,0.72
playful,entertaining,100,0.5577616956830025,1.7073682988606316,17.073682988606315,2.9052326296460757e-31,9.103062239557704e-28,True,+,0.69
inspirational,metaphorical,100,0.6611230383813381,1.699116126245464,16.99116126245464,4.159222966931364e-31,9.774173972288705e-28,True,+,0.71
data_driven,materialist,100,0.7920387759804726,1.6788652517792666,16.788652517792666,1.0069679703114936e-30,1.617950669835546e-27,True,+,0.77
inspirational,entertaining,100,0.47620664224028586,1.6782883249944454,16.782883249944454,1.0327344701077952e-30,1.617950669835546e-27,True,+,0.68
formal,pedantic,100,0.34616550035774707,1.666403211888597,16.66403211888597,1.7395994430079303e-30,2.3360335377535065e-27,True,+,0.65
inspirational,artistic,100,0.6913908731937408,1.6499339470987788,16.49933947098779,3.593717565237696e-30,4.222618139154293e-27,True,+,0.67
playful,playful,100,0.51578952729702,1.6224789657796266,16.224789657796265,1.2137776004015503e-29,9.99240690852542e-27,True,+,0.7
inspirational,sycophantic,100,0.5167728795856238,1.6209758342786122,16.20975834278612,1.2977730114745106e-29,9.99240690852542e-27,True,+,0.58
inspirational,dispassionate,100,-0.726310593560338,-1.619429686314266,-16.19429686314266,1.3902820601682415e-29,9.99240690852542e-27,True,-,0.6
inspirational,rhetorical,100,0.8159612093865871,1.619142940421613,16.19142940421613,1.408154597584485e-29,9.99240690852542e-27,True,+,0.65
inspirational,narrative,100,0.5860518707334995,1.6182160174413487,16.18216017441349,1.4675259199930096e-29,9.99240690852542e-27,True,+,0.64
inspirational,whimsical,100,0.5649262893944978,1.6179016186198956,16.179016186198954,1.4882308161633603e-29,9.99240690852542e-27,True,+,0.67
entertaining,condescending,100,0.5718154126405716,1.5878010792010053,15.878010792010054,5.724109736189204e-29,3.373140984589084e-26,True,+,0.64
inspirational,eloquent,100,0.719269258454442,1.587733519320897,15.877335193208971,5.741516569513334e-29,3.373140984589084e-26,True,+,0.73
entertaining,witty,100,0.48532384395599365,1.584546816172978,15.845468161729782,6.62605065843669e-29,3.6638162464296996e-26,True,+,0.66
inspirational,dramatic,100,0.6027361251413822,1.567924486047254,15.67924486047254,1.4019823959150096e-28,7.321463623111717e-26,True,+,0.66
data_driven,data_driven,100,1.5260991804301738,1.5558536660744904,15.558536660744906,2.4212853238772133e-28,1.197899054970832e-25,True,+,0.8
verbose,eloquent,100,0.5314855661988258,1.549790101200533,15.497901012005329,3.1882235736034055e-28,1.4984650795936007e-25,True,+,0.6
inspirational,animated,100,0.4904178136587143,1.5440561319061754,15.440561319061752,4.137503967240326e-28,1.852025585336146e-25,True,+,0.7
entertaining,narrative,100,0.5223848713189363,1.5389513907202381,15.389513907202382,5.219826938103701e-28,2.230289691735218e-25,True,+,0.61
inspirational,epicurean,100,0.42946862056851387,1.53788483836597,15.3788483836597,5.4797269886357755e-28,2.2395405953554907e-25,True,+,0.66
entertaining,spontaneous,100,0.6428231328725815,1.5335623125450402,15.335623125450402,6.673398920041752e-28,2.613747910349686e-25,True,+,0.61
formal,accessible,100,-0.35313153922557833,-1.5218303493410588,-15.218303493410588,1.1406465151930327e-27,4.288830897125803e-25,True,-,0.61
entertaining,impatient,100,0.4494540333747864,1.5184350047163568,15.18435004716357,1.3324909704044424e-27,4.817467354539138e-25,True,+,0.68
inspirational,playful,100,0.4123816847801208,1.5163251082000015,15.163251082000015,1.467738117264255e-27,5.109903074919999e-25,True,+,0.66
data_driven,quantitative,100,1.3734182805195452,1.5079907198095295,15.079907198095293,2.1514162372100865e-27,7.222611653491005e-25,True,+,0.78
data_driven,qualitative,100,-1.3709843875281513,-1.4974838424844947,-14.974838424844947,3.488322015586458e-27,1.1306974809142312e-24,True,-,0.78
inspirational,risk_taking,100,0.5773239789903164,1.4953604616701448,14.953604616701448,3.8468532592304475e-27,1.2053473545588736e-24,True,+,0.7
inspirational,poetic,100,0.49812854528427125,1.4794269553443893,14.794269553443893,8.02962279408338e-27,2.434788847238186e-24,True,+,0.76
inspirational,charismatic,100,0.5458537065610289,1.4764771720294756,14.764771720294757,9.204651624817225e-27,2.7038664147900597e-24,True,+,0.75
entertaining,serious,100,-0.6612882876396179,-1.4715506535923564,-14.715506535923563,1.1565593102187533e-26,3.294441671532206e-24,True,-,0.57
inspirational,passionate,100,0.6288622762262821,1.470752487085426,14.707524870854261,1.2001769246256412e-26,3.318136203376773e-24,True,+,0.66
empathetic,accommodating,100,0.23388593256473542,1.4628039271636495,14.628039271636496,1.73593394109368e-26,4.628705611010701e-24,True,+,0.61
inspirational,grandiose,100,0.6330436995625496,1.462353102959866,14.62353102959866,1.772695765918992e-26,4.628705611010701e-24,True,+,0.64
verbose,grandiose,100,0.48297180771827697,1.4552973686870576,14.552973686870576,2.461552707278695e-26,6.2536744455188464e-24,True,+,0.63
inspirational,mystical,100,0.5387432067096234,1.4529347696393973,14.529347696393973,2.7479425674961414e-26,6.79754214064835e-24,True,+,0.65
empathetic,dispassionate,100,-0.5805351382493973,-1.432271794578562,-14.32271794578562,7.215559770468057e-26,1.7391349190358905e-23,True,-,0.52
verbose,epicurean,100,0.33025141909718514,1.4251589209956685,14.251589209956686,1.0071594664101116e-25,2.366824746063762e-23,True,+,0.58
