trait,composite_score,n_total_axes,n_significant_axes,pct_significant_axes,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_axis,top_direction
inspirational,134.762416528875,188,161,0.8563829787234043,0.8370336430364907,1.699116126245464,0.47937888198757767,metaphorical,+
entertaining,132.90539285339298,188,169,0.898936170212766,0.7864224429194852,1.9358252753096916,0.4295266272189351,playful,+
data_driven,119.59196478375384,188,154,0.8191489361702128,0.7765711998945054,1.6788652517792666,0.4855844155844156,materialist,+
speculative,114.30327709327644,188,161,0.8563829787234043,0.7099582428153816,1.374296518197125,0.41366459627329205,entertaining,+
playful,107.73260606942378,188,157,0.8351063829787234,0.686194943117349,1.7073682988606316,0.42942675159235677,entertaining,+
spontaneous,107.06988572400614,188,159,0.8457446808510638,0.6733955076981518,1.2980835497904082,0.3802515723270439,serious,-
verbose,102.72048466816915,188,143,0.7606382978723404,0.7183250676095745,1.549790101200533,0.4019580419580418,eloquent,+
pessimistic,101.95085523193337,188,153,0.8138297872340425,0.6663454590322443,1.2504542442984066,0.4197385620915033,condescending,+
empathetic,100.05147936363483,188,149,0.7925531914893617,0.6714864386821129,1.4628039271636495,0.39610738255033556,accommodating,+
intuitive,97.58333521786976,188,150,0.7978723404255319,0.6505555681191317,1.4045543369048896,0.4016000000000002,entertaining,+
skeptical,95.2463947843959,188,160,0.851063829787234,0.5952899674024744,1.329688722299879,0.38662499999999983,condescending,+
anxious,93.09288203668886,188,154,0.8191489361702128,0.6044992340044731,1.3611548870319647,0.37954545454545463,condescending,+
open_ended,90.50413944986668,188,148,0.7872340425531915,0.6115144557423424,1.1552530221351232,0.36236486486486497,entertaining,+
big_picture,90.42204476163214,188,137,0.7287234042553191,0.6600149252673878,1.364229247629818,0.3644525547445254,provocative,+
reactive,90.1790883473399,188,154,0.8191489361702128,0.5855784957619474,1.2879881009357177,0.3999999999999998,condescending,+
narrative,88.40381974892979,188,140,0.7446808510638298,0.6314558553494986,1.3748168606726798,0.43078571428571416,narrative,+
agreeable,84.63772203806357,188,136,0.723404255319149,0.6223361914563498,1.3629536708830376,0.34624999999999995,confrontational,-
collaborative,82.7548564988025,188,145,0.7712765957446809,0.5707231482676034,1.161004916716422,0.37793103448275883,entertaining,+
traditional,82.0972145110273,188,140,0.7446808510638298,0.5864086750787665,1.1113755761025792,0.37112781954887203,rhetorical,+
resilient,78.51399889267682,188,139,0.7393617021276596,0.5648489128969556,1.1490563672104315,0.36877697841726625,entertaining,+
inquisitive,78.09853236386911,188,132,0.7021276595744681,0.5916555482111296,1.2327123438801575,0.36181818181818187,entertaining,+
casual,78.08402990504904,188,143,0.7606382978723404,0.5460421671681751,1.1907239155724794,0.3979720279720279,entertaining,+
transparent,77.66906444561991,188,147,0.7819148936170213,0.5283609826232647,1.0241020659887263,0.3378231292517005,condescending,+
proactive,75.16403554900464,188,140,0.7446808510638298,0.5368859682071759,1.0530188770614228,0.3794999999999999,narrative,+
flexible,74.28477371385272,188,148,0.7872340425531915,0.501924146715221,0.9536863668299937,0.3622297297297297,entertaining,+
optimistic,74.00820183079352,188,123,0.6542553191489362,0.6016926978113295,1.2841433159182485,0.42577235772357735,gregarious,+
adaptable,72.75392046735901,188,128,0.6808510638297872,0.5683900036512423,1.2197730013779453,0.368828125,entertaining,+
patient,72.35493530761524,188,132,0.7021276595744681,0.5481434493001154,1.1048577125434633,0.3737121212121213,sycophantic,+
independent,72.25191729414196,188,132,0.7021276595744681,0.5473630098041058,0.994459754401212,0.37136363636363656,entertaining,+
formal,71.01968436844987,188,127,0.675531914893617,0.5592101131374005,1.666403211888597,0.35551181102362217,pedantic,+
humble,70.29911299085165,188,127,0.675531914893617,0.5535363227626114,1.226448449762533,0.3824409448818898,entertaining,+
strategic,69.1832191081322,188,131,0.6968085106382979,0.5281161763979558,1.0074514040503257,0.3657251908396947,eloquent,+
confident,67.10163897125769,188,135,0.7180851063829787,0.49704917756487177,0.8332381410237493,0.3572592592592591,witty,+
curious,65.04575188849857,188,130,0.6914893617021277,0.5003519376038351,0.907578877263272,0.35353846153846147,serious,-
serious,63.56553308684139,188,125,0.6648936170212766,0.5085242646947311,0.927932748189759,0.38384,rhetorical,+
supportive,63.41732965290829,188,122,0.648936170212766,0.5198141774828549,1.0312170941865457,0.3772131147540984,detached,-
conscientious,63.22457311944936,188,126,0.6702127659574468,0.5017823263448362,0.9866523406792574,0.36103174603174576,provocative,+
inclusive,62.462298974462726,188,122,0.648936170212766,0.5119860571677273,1.0875155837020962,0.4006557377049179,entertaining,+
stoic,59.14557119661301,188,127,0.675531914893617,0.4657131590284489,0.8364407010235697,0.36579177602799623,provocative,+
grounded,59.139203670474984,188,119,0.6329787234042553,0.49696809807121833,0.9328148425420886,0.3710084033613446,condescending,+
calm,58.170342467273855,188,123,0.6542553191489362,0.472929613555072,0.816576685206976,0.3827642276422765,entertaining,+
accessible,55.524497077362064,188,118,0.6276595744680851,0.4705465854013734,0.9934309097627362,0.33152542372881355,confrontational,-
cautious,54.27090601874674,188,122,0.648936170212766,0.4448434919569405,0.8238670587385247,0.3636885245901639,absolutist,-
analytical,53.61814763228301,188,129,0.6861702127659575,0.4156445552890156,0.8161950869065466,0.34139534883720923,rhetorical,+
educational,49.60316622100263,188,118,0.6276595744680851,0.4203658154322257,0.7477216427094399,0.3552542372881353,esoteric,+
factual,48.68757044649582,188,127,0.675531914893617,0.38336669642910093,0.7005424076473811,0.34244094488188975,historical,+
problem_solving,42.80483034396024,188,106,0.5638297872340425,0.40381915418830416,0.8530789930083019,0.3524528301886793,forgiving,+
methodical,36.13678092515989,188,93,0.4946808510638298,0.38856753682967626,0.7875325696739689,0.3304301075268817,pedantic,+
practical,31.72383071728506,188,88,0.46808510638297873,0.3604980763327848,0.6822525229866993,0.3355681818181818,solemn,-
concise,13.768801699270925,188,40,0.2127659574468085,0.3442200424817731,0.43882172626438043,0.2920833333333333,impatient,+
