rank,trait,abs_mean_sum
1,entertaining,52.63514279576017
2,data_driven,50.24848888931794
3,inspirational,50.07772669446653
4,playful,45.13040107520298
5,speculative,44.17688742294907
6,pessimistic,42.93092728676274
7,spontaneous,35.684274226147664
8,intuitive,35.16653028527273
9,narrative,34.75660431066526
10,skeptical,34.152591231744736
11,empathetic,33.3861000015307
12,verbose,33.14991362522357
13,reactive,32.430172306168835
14,anxious,30.744128827434043
15,casual,29.78320197962223
16,optimistic,29.744865608066323
17,big_picture,29.503752286247927
18,traditional,29.01610295294148
19,collaborative,28.044979149494306
20,open_ended,27.572035591714094
21,resilient,27.25495956325903
22,humble,27.07446024931966
23,agreeable,26.40826476564632
24,independent,26.203199150133884
25,inquisitive,26.198590553570533
26,proactive,26.103614907767618
27,patient,25.784100203579282
28,flexible,25.455851378962397
29,cautious,25.286505899336184
30,inclusive,25.087593841971835
31,conscientious,25.065684105679395
32,transparent,24.41523270851001
33,strategic,24.21774558873847
34,adaptable,23.72739435199648
35,confident,23.26664567464963
36,curious,23.004913570489737
37,supportive,22.836661266945317
38,stoic,21.262394130043695
39,serious,21.245656391140077
40,formal,21.20363207158632
41,grounded,21.191811877414583
42,calm,19.886796132493753
43,factual,19.196247619553475
44,analytical,18.90324570004828
45,educational,18.89725940342992
46,accessible,17.81459202231839
47,problem_solving,16.074588509220632
48,methodical,14.801626672130082
49,practical,14.046819617124266
50,concise,11.111424466719226
