rank,trait,abs_mean_sum
1,data_driven,16.39592547072097
2,entertaining,13.632207739166915
3,pessimistic,12.507468124143776
4,playful,11.581969821359966
5,spontaneous,11.491840683221819
6,casual,11.071719842590394
7,empathetic,10.372457542372866
8,skeptical,9.84464262265712
9,reactive,9.744339575041087
10,humble,9.468031589705497
11,anxious,9.450891959220167
12,speculative,9.427762460540979
13,inspirational,9.292393418457358
14,intuitive,9.285602632258087
15,narrative,8.760556224621832
16,optimistic,7.7960330822132535
17,agreeable,7.6852374151535345
18,open_ended,7.426784359607845
19,cautious,7.383745244331658
20,independent,7.354109683074057
21,accessible,7.35327855942771
22,inclusive,7.286465814206747
23,collaborative,6.922976004481317
24,resilient,6.898667890168725
25,inquisitive,6.883419505339116
26,supportive,6.834051678869873
27,patient,6.79453794043511
28,big_picture,6.783721766732634
29,adaptable,6.6585769803821995
30,curious,6.401721793226896
31,transparent,6.32115085285157
32,flexible,6.3179766160435955
33,traditional,6.285090969757814
34,conscientious,6.079945504553616
35,verbose,5.96585200597532
36,grounded,5.859413696024566
37,proactive,5.511417314503342
38,problem_solving,5.060463923364876
39,stoic,4.875711859141788
40,practical,4.84266086393036
41,formal,4.683876323327423
42,strategic,4.429611429739743
43,serious,4.392923215515912
44,calm,4.382462982498109
45,factual,4.368366838446818
46,confident,4.313998713754117
47,analytical,3.5845499930530784
48,concise,3.4585971982218324
49,methodical,3.3389920522458847
50,educational,3.202331521790474
