rank,trait,abs_mean_sum
1,inspirational,40.78533327600916
2,entertaining,39.002935056593266
3,speculative,34.74912496240809
4,data_driven,33.852563418596986
5,playful,33.548431253843006
6,pessimistic,30.42345916261896
7,verbose,27.184061619248244
8,narrative,25.99604808604345
9,intuitive,25.880927653014663
10,skeptical,24.307948609087628
11,spontaneous,24.192433542925865
12,empathetic,23.01364245915785
13,traditional,22.731011983183652
14,big_picture,22.72003051951529
15,reactive,22.685832731127736
16,optimistic,21.948832525853074
17,anxious,21.293236868213874
18,collaborative,21.122003145012997
19,proactive,20.592197593264288
20,resilient,20.356291673090308
21,open_ended,20.145251232106247
22,strategic,19.788134158998723
23,inquisitive,19.315171048231413
24,flexible,19.137874762918795
25,patient,18.989562263144183
26,conscientious,18.985738601125767
27,confident,18.952646960895514
28,independent,18.849089467059823
29,agreeable,18.72302735049277
30,casual,18.711482137031847
31,transparent,18.09408185565844
32,cautious,17.902760655004528
33,inclusive,17.80112802776508
34,humble,17.606428659614167
35,adaptable,17.068817371614276
36,serious,16.85273317562416
37,curious,16.603191777262836
38,formal,16.519755748258902
39,stoic,16.38668227090189
40,supportive,16.002609588075433
41,educational,15.694927881639453
42,calm,15.504333149995652
43,grounded,15.332398181390019
44,analytical,15.318695706995209
45,factual,14.82788078110665
46,methodical,11.4626346198842
47,problem_solving,11.014124585855752
48,accessible,10.461313462890685
49,practical,9.204158753193916
50,concise,7.652827268497399
