trait,magnitude_rank,significance_rank,rank_diff,abs_rank_diff,top10_count,n_significant_axes,mean_abs_cohen_d
confused,1,24,23,23,5.0,6,0.6836767894592345
spontaneous,28,5,-23,23,1.0,152,0.5477265838641795
very_confused,5,28,23,23,5.0,0,0.0
interdisciplinary,2,23,21,21,5.0,7,1.9650119862527287
reactive,27,8,-19,19,1.0,145,0.5376675711889473
humble,24,7,-17,17,1.0,149,0.6267620166641116
inspirational,25,9,-16,16,1.0,131,0.6719723360264348
assertive,12,27,15,15,2.0,2,1.7852215956671795
playful,16,1,-15,15,2.0,168,0.7307693076635325
metaphorical,3,15,12,12,5.0,20,1.9929026290438352
competitive,8,16,8,8,3.0,18,2.188763943942541
empathetic,14,6,-8,8,2.0,150,0.6853031970478913
extroverted,22,14,-8,8,1.0,20,2.049474003994188
holistic,9,17,8,8,3.0,15,2.0016245228966385
verbose,20,12,-8,8,2.0,117,0.5352135463512439
anxious,11,4,-7,7,2.0,153,0.7059441752337888
challenging,13,20,7,7,2.0,9,2.4533907615074195
nurturing,15,21,6,6,2.0,9,1.7537859492986252
theoretical,19,25,6,6,2.0,6,2.1919463366986203
entertaining,6,2,-4,4,4.0,162,0.7343074123553784
pessimistic,7,11,4,4,4.0,126,0.6829290309295487
quantitative,26,22,-4,4,1.0,9,2.1183931470133883
risk_taking,17,13,-4,4,2.0,30,3.6750539205015027
exploratory,21,18,-3,3,1.0,11,1.9756283168335527
generalist,23,26,3,3,1.0,4,2.685500698632385
skeptical,4,3,-1,1,5.0,154,0.7049673356754842
socratic,18,19,1,1,2.0,11,2.9979095906750413
speculative,10,10,0,0,3.0,130,0.6179326400428723
