rank,trait,abs_mean_sum
1,confused,1.4911791667342187
2,very_confused,1.339922210946679
3,assertive,0.6035886585712433
4,anxious,0.5036462110467256
5,empathetic,0.45447655474767085
6,metaphorical,0.444013449549675
7,humble,0.4404198222979903
8,entertaining,0.357468966152519
9,decisive,0.35284913182258604
10,skeptical,0.33710658634081486
11,spontaneous,0.33620748266577727
12,socratic,0.3304049275815487
13,pessimistic,0.32748190477490424
14,playful,0.3101604926586151
15,accessible,0.29033537283539773
16,competitive,0.2827319957315922
17,supportive,0.2827251821383834
18,cautious,0.27648046299815177
19,reactive,0.2756716347299516
20,grounded,0.2700232488289475
21,exploratory,0.2657726228237152
22,patient,0.26211119458079335
23,curious,0.26179781056940554
24,extroverted,0.2615182936191559
25,generalist,0.254238898307085
26,introspective,0.25221669524908064
27,reductionist,0.25090805292129514
28,narrative,0.2503984643146396
29,optimistic,0.24979010716080668
30,resilient,0.23611962145603282
31,nurturing,0.22937110736966132
32,theoretical,0.2205870643258095
33,inclusive,0.2201852111145854
34,intuitive,0.21497970141470435
35,experiential,0.2144777961075306
36,risk_taking,0.20957482885569334
37,contemporary,0.20878853797912597
38,agreeable,0.20830281009897592
39,collaborative,0.20416303467005492
40,speculative,0.2038784258067608
41,practical,0.20194442730396986
42,casual,0.18902841560542585
43,adaptable,0.1877989428117871
44,quantitative,0.18106281757354736
45,flexible,0.16503830127418043
46,transparent,0.16444477278739214
47,interdisciplinary,0.1529181718826294
48,problem_solving,0.14824411462992432
49,proactive,0.1405013730376959
50,calm,0.13232805740088224
51,literal,0.13153223171830178
52,inquisitive,0.13063581712543965
53,conscientious,0.12688591765239834
54,formal,0.12556069035083056
55,educational,0.11982683094218373
56,inspirational,0.11820859573028906
57,concise,0.11765256771817803
58,qualitative,0.11250497251749038
59,independent,0.09234899707138539
60,open_ended,0.08947451982647181
61,challenging,0.0875873938202858
62,progressive,0.0846917748451233
63,holistic,0.07968263030052185
64,big_picture,0.07883048899471759
65,specialized,0.06385166049003602
66,methodical,0.05256687924265861
67,analytical,0.04967563733458519
68,verbose,0.04783129220828414
69,traditional,0.04759690538048744
70,strategic,0.04757187082761466
71,confident,0.0387364992685616
72,serious,0.03208892822265625
73,data_driven,0.028132213056087495
74,stoic,0.017427551342134782
75,factual,0.01694648776203394
