rank,trait,abs_mean_sum
1,interdisciplinary,2.0730715736746785
2,metaphorical,1.9643126487731934
3,confused,1.918023583292961
4,holistic,1.4990077376365658
5,entertaining,1.4545971055515112
6,very_confused,1.4281140357255937
7,speculative,1.3545573601685463
8,challenging,1.311303374171257
9,theoretical,1.288393297791481
10,pessimistic,1.2601515407860278
11,risk_taking,1.2549290601164103
12,skeptical,1.2044123646989464
13,playful,1.1304629597626625
14,generalist,1.0878037214279175
15,socratic,1.0263433545827867
16,inspirational,0.9746890343123613
17,introspective,0.9605866938829422
18,competitive,0.9207792162895203
19,verbose,0.8840681652165949
20,anxious,0.8570706311427057
21,quantitative,0.8550585754215716
22,reactive,0.8522393392771482
23,experiential,0.8402792036533355
24,empathetic,0.8245023439638317
25,spontaneous,0.813562863022089
26,narrative,0.7860774159617723
27,nurturing,0.7847443580627441
28,contemporary,0.701180924475193
29,curious,0.6789297562278808
30,intuitive,0.6766196917369962
31,extroverted,0.6615366846323013
32,humble,0.6428315140679479
33,qualitative,0.6349774301052094
34,big_picture,0.6332854342088103
35,supportive,0.6221770847216248
36,cautious,0.6101284555532038
37,resilient,0.5989068247287012
38,exploratory,0.5929102867841721
39,optimistic,0.5878674779459834
40,agreeable,0.5675459039025009
41,patient,0.5602849679253995
42,literal,0.5214504763484
43,inquisitive,0.5179025152139366
44,confident,0.5176828487217426
45,accessible,0.5150059475563467
46,assertive,0.5117751635611058
47,open_ended,0.4992579791136086
48,inclusive,0.4939160757884383
49,casual,0.4760787358880043
50,analytical,0.47382212601602075
51,collaborative,0.4692913048341871
52,problem_solving,0.4686131898313761
53,independent,0.4563194527477026
54,calm,0.4329077965393663
55,adaptable,0.422756796553731
56,grounded,0.41392962250858545
57,educational,0.41171863926574587
58,flexible,0.40353622565045955
59,strategic,0.3914716268391019
60,formal,0.3892637254297734
61,proactive,0.3871667811647057
62,specialized,0.37501342147588734
63,practical,0.3529032979346811
64,traditional,0.34183370522124334
65,transparent,0.3210410859249532
66,stoic,0.30364067841598646
67,data_driven,0.277301521897316
68,serious,0.2593986229225993
69,conscientious,0.212251548320055
70,concise,0.19111563939601184
71,progressive,0.18817132711410522
72,reductionist,0.14934356212615968
73,methodical,0.14840910010039804
74,factual,0.1252603168040514
75,decisive,0.12519327700138091
