axis,composite_score,n_total_traits,n_significant_traits,pct_significant_traits,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_trait,top_direction
condescending,40.282056787713806,51,48,0.9411764705882353,0.8392095164107043,1.6204541323693422,0.384675925925926,skeptical,+
entertaining,37.13801503822277,51,44,0.8627450980392157,0.8440457963232447,1.5972974858285096,0.45703168044077136,pessimistic,+
subversive,36.97058717003247,51,47,0.9215686274509803,0.7866082376602654,1.421893712617106,0.42018267784225233,skeptical,+
provocative,34.5019427381523,51,50,0.9803921568627451,0.690038854763046,1.2651957879203317,0.3635575757575758,pessimistic,+
playful,32.73954476417022,51,44,0.8627450980392157,0.7440805628220505,1.3555859413691922,0.37948806244260785,skeptical,+
sycophantic,32.54675833805528,51,45,0.8823529411764706,0.7232612964012284,1.1898859874035936,0.3749921436588103,pessimistic,+
dispassionate,32.419361877553555,51,43,0.8431372549019608,0.753938648315199,1.562268925657231,0.3952384308198262,empathetic,-
whimsical,32.2290321147197,51,50,0.9803921568627451,0.644580642294394,1.228835062251093,0.3631838383838384,entertaining,+
emotional,31.05015196651071,51,42,0.8235294117647058,0.7392893325359693,1.5739622098080577,0.4403535353535354,empathetic,+
spontaneous,30.5076072273436,51,44,0.8627450980392157,0.6933547097123545,1.2537098870765053,0.40852157943067036,skeptical,+
risk_taking,29.69065313936096,51,48,0.9411764705882353,0.6185552737366867,1.3157668353455672,0.28203914141414144,entertaining,+
empathetic,28.95407022812403,51,43,0.8431372549019608,0.6733504704214891,1.5195706748081435,0.44241484613577636,empathetic,+
metaphorical,28.806502312492,51,48,0.9411764705882353,0.6001354648435834,1.2144561775813816,0.3358038720538721,inspirational,+
impatient,28.790154237233377,51,44,0.8627450980392157,0.6543216872098495,1.4727165801999147,0.30400596877869607,skeptical,+
ritualistic,28.612786191432352,51,45,0.8823529411764706,0.6358396931429412,1.3923998066459284,0.4567519640852974,skeptical,-
accommodating,28.56049326444838,51,42,0.8235294117647058,0.680011744391628,1.3768759754632462,0.40985088985088985,humble,+
rhetorical,28.38971673186785,51,48,0.9411764705882353,0.5914524319139135,1.2480251211958373,0.3564478114478114,inspirational,+
confrontational,28.061939959966544,51,40,0.7843137254901961,0.7015484989991636,1.3004806004077831,0.41208585858585856,skeptical,-
animated,27.991159229101854,51,45,0.8823529411764706,0.6220257606467079,1.2681268751064283,0.3999753086419753,anxious,+
gregarious,27.741117562038404,51,43,0.8431372549019608,0.645142268884614,1.4305555052288752,0.4366196852243364,empathetic,+
narrative,27.723019641983207,51,44,0.8627450980392157,0.630068628226891,1.083378956491348,0.37260330578512396,skeptical,+
formal,27.464868262962828,51,45,0.8823529411764706,0.6103304058436184,1.275074389429055,0.42141863075196406,skeptical,-
casual,27.168211175166302,51,44,0.8627450980392157,0.6174593448901432,1.2481908220617195,0.41145546372819103,empathetic,+
serious,26.880707305223336,51,42,0.8235294117647058,0.6400168406005556,1.2767134358661756,0.3996151996151996,skeptical,-
witty,26.620529646417936,51,42,0.8235294117647058,0.6338221344385223,1.2501438018380024,0.36255170755170757,playful,+
forgiving,26.527597221899605,51,39,0.7647058823529411,0.6801948005615284,1.3869900181167216,0.2939316239316239,empathetic,+
