trait,magnitude_rank,significance_rank,rank_diff,abs_rank_diff,any_abs_mean_sum,n_significant_axes,mean_abs_cohen_d
transparent,20,38,18,18,17.383094959640868,88,0.3626735297202763
agreeable,27,11,-16,16,14.482214881591496,134,0.4923250784519462
proactive,24,40,16,16,15.73151400020345,87,0.38333587496523774
flexible,32,18,-14,14,13.021808820674202,126,0.43254782996882973
optimistic,15,28,13,13,20.99114108059556,116,0.5408450471082458
pessimistic,6,19,13,13,29.32541178291664,126,0.6829290309295487
confident,29,17,-12,12,14.304255372192703,127,0.4129425193751127
accessible,31,20,-11,11,13.873096112180502,123,0.44276284582811387
resilient,22,33,11,11,16.316989292686483,95,0.490835386539976
problem_solving,41,32,-9,9,10.98281017452479,96,0.39013793615760434
spontaneous,14,5,-9,9,21.66783782826737,152,0.5477265838641795
grounded,36,30,-6,6,11.943309798222042,101,0.3797705712447568
intuitive,18,24,6,6,19.183378151301305,117,0.4752158929332283
verbose,19,25,6,6,18.168572829393664,117,0.5352135463512439
curious,17,12,-5,5,20.36145121799781,132,0.5276401076723435
data_driven,42,47,5,5,10.60365179030225,50,0.3496262847526703
inspirational,8,13,5,5,26.62993589394726,131,0.6719723360264348
speculative,10,15,5,5,24.505175849823274,130,0.6179326400428723
inquisitive,25,21,-4,4,15.586808933224532,122,0.4107134377375191
calm,34,31,-3,3,12.42180991055444,96,0.38843555349300835
collaborative,23,26,3,3,15.93781530824956,116,0.4207649400236458
formal,26,23,-3,3,14.542709217686197,119,0.4604456668071739
inclusive,30,27,-3,3,13.973366622428875,116,0.4733815553297647
stoic,48,45,-3,3,7.4242111332528316,59,0.35563919506628583
analytical,37,35,-2,2,11.70360232904553,93,0.42411012457895775
cautious,12,10,-2,2,23.17608666738495,135,0.5823804459784139
conscientious,46,44,-2,2,8.44247267700732,65,0.3326667340584776
educational,38,36,-2,2,11.231867052838211,88,0.3875380131371534
empathetic,4,6,2,2,32.138965740129336,150,0.6853031970478913
open_ended,35,37,2,2,12.2162173573114,88,0.37164704053419495
skeptical,5,3,-2,2,29.576474126838157,154,0.7049673356754842
supportive,11,9,-2,2,23.239775974210357,136,0.5191629882014185
traditional,44,42,-2,2,8.954260083701877,80,0.33451565232513514
adaptable,33,34,1,1,12.637730521755293,94,0.3696556993788832
anxious,3,4,1,1,34.298368116254,153,0.7059441752337888
big_picture,28,29,1,1,14.460780745483934,101,0.41566585102569564
casual,21,22,1,1,16.709587893672275,121,0.48378593250888413
concise,49,50,1,1,6.1845986663363846,11,0.25925076167356864
factual,50,49,-1,1,4.005456634461878,38,0.26953825358370925
methodical,47,48,1,1,7.529648330686614,44,0.3139668174602191
patient,13,14,1,1,22.0506760590151,131,0.49332927190806825
practical,40,41,1,1,11.021537824906403,83,0.33121935676553155
reactive,9,8,-1,1,26.368418047335002,145,0.5376675711889473
strategic,45,46,1,1,8.49465595377723,58,0.4076811048630593
entertaining,2,2,0,0,36.1792169399932,162,0.7343074123553784
humble,7,7,0,0,28.91786148093642,149,0.6267620166641116
independent,39,39,0,0,11.189472881481056,87,0.35850893272759443
narrative,16,16,0,0,20.63584127085283,128,0.5606515503475966
playful,1,1,0,0,36.951361570945025,168,0.7307693076635325
serious,43,43,0,0,10.101952049555253,75,0.38198292191463334
