trait,axis,n,mean_delta,cohen_d,t_stat,p_raw,p_adjusted,significant,direction,exceedance_rate
skeptical,condescending,100,0.4351987478137016,1.6204541323693422,16.204541323693423,1.328273638339446e-29,1.2735487644398607e-25,True,+,0.57
pessimistic,entertaining,100,0.49910024270415304,1.5972974858285096,15.972974858285095,3.737658630603706e-29,1.7918335475114167e-25,True,+,0.65
empathetic,emotional,100,0.40887274354696274,1.5739622098080577,15.739622098080575,1.0674362391260984e-28,3.4115262202470107e-25,True,+,0.6
empathetic,dispassionate,100,-0.33810785949230193,-1.562268925657231,-15.62268925657231,1.810624495504632e-28,4.340066915724603e-25,True,-,0.47
empathetic,empathetic,100,0.454836787879467,1.5195706748081435,15.195706748081435,1.2649568194676007e-27,2.425681197011071e-24,True,+,0.62
skeptical,entertaining,100,0.41990858361124994,1.5065825462280098,15.065825462280097,2.295202603014538e-27,3.667733759617232e-24,True,+,0.54
anxious,emotional,100,0.45203823074698446,1.490008378920131,14.900083789201311,4.923874477628022e-27,6.744301213071068e-24,True,+,0.54
anxious,entertaining,100,0.49928573772311213,1.4814744552853447,14.814744552853448,7.303856648120384e-27,8.75367219277228e-24,True,+,0.55
empathetic,entertaining,100,0.4653160534799099,1.4777687564086728,14.777687564086728,8.670246748300591e-27,9.236702869189563e-24,True,+,0.56
skeptical,impatient,100,0.3445861601829529,1.4727165801999147,14.727165801999146,1.095692727232509e-26,1.0505501868705297e-23,True,+,0.46
empathetic,gregarious,100,0.31703992806375025,1.4305555052288752,14.305555052288751,7.819745144794317e-26,6.815974222571629e-23,True,+,0.61
skeptical,subversive,100,0.41616118133068086,1.421893712617106,14.21893712617106,1.174000766856932e-25,9.380266127186887e-23,True,+,0.47
anxious,empathetic,100,0.5002252233028411,1.4170491705112973,14.170491705112973,1.4741330747738885e-25,1.0872298400716957e-22,True,+,0.6
empathetic,detached,100,-0.38708778351545337,-1.3938532254529115,-13.938532254529115,4.401002675239191e-25,3.013290111884553e-22,True,-,0.6
skeptical,ritualistic,100,-0.39225451439619063,-1.3923998066459284,-13.923998066459284,4.714158497942042e-25,3.013290111884553e-22,True,-,0.55
playful,condescending,100,0.4577674534916878,1.390026595280553,13.900265952805531,5.27437734018874e-25,3.160670621108103e-22,True,+,0.57
empathetic,forgiving,100,0.2317453418672085,1.3869900181167216,13.869900181167216,6.089898348066343e-25,3.4128882180791122e-22,True,+,0.36
anxious,dispassionate,100,-0.35062052562832835,-1.385213753529915,-13.852137535299148,6.624528705693546e-25,3.4128882180791122e-22,True,-,0.48
playful,subversive,100,0.4334069809317589,1.3847767812156608,13.84776781215661,6.763128508917723e-25,3.4128882180791122e-22,True,+,0.43
cautious,condescending,100,0.3377815929055214,1.377602787904125,13.776027879041251,9.504247351856026e-25,4.491706096083614e-22,True,+,0.46
humble,accommodating,100,0.2588448983430862,1.3768759754632462,13.768759754632462,9.837904465765113e-25,4.491706096083614e-22,True,+,0.45
anxious,ritualistic,100,-0.5316046877205372,-1.3615362903380586,-13.615362903380584,2.040607490860991e-24,8.893338464715993e-22,True,-,0.63
pessimistic,condescending,100,0.45444508880376816,1.3605944127304657,13.605944127304658,2.1342815540403856e-24,8.897170234843137e-22,True,+,0.62
skeptical,playful,100,0.40354993313550946,1.3555859413691922,13.555859413691923,2.7100255012549035e-24,1.082655187751334e-21,True,+,0.52
empathetic,condescending,100,0.378693508207798,1.3535758294392821,13.53575829439282,2.9828729962995883e-24,1.1439914515408182e-21,True,+,0.51
cautious,urgent,100,-0.2638539053499699,-1.344254638957372,-13.442546389573721,4.6566536091362286e-24,1.7172305693999294e-21,True,-,0.41
playful,impatient,100,0.40479072511196135,1.3424353691046103,13.424353691046104,5.0801449585416905e-24,1.777799415567308e-21,True,+,0.44
empathetic,accommodating,100,0.2978205329179764,1.3419813357327224,13.419813357327223,5.191737967864479e-24,1.777799415567308e-21,True,+,0.54
anxious,accommodating,100,0.2602141679823399,1.3364123963346288,13.364123963346287,6.778538056461443e-24,2.241124927081115e-21,True,+,0.48
anxious,humble,100,0.3089434352517128,1.3314326818641105,13.314326818641105,8.60649345744245e-24,2.750635308998607e-21,True,+,0.49
anxious,condescending,100,0.40166170746088026,1.3299554141726075,13.299554141726075,9.23865310014496e-24,2.8574259975545124e-21,True,+,0.45
entertaining,subversive,100,0.5050722429156304,1.3286395579971888,13.286395579971888,9.840929527673412e-24,2.948588509729146e-21,True,+,0.54
entertaining,entertaining,100,0.6932069026678801,1.3239743917017026,13.239743917017027,1.2312318630456928e-23,3.5666662076053334e-21,True,+,0.73
risk_taking,subversive,100,0.3655672460794449,1.3234150321737936,13.234150321737937,1.2647752509238772e-23,3.5666662076053334e-21,True,+,0.52
entertaining,risk_taking,100,0.3280040618032217,1.3157668353455672,13.157668353455673,1.8271291366987936e-23,5.0052897607622954e-21,True,+,0.44
anxious,forgiving,100,0.2789229914546013,1.313770184154052,13.137701841540517,2.0114945467648626e-23,5.357280476217084e-21,True,+,0.4
anxious,gregarious,100,0.3302894409745932,1.312136985985404,13.121369859854038,2.1761160373014185e-23,5.639081233958379e-21,True,+,0.54
skeptical,disorganized,100,0.43856549382209775,1.3101449894687704,13.101449894687704,2.3953376585516486e-23,6.043815123735054e-21,True,+,0.45
risk_taking,condescending,100,0.3646445381641388,1.3030783774681112,13.03078377468111,3.3681067864468725e-23,8.280360991910927e-21,True,+,0.56
entertaining,condescending,100,0.5452437007427215,1.301239598022452,13.01239598022452,3.680761502442881e-23,8.822785321355586e-21,True,+,0.68
