trait,composite_score,n_total_axes,n_significant_axes,pct_significant_axes,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_axis,top_direction
playful,122.99176067324794,188,169,0.898936170212766,0.7277618974748399,1.390026595280553,0.36863905325443785,condescending,+
entertaining,117.38291278427701,188,163,0.8670212765957447,0.7201405692286933,1.3286395579971888,0.411840490797546,subversive,+
anxious,108.3856275479884,188,158,0.8404255319148937,0.6859849844809393,1.490008378920131,0.37518987341772153,emotional,+
skeptical,107.32449029666697,188,151,0.8031914893617021,0.7107582138852117,1.6204541323693422,0.3704635761589404,condescending,+
empathetic,105.35222952659909,188,153,0.8138297872340425,0.6885766635725431,1.5739622098080577,0.3866666666666667,emotional,+
humble,94.38508722712172,188,152,0.8085106382978723,0.6209545212310639,1.3768759754632462,0.36835526315789474,accommodating,+
risk_taking,90.2691857378791,188,161,0.8563829787234043,0.5606781722849633,1.3234150321737936,0.34403726708074533,subversive,+
inspirational,88.47070015600532,188,135,0.7180851063829787,0.6553385196741135,1.2480251211958373,0.39281705948372614,rhetorical,+
pessimistic,85.28243705558846,188,128,0.6808510638297872,0.6662690394967848,1.5972974858285096,0.389765625,entertaining,+
spontaneous,84.48902431930186,188,153,0.8138297872340425,0.5522158452241952,1.0728480314532267,0.35274509803921567,condescending,+
speculative,81.71644450597383,188,135,0.7180851063829787,0.6053069963405469,1.215477374690287,0.36837037037037035,risk_taking,+
cautious,80.96698162019025,188,138,0.7340425531914894,0.5867172581173207,1.377602787904125,0.35630434782608694,condescending,+
reactive,77.96179782239736,188,145,0.7712765957446809,0.5376675711889473,0.9818879082182831,0.34813793103448276,condescending,+
supportive,72.29098835280473,188,139,0.7393617021276596,0.5200790528978758,1.1064816183018094,0.3515107913669065,entertaining,+
narrative,71.5955041156331,188,131,0.6968085106382979,0.5465305657681916,1.2111567536230496,0.35694656488549614,entertaining,+
curious,71.4959750698296,188,134,0.7127659574468085,0.5335520527599223,0.9856247459695513,0.3146268656716418,condescending,+
optimistic,67.78503340195785,188,126,0.6702127659574468,0.537976455571094,1.2235279512499428,0.3707142857142857,entertaining,+
agreeable,67.55424694512952,188,137,0.7287234042553191,0.4930966930301425,1.0297759578009358,0.3224087591240876,condescending,+
patient,64.64609677253009,188,131,0.6968085106382979,0.49348165475213807,0.9927735142973282,0.3549618320610687,accommodating,+
verbose,60.94241174218286,188,114,0.6063829787234043,0.534582559141955,1.044504811573476,0.33824561403508774,pedantic,+
intuitive,59.588659429370715,188,127,0.675531914893617,0.4692020427509505,0.8855861325487584,0.36086614173228343,entertaining,+
casual,58.655136281677976,188,124,0.6595744680851063,0.47302529259417725,0.930231205001386,0.3360483870967742,entertaining,+
inclusive,56.11702587679747,188,122,0.648936170212766,0.45997562194096286,0.8304916327398193,0.3527868852459016,condescending,+
accessible,55.15324272649042,188,126,0.6702127659574468,0.43772414862293985,0.8455848665875936,0.32976190476190476,entertaining,+
flexible,52.56322203487468,188,125,0.6648936170212766,0.42050577627899743,0.8106086059798395,0.33048,condescending,+
formal,51.746742581346986,188,116,0.6170212765957447,0.4460926084598878,1.0860256061978215,0.3041379310344828,pedantic,+
resilient,51.10761788559943,188,107,0.5691489361702128,0.47764128865046196,0.9245276371393795,0.33056074766355137,subversive,+
inquisitive,50.97574873427089,188,127,0.675531914893617,0.40138384830134555,0.7711817275093588,0.3320472440944882,risk_taking,+
confident,50.44874464035989,188,125,0.6648936170212766,0.40358995712287915,0.7596957972724294,0.32952,condescending,+
collaborative,49.0208818232854,188,118,0.6276595744680851,0.41543120189224914,0.7311097891744592,0.34652542372881356,accommodating,+
big_picture,43.86364321038656,188,109,0.5797872340425532,0.402418745049418,0.7850488210283817,0.3440366972477064,provocative,+
analytical,39.79834051800876,188,96,0.5106382978723404,0.4145660470625912,0.8328068867036252,0.30697916666666664,provocative,+
grounded,39.27973733844244,188,105,0.5585106382978723,0.37409273655659464,0.6206389695307704,0.3516190476190476,entertaining,+
adaptable,37.06607824260785,188,102,0.5425531914893617,0.3633929239471358,0.5982181281313459,0.3365686274509804,entertaining,+
problem_solving,36.957069081389044,188,97,0.5159574468085106,0.3810007121792685,0.6811623160652461,0.3475257731958763,entertaining,+
calm,36.89774973877382,188,98,0.5212765957446809,0.3765076503956512,0.6370782028372105,0.3360204081632653,condescending,+
educational,34.743982639997164,188,94,0.5,0.3696168365957145,0.6690398060359551,0.3192553191489362,condescending,+
proactive,33.80100384824613,188,89,0.4734042553191489,0.37978656009265316,0.6902222288621531,0.32157303370786516,condescending,+
transparent,33.736113707148526,188,96,0.5106382978723404,0.3514178511161305,0.6538762694172682,0.3272916666666667,confrontational,-
open_ended,33.160010922521636,188,90,0.4787234042553192,0.36844456580579593,0.5759257661094535,0.3442222222222222,provocative,+
independent,30.84387043308598,188,88,0.46808510638297873,0.3504985276487043,0.6522940749342028,0.30511363636363636,condescending,+
practical,30.11762333990704,188,94,0.5,0.3204002482968834,0.5100910608707483,0.32393617021276594,entertaining,+
serious,27.233111589594294,188,73,0.3882978723404255,0.3730563231451273,0.6570900565331554,0.34671232876712327,pedantic,+
strategic,25.25959456019525,188,65,0.34574468085106386,0.38860914707992694,0.8877841856571734,0.34001554001554,traditional,-
traditional,23.21615743958828,188,74,0.39361702127659576,0.31373185729173353,0.5895593915851423,0.3162162162162162,condescending,+
conscientious,22.815009537662366,188,69,0.3670212765957447,0.33065231214003427,0.5878824335410857,0.3120289855072464,condescending,+
methodical,18.284083853256725,188,58,0.30851063829787234,0.3152428250561504,0.6063920941031966,0.31982758620689655,dominant,+
stoic,17.615949930378505,188,55,0.2925531914893617,0.32028999873415465,0.5565741465137755,0.32527272727272727,competitive,+
data_driven,17.15940156217531,188,51,0.2712765957446808,0.33645885416030025,0.5837455101135287,0.2988235294117647,challenging,+
factual,10.510871013667856,188,39,0.2074468085106383,0.26950951317097066,0.33489335977908463,0.3164102564102564,agreeable,+
concise,4.638137901587797,188,19,0.10106382978723404,0.24411252113619983,0.30169606664935816,0.33157894736842103,chaotic,+
