trait,any_abs_mean_sum,any_top10_count,any_top5_count,negative_abs_mean_sum,negative_top10_count,negative_top5_count,positive_abs_mean_sum,positive_top10_count,positive_top5_count
playful,36.951361570945025,150,118,10.715643049245703,50,32,26.23571852169932,110,94
entertaining,36.1792169399932,145,123,10.530255676377564,46,36,25.64896126361565,110,93
anxious,34.298368116254,128,96,13.022843140829357,68,49,21.275524975424638,81,61
empathetic,32.138965740129336,124,85,11.928397531230003,66,48,20.210568208899335,79,53
skeptical,29.576474126838157,110,61,10.462934942301361,51,33,19.113539184536783,74,36
pessimistic,29.32541178291664,106,65,10.507235131673513,50,30,18.818176651243107,68,43
humble,28.91786148093642,116,60,11.947651356142016,78,60,16.970210124794402,65,28
inspirational,26.62993589394726,89,69,5.75394027935341,31,23,20.87599561459385,84,61
reactive,26.368418047335002,102,32,8.829691387079656,50,20,17.538726660255353,70,25
speculative,24.505175849823274,82,63,6.146532510770484,24,14,18.358643339052797,71,58
supportive,23.239775974210357,62,10,8.046307952310887,36,4,15.193468021899465,44,9
cautious,23.17608666738495,65,8,8.157212717570363,42,9,15.01887394981459,38,2
patient,22.0506760590151,60,6,7.448973136506975,35,6,14.601702922508117,48,9
spontaneous,21.66783782826737,42,0,7.1695113169495,22,4,14.498326511317863,39,1
optimistic,20.99114108059556,43,9,6.341772447992116,15,3,14.649368632603432,39,9
narrative,20.63584127085283,48,13,7.020274427440019,25,13,13.615566843412818,33,4
curious,20.36145121799781,11,1,6.9255641387961795,14,2,13.43588707920164,6,0
intuitive,19.183378151301305,13,0,5.706787899546325,5,0,13.476590251754967,16,1
verbose,18.168572829393664,65,40,3.5945973118022083,33,14,14.573975517591464,80,51
transparent,17.383094959640868,11,0,5.5400038480479274,16,2,11.843091111592953,13,2
casual,16.709587893672275,3,2,5.823613345567137,19,4,10.885974548105152,2,2
resilient,16.316989292686483,23,6,4.852963597305557,14,2,11.46402569538092,24,8
collaborative,15.93781530824956,1,0,5.494980917852372,9,2,10.44283439039719,2,0
proactive,15.73151400020345,16,2,3.84189878564328,1,0,11.88961521456018,23,5
inquisitive,15.586808933224532,6,0,4.714425912536681,8,0,10.872383020687845,9,0
formal,14.542709217686197,41,21,6.075310723464936,86,77,8.46739849422127,61,48
agreeable,14.482214881591496,4,0,4.622016112692654,4,0,9.860198768898849,3,0
big_picture,14.460780745483934,45,17,4.6100157212838555,62,40,9.850765024200081,66,36
confident,14.304255372192703,26,8,3.177628718037158,13,8,11.126626654155547,39,18
inclusive,13.973366622428875,14,8,4.899851988237351,26,14,9.073514634191524,15,10
accessible,13.873096112180502,6,0,5.661188111864031,37,21,8.21190800031647,5,2
flexible,13.021808820674202,2,0,4.357921111229806,13,4,8.663887709444392,3,1
adaptable,12.637730521755293,2,1,4.517328657507897,26,1,8.120401864247397,7,1
calm,12.42180991055444,5,0,4.100930569656193,14,3,8.320879340898248,4,1
open_ended,12.2162173573114,2,0,2.9042851803451772,2,0,9.311932176966215,5,0
grounded,11.943309798222042,0,0,4.383018877450377,21,10,7.560290920771658,1,0
analytical,11.70360232904553,26,1,3.523089503366501,71,38,8.180512825679031,66,33
educational,11.231867052838211,2,0,3.398363207876682,9,1,7.833503844961522,5,0
independent,11.189472881481056,0,0,3.7038211092539126,11,2,7.485651772227139,0,0
practical,11.021537824906403,4,0,3.4187593302689487,23,6,7.602778494637457,12,2
problem_solving,10.98281017452479,3,0,3.9896476977318516,25,4,6.993162476792935,2,0
data_driven,10.60365179030225,26,5,2.8899465635418884,80,32,7.71370522676036,69,33
serious,10.101952049555253,14,1,3.3327759427577255,79,46,6.769176106797533,53,24
traditional,8.954260083701877,9,1,2.5883345902586985,69,8,6.365925493443182,47,5
strategic,8.49465595377723,8,2,2.8081079261111364,77,21,5.686548027666095,45,10
conscientious,8.44247267700732,1,0,1.9451509997248646,8,1,6.497321677282454,5,1
methodical,7.529648330686614,10,3,3.0187716869451093,95,68,4.510876643741504,50,24
stoic,7.4242111332528316,6,3,2.2313840448856355,71,34,5.192827088367195,40,14
concise,6.1845986663363846,3,0,2.115553528815508,65,42,4.069045137520879,26,14
factual,4.005456634461878,0,0,1.8382330195978276,85,49,2.1672236148640516,23,8
