axis,num_traits,mean_abs_shift,max_abs_shift,signed_mean_shift,trait_mean_std,strongest_positive_trait,strongest_positive_mean_delta,strongest_negative_trait,strongest_negative_mean_delta
serious,50,0.29045610273786254,0.7759992235898971,-0.276201099535901,0.20475743434596652,formal,0.20278385967016221,entertaining,-0.7759992235898971
entertaining,50,0.28726975539699995,0.8028792217373848,0.2854639844156881,0.15783449267798055,entertaining,0.8028792217373848,formal,-0.04514427453279495
casual,50,0.27811726235074735,0.6947030606865883,0.2615654336087201,0.20194724557455263,entertaining,0.6947030606865883,formal,-0.21619323939085006
formal,50,0.27415762285721784,0.7070780372619629,-0.2541666158629704,0.20860303527718277,formal,0.24681795865297318,entertaining,-0.7070780372619629
solemn,50,0.2704983426574596,0.7136873266100884,-0.2537680084709057,0.19821303968086523,formal,0.21669387936592102,entertaining,-0.7136873266100884
narrative,50,0.2685814198166523,0.6409313002228737,0.2685814198166523,0.11436219457650745,entertaining,0.6409313002228737,formal,0.05653619147837162
playful,50,0.2606708590268249,0.7624866303801536,0.25797241135827254,0.15254607180698468,entertaining,0.7624866303801536,formal,-0.06746119171380997
subversive,50,0.25442479582343414,0.5753130146861076,0.25442479582343414,0.10603534997625975,entertaining,0.5753130146861076,formal,0.05226322621107102
condescending,50,0.25307883373123535,0.570071035027504,0.25307883373123535,0.10153058899333187,entertaining,0.570071035027504,formal,0.07689561307430268
spontaneous,50,0.2528924927752151,0.6305475440621376,0.2528924927752151,0.10888001410276861,entertaining,0.6305475440621376,formal,0.057756361961364744
empathetic,50,0.24202459337138219,0.5539433750510215,0.24044947168253944,0.13512806476388722,entertaining,0.5539433750510215,formal,-0.03937804222106934
emotional,50,0.24021932177098035,0.5832074284553528,0.2398222942665362,0.12310169855923261,entertaining,0.5832074284553528,formal,-0.009925687611103058
disorganized,50,0.23327290986089091,0.6046860909461975,0.22660305452851634,0.14856630351073152,entertaining,0.6046860909461975,formal,-0.10230790436267853
provocative,50,0.22893645518478956,0.45943195052444935,0.22893645518478956,0.07666754917584968,entertaining,0.45943195052444935,concise,0.06326874712966893
stream_of_consciousness,50,0.22242938433023873,0.536641406416893,0.22214872400494998,0.11192949533624244,entertaining,0.536641406416893,formal,-0.007016508132219315
ritualistic,50,0.21154522620637617,0.5186437097191811,-0.18479660701949802,0.172810770686191,formal,0.2420576322078705,entertaining,-0.5186437097191811
detached,50,0.20708160129463227,0.5108719784021377,-0.20556351138031037,0.1185476869074986,formal,0.03795224785804749,entertaining,-0.5108719784021377
rhetorical,50,0.20545798890983172,0.4553458097577095,0.20545798890983172,0.06379311765090864,entertaining,0.4553458097577095,concise,0.06936400434742235
dispassionate,50,0.20417008578396892,0.5347159820795059,-0.20398134631730172,0.10789168547366342,formal,0.004718486666679383,entertaining,-0.5347159820795059
accessible,50,0.2038078847287359,0.4988565593957901,0.11737573131482931,0.21485750659164551,anxious,0.4988565593957901,formal,-0.42176191866397855
mercurial,50,0.2033403500651176,0.5529510927200317,0.2015891283129509,0.1173974506359812,entertaining,0.5529510927200317,formal,-0.03191937923431396
stoic,50,0.20188577221598636,0.5295101368427276,-0.19584711149897582,0.1342955112640224,formal,0.09046057701110839,entertaining,-0.5295101368427276
introspective,50,0.19884882514295177,0.41521806376320974,0.19884882514295177,0.07074268453200208,speculative,0.41521806376320974,concise,0.0278777929201518
