axis,direction,rank,trait,count,mean_delta,min_delta,max_delta
absolutist,positive,1,concise,73,-0.020696213392362203,-0.7451757192611694,0.44422924518585205
absolutist,positive,2,methodical,100,-0.050482705682516095,-0.690351128578186,0.49202680587768555
absolutist,positive,3,factual,100,-0.05286268532276153,-0.6297394335269928,0.5724033713340759
absolutist,positive,4,formal,100,-0.06952821776270866,-0.9141937494277954,0.42622458934783936
absolutist,negative,1,speculative,98,-0.26297408540029915,-1.0947571098804474,0.28767406940460205
absolutist,negative,2,skeptical,100,-0.26148527473211286,-1.3965378999710083,0.32847434282302856
absolutist,negative,3,pessimistic,100,-0.22425010651350022,-1.789119005203247,0.33537304401397705
absolutist,negative,4,playful,100,-0.1934114331007004,-0.8160629868507385,0.43848732113838196
abstract,positive,1,formal,100,0.2715793915092945,-0.37949031591415405,0.977584719657898
abstract,positive,2,verbose,100,0.25317317243665455,-0.466256495565176,1.0001275539398193
abstract,positive,3,big_picture,100,0.17658775061368942,-1.5993298292160034,1.7003767490386963
abstract,positive,4,speculative,98,0.17022299371203597,-0.7031347155570984,1.0858120918273926
abstract,negative,1,anxious,100,-0.19879583947360516,-1.535329282283783,0.6023039668798447
abstract,negative,2,humble,100,-0.12392160169780254,-0.9281055331230164,0.5830072164535522
abstract,negative,3,empathetic,100,-0.11456853717565536,-0.8794318437576294,0.8995227217674255
abstract,negative,4,practical,100,-0.10741802409291268,-1.4993046522140503,1.0189907550811768
accessible,positive,1,anxious,100,0.4988565593957901,-0.3964220881462097,2.618965744972229
accessible,positive,2,empathetic,100,0.49344429790973665,-1.6006875038146973,2.359612762928009
accessible,positive,3,humble,100,0.4772830882668495,-0.7630808353424072,2.344431757926941
accessible,positive,4,entertaining,100,0.44166370838880536,-0.46766161918640137,3.1349759101867676
accessible,negative,1,formal,100,-0.42176191866397855,-2.282645106315613,0.5502018928527832
accessible,negative,2,verbose,100,-0.325901982486248,-1.9704571664333344,0.37247300148010254
accessible,negative,3,data_driven,100,-0.283327926248312,-1.9795392453670502,0.8787769079208374
accessible,negative,4,confident,100,-0.17601128816604614,-2.3508450388908386,1.9142155647277832
accommodating,positive,1,empathetic,100,0.27399082452058793,-0.2635948657989502,0.8021196722984314
accommodating,positive,2,entertaining,100,0.27250493735075,-0.4804139733314514,1.268365740776062
accommodating,positive,3,anxious,100,0.2608313092589378,-0.1499159336090088,0.9445260763168335
accommodating,positive,4,playful,100,0.2538533395528793,-0.2111753225326538,1.0590085983276367
accommodating,negative,1,formal,100,-0.006963391602039337,-0.37529605627059937,0.38180315494537354
accommodating,negative,2,data_driven,100,0.014726282060146333,-0.441483736038208,0.5476676821708679
accommodating,negative,3,concise,73,0.023441580060410173,-0.4523194432258606,0.5507997870445251
accommodating,negative,4,stoic,76,0.036020055413246155,-0.3028964400291443,0.6196222901344299
acerbic,positive,1,playful,100,0.09600856184959411,-0.8993051052093506,0.7395684719085693
acerbic,positive,2,entertaining,100,0.08723376154899597,-0.7182533740997314,0.937057375907898
acerbic,positive,3,stoic,76,0.07267168948524877,-0.9272844791412354,0.6066019535064697
acerbic,positive,4,data_driven,100,0.07035956025123596,-0.7886061668395996,0.8206143379211426
acerbic,negative,1,inclusive,100,-0.08999862790107727,-0.8355717658996582,0.4314342737197876
acerbic,negative,2,optimistic,100,-0.0781066358089447,-0.833531379699707,0.5012154579162598
acerbic,negative,3,agreeable,100,-0.07549822330474854,-0.7043709754943848,0.538374662399292
acerbic,negative,4,cautious,100,-0.06881684541702271,-1.0771982669830322,0.45435142517089844
adventurous,positive,1,entertaining,100,0.257784840464592,-0.15345370769500732,1.8647825419902802
adventurous,positive,2,playful,100,0.22131136149168015,-0.19036221504211426,1.0677772164344788
adventurous,positive,3,inspirational,100,0.17524968460202217,-0.1847885549068451,0.7208616435527802
adventurous,positive,4,intuitive,100,0.11791760623455047,-0.2930574417114258,0.5188256800174713
adventurous,negative,1,supportive,100,0.023886995464563368,-0.39981383085250854,0.3262142241001129
adventurous,negative,2,cautious,100,0.024354894012212754,-0.3504294157028198,0.3745032548904419
adventurous,negative,3,practical,100,0.0282017882168293,-0.41473501920700073,0.5094367563724518
adventurous,negative,4,methodical,100,0.02881804436445236,-0.3965516686439514,0.4397854208946228
agreeable,positive,1,inclusive,100,0.09739779710769653,-0.3194462060928345,0.7788910865783691
agreeable,positive,2,inspirational,100,0.09197699189186097,-0.5243878364562988,0.709298849105835
agreeable,positive,3,optimistic,100,0.08960335314273835,-0.43755626678466797,0.7919474840164185
agreeable,positive,4,verbose,100,0.08220450878143311,-0.45174241065979004,0.7635555267333984
agreeable,negative,1,playful,100,-0.02572344779968262,-0.6654770374298096,0.7355120182037354
