axis,composite_score,n_total_traits,n_significant_traits,pct_significant_traits,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_trait,top_direction
condescending,48.320311580946566,50,50,1.0,0.9664062316189314,1.5067259255743608,0.40804964829110696,playful,+
subversive,42.43943507390158,50,50,1.0,0.8487887014780315,1.4918148538563272,0.40209055603158284,playful,+
entertaining,42.232800499381085,50,48,0.96,0.8798500104037726,1.4297333438602384,0.43615099959740294,playful,+
provocative,41.4601825120369,50,50,1.0,0.829203650240738,1.4331192469806633,0.4026901418512764,entertaining,+
rhetorical,40.89893559289879,50,50,1.0,0.8179787118579758,1.3206649614260741,0.39463670319989513,playful,+
spontaneous,40.79798521385388,50,50,1.0,0.8159597042770775,1.387720732276118,0.4137540721938502,playful,+
emotional,40.44305595258635,50,48,0.96,0.8425636656788823,1.3929373554530093,0.432944044217113,playful,+
dispassionate,39.82135911148968,50,48,0.96,0.8296116481560349,1.3951503480802285,0.36667752689902294,entertaining,-
artistic,38.8818574444308,50,50,1.0,0.777637148888616,1.3447371510339545,0.3018014970598833,playful,+
narrative,38.793041566181564,50,48,0.96,0.808188365962116,1.186933050068943,0.39202800885191696,playful,+
risk_taking,38.476319208409485,50,50,1.0,0.7695263841681897,1.551535935404983,0.2682961923274272,speculative,+
empathetic,37.715216084305155,50,46,0.92,0.8198960018327207,1.303951115434802,0.47646973948645377,anxious,+
accommodating,37.15163833047679,50,46,0.92,0.8076443115321041,1.3578368624286332,0.38782372708565377,empathetic,+
playful,36.920394067225814,50,49,0.98,0.753477429943384,1.3247859871260848,0.3725419042821753,playful,+
animated,36.80338248353477,50,50,1.0,0.7360676496706954,1.4239115075619995,0.4194005335193336,playful,+
sycophantic,36.7800830572978,50,49,0.98,0.750613939944853,1.3066268407594785,0.37158847772582754,anxious,+
metaphorical,36.48346606060327,50,49,0.98,0.7445605318490464,1.2011154174452205,0.33612531266134443,speculative,+
deconstructionist,36.44389273046174,50,49,0.98,0.7437529128665661,1.2383022399299441,0.41352776208867803,playful,+
gregarious,36.156160714784825,50,47,0.94,0.7692800152081878,1.2773740506408857,0.4292377487079271,playful,+
stream_of_consciousness,35.15166811798283,50,48,0.96,0.7323264191246422,1.1843546693996938,0.4548896737513517,playful,+
whimsical,35.01059648172348,50,49,0.98,0.7145019690147649,1.3585868582979197,0.36063702460667524,speculative,+
creative,34.77849617162665,50,49,0.98,0.7097652279923806,1.3028689989434539,0.35910106977635764,speculative,+
rebellious,34.68667005856712,50,50,1.0,0.6937334011713423,1.3908951571100596,0.3711561862352513,playful,+
chaotic,33.06277312704015,50,50,1.0,0.661255462540803,1.2098879534437306,0.4079524510990178,playful,+
contrarian,33.05909414028002,50,49,0.98,0.6746753906179596,1.268493951499119,0.45853055980390967,playful,+
detached,32.61664917240648,50,44,0.88,0.7412874811910565,1.2281115774001128,0.4699418238607531,playful,-
introspective,32.451768808138496,50,49,0.98,0.6622809960844591,1.3095261050085787,0.3752664553263313,speculative,+
charismatic,32.37060213406342,50,49,0.98,0.660624533348233,1.208555156386476,0.3062732773251906,playful,+
passionate,32.26218169943901,50,48,0.96,0.6721287854049794,1.2342832640060926,0.41944988808313827,playful,+
iconoclastic,32.2198864268312,50,49,0.98,0.6575487025883919,1.2525938121480946,0.38826893332275914,playful,+
decisive,32.07270762072889,50,44,0.88,0.7289251731983839,1.2425176834283393,0.331710121185805,skeptical,-
forgiving,31.871611701869934,50,43,0.86,0.7412002721365101,1.4351845904613367,0.27174201496531325,anxious,+
challenging,31.759345490966563,50,50,1.0,0.6351869098193312,1.2276298268787513,0.4254128994468517,data_driven,+
confrontational,31.730414228133018,50,47,0.94,0.6751151963432557,1.1994319584257076,0.41060792851317574,playful,-
witty,31.483465213977723,50,48,0.96,0.6559055252912026,1.390761246289184,0.37419292763125295,playful,+
inquisitive,31.252432069467314,50,47,0.94,0.6649453631801556,1.057694262848742,0.335796591436156,anxious,+
closure_seeking,31.229210298397298,50,45,0.9,0.6939824510754955,1.2862407698494658,0.3562038886476576,skeptical,-
urgent,31.041923618125693,50,43,0.86,0.7219052004215277,1.106779732017903,0.37293762433226624,casual,-
serious,30.952322374990214,50,44,0.88,0.7034618721588685,1.3050976575119935,0.38864598842623166,playful,-
casual,30.401220519938484,50,42,0.84,0.7238385838080591,1.2670874772055154,0.39528940504175947,playful,+
disorganized,30.323075422356357,50,47,0.94,0.6451718174969437,1.198288371806113,0.3614200640834135,playful,+
ritualistic,29.830305170443168,50,42,0.84,0.7102453612010278,1.2444928122042265,0.46319903645348726,anxious,-
formal,29.82536641716153,50,42,0.84,0.7101277718371792,1.2367611604054665,0.39950745668410886,playful,-
dramatic,29.79465183706143,50,50,1.0,0.5958930367412286,1.1002099227667748,0.3045466911438984,playful,+
solemn,29.60058608716873,50,43,0.86,0.6883857229574123,1.2975689951357363,0.39742788627537334,playful,-
arrogant,29.45620248917743,50,50,1.0,0.5891240497835486,1.0187163860048445,0.3440331152025461,playful,+
socratic,28.98625864962086,50,47,0.94,0.6167289074387418,0.9993225678501166,0.287816376294062,anxious,+
reserved,28.38233379599533,50,42,0.84,0.675769852285603,1.2752802878400027,0.3391718876000248,entertaining,-
stoic,28.018380861796217,50,43,0.86,0.651590252599912,1.2471124502949846,0.37556471230383864,playful,-
mercurial,27.956978147472284,50,46,0.92,0.6077603945102671,1.2070011904991729,0.39535570158344985,playful,+
innovative,27.4709325982398,50,49,0.98,0.5606312775150979,1.152965666294573,0.3225212093226711,playful,+
relativist,26.775387078429446,50,48,0.96,0.5578205641339468,1.1511428455102615,0.27833734221572165,speculative,+
chill,26.629733361187213,50,39,0.78,0.6828136759278772,1.1873418464395755,0.3811339724105681,inclusive,+
flirty,26.39719953246889,50,46,0.92,0.5738521637493237,1.1259363094496506,0.38164128661561686,playful,+
passive_aggressive,25.971998986896956,50,48,0.96,0.5410833122270199,1.2131874098726587,0.3240789054964514,playful,+
philosophical,25.916266294081893,50,44,0.88,0.5890060521382249,1.4465470577649167,0.26716763239959535,formal,+
absolutist,25.796435488986297,50,48,0.96,0.5374257393538812,1.0103382453674699,0.38466894820638226,speculative,-
essentialist,25.786140000065338,50,44,0.88,0.5860486363651213,0.979762600034378,0.3568197607863262,entertaining,-
impatient,25.456431174048518,50,44,0.88,0.5785552539556481,1.1246044850595742,0.32057976014711154,playful,+
radical,25.235222816980986,50,48,0.96,0.5257338086871038,0.9532753296923927,0.33232038111997314,playful,+
extroverted,24.98462741599948,50,45,0.9,0.5552139425777662,1.0963652401229225,0.3679873594828004,playful,+
zealous,24.843267531831778,50,46,0.92,0.5400710333006908,1.0410841220018605,0.40918155710588733,playful,+
reverent,24.747228147884055,50,41,0.82,0.6035909304361965,1.179897744069958,0.40434455922592455,playful,-
traditional,24.581289179870726,50,49,0.98,0.5016589628545046,1.083364679713599,0.3828931805752727,playful,-
enigmatic,24.479897178282446,50,50,1.0,0.4895979435656489,0.9128287155248388,0.29502702897477695,playful,+
pacifist,24.169678954252937,50,47,0.94,0.5142484883883603,1.0307155735115692,0.30303887789662026,entertaining,+
effusive,23.75591489034268,50,42,0.84,0.5656170211986352,1.137508543722254,0.37417911581635516,playful,+
conscientious,23.734093430088684,50,41,0.82,0.5788803275631387,1.078178546011352,0.38681260181703464,playful,-
humble,23.671089248866434,50,40,0.8,0.5917772312216608,1.1505412672510074,0.42745918367346947,humble,+
poetic,23.564321580744664,50,50,1.0,0.4712864316148933,1.0637427576619658,0.32336382950547865,playful,+
qualitative,23.549451744369367,50,43,0.86,0.5476616684737062,1.0389971589892193,0.27425935836977045,entertaining,+
spiritual,23.387278703625753,50,47,0.94,0.4976016745452288,0.828839299082881,0.1896819329575961,entertaining,+
paranoid,23.287413163824024,50,42,0.84,0.5544622181862863,1.0839700154546783,0.31167672279694586,playful,+
flippant,22.622535112130713,50,42,0.84,0.5386317883840646,1.1029168501115734,0.3721748632789809,playful,+
mystical,22.62095118177733,50,47,0.94,0.4812968336548368,0.8945166924876983,0.18413693209511178,entertaining,+
eclectic,22.5058435165057,50,42,0.84,0.5358534170596595,1.2622770017130673,0.42828083561052005,formal,+
critical,22.453531751384023,50,45,0.9,0.49896737225297827,0.9671110191769579,0.4137390081079091,speculative,+
hedonistic,22.344212261474926,50,44,0.88,0.507823005942612,1.1248745717542266,0.3579770572058052,playful,+
futuristic,22.306454006199004,50,44,0.88,0.5069648637772501,1.081793887722713,0.281770838743723,speculative,+
grandiose,22.185151265504917,50,42,0.84,0.5282178872739266,1.1624060311248818,0.30430886011178276,formal,+
quantitative,21.869171640107943,50,40,0.8,0.5467292910026986,0.9790003534780062,0.2881100738167607,entertaining,-
mischievous,21.58300472997959,50,47,0.94,0.4592128665953104,1.1672988286492663,0.3039877569790773,playful,+
confident,21.38985194076852,50,39,0.78,0.5484577420709876,1.0595872484354096,0.46943485086342224,humble,-
historical,20.88326111799791,50,47,0.94,0.4443247046382534,0.8097223690477676,0.24904872120156824,playful,+
nostalgic,20.682583239041673,50,44,0.88,0.47005870997821986,0.8950809447447623,0.3301554089008096,playful,+
existentialist,20.654834981049316,50,39,0.78,0.5296111533602389,0.8971496075283315,0.2275105167577825,anxious,+
adventurous,20.6303755914565,50,45,0.9,0.4584527909212555,1.077846715828518,0.3229821942818351,playful,+
pedantic,20.19605101678936,50,38,0.76,0.5314750267576148,1.2117326182090695,0.40700322234156816,formal,+
accessible,20.007675869012566,50,42,0.84,0.47637323497648965,0.952607638519604,0.4421864855364638,formal,-
romantic,19.896618933715448,50,47,0.94,0.42333231773862656,0.8140810826582284,0.35755077575396566,playful,+
libertarian,19.84899912508883,50,43,0.86,0.4616046308160193,0.8071809144422615,0.3088015085747204,playful,+
data_driven,19.84215423333452,50,38,0.76,0.5221619535088031,0.9048221409597862,0.24680279726672308,entertaining,-
eloquent,19.72336842212351,50,38,0.76,0.5190360111085134,1.4029971217206754,0.39715335771840415,formal,+
circumspect,18.95447604605504,50,39,0.78,0.4860122063091036,1.1084299420198223,0.35283275994522195,verbose,+
introverted,18.861757032612868,50,37,0.74,0.5097772170976451,1.057119385087987,0.4235250143760782,playful,-
understated,18.515417980498484,50,36,0.72,0.5143171661249579,0.8467686390167072,0.41298752834467123,skeptical,+
ascetic,18.427016154301914,50,34,0.68,0.541971063361821,1.0499548603806714,0.18165832290362963,playful,-
fatalistic,18.15222633746096,50,44,0.88,0.41255059857865817,0.8080955682199361,0.2601115457890373,speculative,+
deterministic,18.067274027316003,50,43,0.86,0.42016916342595356,0.8382955277193478,0.23450994418966065,speculative,+
ironic,17.938745767790476,50,41,0.82,0.4375303845802555,0.9791843220631852,0.36485833904205983,playful,+
earnest,17.560194244597415,50,38,0.76,0.46211037485782674,0.9812749973531065,0.3237637767430895,playful,-
callous,17.007668085800635,50,38,0.76,0.4475702127842272,0.8938240844942045,0.27789370843522193,anxious,-
dominant,16.861241450122417,50,38,0.76,0.4437168802663794,0.8174026905464319,0.352917349765391,casual,-
cynical,16.5032742088718,50,39,0.78,0.423160877150559,0.9639689998744111,0.2647281174035689,playful,+
edgy,15.951071904267891,50,37,0.74,0.4311100514666998,0.8960889062975306,0.3774148815726164,playful,+
irreverent,15.820124585857197,50,36,0.72,0.43944790516269994,0.9874310604309386,0.39667537638422307,playful,+
experiential,15.279724659310798,50,34,0.68,0.4494036664503176,0.8525494001901844,0.36088235294117643,anxious,+
collectivistic,15.083388893691499,50,37,0.74,0.4076591592889594,0.7568398922485465,0.14679892926551547,skeptical,-
manic,15.080003813249608,50,35,0.7,0.43085725180713164,0.9653178689047781,0.36759110542313217,playful,+
misanthropic,14.838293823924268,50,34,0.68,0.4364204065860079,0.841114877308935,0.29623547963418284,playful,+
nihilistic,14.710713455388545,50,36,0.72,0.4086309293163485,0.7418057633540377,0.28076281128352787,playful,+
theoretical,14.548351957094011,50,32,0.64,0.45463599865918786,1.3664778878595083,0.32707908163265315,formal,+
esoteric,14.40011714290279,50,28,0.56,0.5142898979608139,1.3365706146867395,0.4678249194414609,formal,+
nonchalant,14.209423457360918,50,32,0.64,0.4440444830425287,0.9231895349949061,0.3591940789473684,playful,+
epicurean,14.2027038822397,50,27,0.54,0.5260260697125815,1.4213876087400925,0.4205062639713095,formal,+
pluralist,13.473144585088253,50,36,0.72,0.37425401625245147,0.6004895873960912,0.3049627297727601,entertaining,-
bombastic,13.22094034233859,50,28,0.56,0.4721764407978068,1.1914619437213323,0.3590078811879895,formal,+
visceral,13.201754093260467,50,29,0.58,0.45523289976760234,0.8620285607320332,0.38785766691122525,playful,+
fundamentalist,13.197237892358682,50,34,0.68,0.3881540556576083,0.6965492436668292,0.3334513805522208,speculative,-
reactive,12.931088012522498,50,32,0.64,0.40409650039132805,0.8111443824384793,0.34791398376259797,playful,+
diplomatic,12.796364251407997,50,31,0.62,0.4127859435938064,0.8235040346514213,0.37038076119802393,playful,-
goofy,12.57267607728932,50,31,0.62,0.40557019604159095,0.896672444870517,0.37938193114908064,playful,+
calm,12.108964991165106,50,29,0.58,0.4175505169367278,0.8463428518565667,0.38652237710931775,playful,-
grounded,12.096697037220155,50,30,0.6,0.40322323457400516,1.0223482096446246,0.286126356925749,speculative,-
idealistic,12.07629962272083,50,30,0.6,0.402543320757361,0.6326509638615427,0.34133333333333327,formal,+
theatrical,11.975807836990274,50,28,0.56,0.4277074227496526,0.7440498041503527,0.3079469815441773,analytical,+
verbose,11.68512489615085,50,29,0.58,0.40293534124658104,1.0042300832567113,0.3334458248067717,verbose,+
naive,11.637219114250044,50,30,0.6,0.3879073038083348,0.7364976070937918,0.39788435374149667,anxious,+
literal,11.430710714164297,50,30,0.6,0.38102369047214324,0.8134803936418029,0.3609251700680272,speculative,-
utilitarian,11.352697300140216,50,30,0.6,0.3784232433380072,0.6044446965573295,0.224957012592271,entertaining,-
sassy,11.22869404078854,50,28,0.56,0.40102478717101925,0.8504068728343221,0.4253947368421052,playful,+
ethereal,10.903209184421428,50,28,0.56,0.389400328015051,0.6498436394973021,0.3638638308784769,stoic,+
competitive,10.60241294250062,50,26,0.52,0.4077851131731008,0.7554721966839851,0.3120312178622849,playful,+
temperamental,9.892411857265424,50,25,0.5,0.39569647429061694,0.8191414036383553,0.4008,playful,+
