trait,axis,n,mean_delta,cohen_d,t_stat,p_raw,p_adjusted,significant,direction,exceedance_rate
speculative,risk_taking,98,0.31161973024813494,1.551535935404983,15.35942213651267,1.0136761840944004e-27,9.528556130487365e-24,True,+,0.32653061224489793
playful,condescending,100,0.5069661092758179,1.5067259255743608,15.067259255743608,2.2801308433065512e-27,1.0645707591328353e-23,True,+,0.67
entertaining,condescending,100,0.570071035027504,1.4946089477539795,14.946089477539795,3.982439577443088e-27,1.0645707591328353e-23,True,+,0.7
playful,subversive,100,0.5124359196424484,1.4918148538563272,14.91814853856327,4.530088336735469e-27,1.0645707591328353e-23,True,+,0.47
skeptical,condescending,100,0.4011218810081482,1.4553497631235446,14.553497631235446,2.455553820406636e-26,4.6164411823644754e-23,True,+,0.58
formal,philosophical,100,0.3126978311687708,1.4465470577649167,14.465470577649166,3.701550388674637e-26,5.799095608923598e-23,True,+,0.29
entertaining,subversive,100,0.5753130146861076,1.441720886412056,14.417208864120559,4.637367915230188e-26,6.227322629023396e-23,True,+,0.55
anxious,forgiving,100,0.2424658641219139,1.4351845904613367,14.351845904613365,6.295577918348534e-26,7.242978206344451e-23,True,+,0.32
entertaining,provocative,100,0.45943195052444935,1.4331192469806633,14.331192469806632,6.934766367776602e-26,7.242978206344451e-23,True,+,0.46
playful,entertaining,100,0.6921480540186167,1.4297333438602384,14.297333438602385,8.126939218138263e-26,7.639322865049967e-23,True,+,0.74
playful,animated,100,0.31067466013133527,1.4239115075619995,14.239115075619996,1.0678832780638406e-25,9.125548012545548e-23,True,+,0.62
formal,epicurean,100,0.25721435658633707,1.4213876087400925,14.213876087400923,1.2022409195836911e-25,9.417553870072247e-23,True,+,0.47
anxious,entertaining,100,0.4925437270104885,1.4100901157819508,14.100901157819507,2.0453369460282047e-25,1.3845298051263914e-22,True,+,0.56
entertaining,entertaining,100,0.8028792217373848,1.4099171750853834,14.099171750853834,2.0620656672095191e-25,1.3845298051263914e-22,True,+,0.77
formal,eloquent,100,0.3141594025865197,1.4029971217206754,14.029971217206754,2.8574572844238704e-25,1.790673231572292e-22,True,+,0.4
entertaining,dispassionate,100,-0.5347159820795059,-1.3951503480802285,-13.951503480802286,4.139216410197055e-25,2.307598440896244e-22,True,-,0.57
playful,risk_taking,100,0.33998596359044314,1.3929906123005897,13.929906123005896,4.584247432955882e-25,2.307598440896244e-22,True,+,0.34
playful,emotional,100,0.5019442853331566,1.3929373554530093,13.929373554530093,4.595808923658159e-25,2.307598440896244e-22,True,+,0.65
playful,rebellious,100,0.3015124212950468,1.3908951571100596,13.908951571100596,5.061974387582066e-25,2.307598440896244e-22,True,+,0.38
playful,witty,100,0.49667068719863894,1.390761246289184,13.90761246289184,5.094152297797964e-25,2.307598440896244e-22,True,+,0.61
playful,provocative,100,0.3942636846750975,1.3905092122471518,13.905092122471517,5.155273112640546e-25,2.307598440896244e-22,True,+,0.41
playful,spontaneous,100,0.5485435298085213,1.387720732276118,13.877207322761182,5.88275533177901e-25,2.5135409144873952e-22,True,+,0.7
speculative,provocative,98,0.4464801240864457,1.3859823697532017,13.720525451604857,1.8846191152100643e-24,6.813622954990232e-22,True,+,0.42857142857142855
narrative,entertaining,100,0.40347786448895934,1.376262874367946,13.762628743679459,1.0128498063844044e-24,4.139473121744957e-22,True,+,0.48
playful,dispassionate,100,-0.439817952811718,-1.3737936607524976,-13.737936607524977,1.1388850633775117e-24,4.460633164895254e-22,True,-,0.5
formal,theoretical,100,0.3404514353722334,1.3664778878595083,13.664778878595083,1.6127319806772235e-24,6.06387224734636e-22,True,+,0.28
speculative,whimsical,98,0.3243652778316517,1.3585868582979197,13.449323724667407,6.751002854134856e-24,1.866453730260813e-21,True,+,0.42857142857142855
empathetic,accommodating,100,0.27399082452058793,1.3578368624286332,13.578368624286334,2.4341298627094213e-24,8.47437804054391e-22,True,+,0.5
