trait,composite_score,n_total_axes,n_significant_axes,pct_significant_axes,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_axis,top_direction
playful,144.4551769583651,188,167,0.8882978723404256,0.8650010596309287,1.5067259255743608,0.4076047904191618,condescending,+
entertaining,133.63753363172358,188,166,0.8829787234042553,0.8050453833236361,1.4946089477539795,0.4292168674698794,condescending,+
anxious,111.21450382097613,188,158,0.8404255319148937,0.7038892646897223,1.4351845904613367,0.36740506329113926,forgiving,+
empathetic,107.76840103988275,188,160,0.851063829787234,0.6735525064992671,1.3578368624286332,0.40437499999999993,accommodating,+
skeptical,105.30205409230565,188,145,0.7712765957446809,0.7262210627055562,1.4553497631235446,0.3644137931034481,condescending,+
humble,104.16744841019346,188,156,0.8297872340425532,0.6677400539114965,1.2998193671134335,0.37833333333333313,accommodating,+
spontaneous,99.26205040895655,188,155,0.824468085106383,0.6404003252190745,1.1845613325965914,0.3624516129032257,condescending,+
intuitive,98.91033426929384,188,153,0.8138297872340425,0.6464727730019205,1.18900431891528,0.38202614379084976,condescending,+
casual,96.94439459741626,188,154,0.8191489361702128,0.6295090558273784,1.2255908679182124,0.35701298701298706,ritualistic,-
speculative,93.86511114658377,188,137,0.7287234042553191,0.6851467966903925,1.551535935404983,0.34172501117235204,risk_taking,+
pessimistic,90.12905642821919,188,145,0.7712765957446809,0.62157969950496,1.2982176168076578,0.36482758620689654,condescending,+
resilient,89.82519039136675,188,149,0.7925531914893617,0.6028536267876963,1.1746357403954597,0.3493288590604028,condescending,+
narrative,89.18737229440687,188,141,0.75,0.6325345552794813,1.376262874367946,0.3679432624113475,entertaining,+
patient,88.74143098504427,188,147,0.7819148936170213,0.6036832039798931,1.2153375573088454,0.35884353741496605,condescending,+
curious,85.36813204138188,188,141,0.75,0.6054477449743396,1.1931604938593348,0.3417021276595744,condescending,+
inspirational,82.10347871949003,188,135,0.7180851063829787,0.6081739164406669,1.1809076342314624,0.3393333333333334,animated,+
accessible,79.9309738474477,188,145,0.7712765957446809,0.5512480954996394,1.0309248390913521,0.35737931034482756,accommodating,+
reactive,79.16988736155056,188,143,0.7606382978723404,0.5536355759548991,1.1629815442329257,0.3483216783216784,condescending,+
verbose,76.17492109817597,188,143,0.7606382978723404,0.5326917559313005,1.269190415019399,0.3347552447552448,epicurean,+
collaborative,75.06459093112662,188,142,0.7553191489361702,0.5286238797966664,1.0959212979646358,0.3438028169014086,condescending,+
optimistic,73.74463152233994,188,132,0.7021276595744681,0.5586714509268178,1.355635419114271,0.33348484848484844,entertaining,+
inclusive,72.85517358995007,188,133,0.7074468085106383,0.5477832600748126,1.1873418464395755,0.35007518796992476,chill,+
grounded,70.41500842387966,188,138,0.7340425531914894,0.510253684231012,1.0079719907205609,0.3303623188405797,condescending,+
inquisitive,69.87337296619324,188,137,0.7287234042553191,0.5100246201911915,1.0298402931726502,0.33715328467153277,condescending,+
agreeable,68.48283087323715,188,130,0.6914893617021277,0.5267910067172088,1.0741107008422381,0.3423846153846155,chill,+
open_ended,67.81375452027743,188,141,0.75,0.48094861361898883,0.9599391109727687,0.3585106382978724,condescending,+
supportive,67.07983480596918,188,132,0.7021276595744681,0.5081805667118877,1.0340492581598866,0.33356060606060606,empathetic,+
analytical,65.52417225529805,188,116,0.6170212765957447,0.5648635539249832,1.1758993049604032,0.30612068965517225,philosophical,+
calm,64.98796035891789,188,132,0.7021276595744681,0.49233303302210524,0.9872130554277876,0.33393939393939376,accommodating,+
independent,63.34362278723844,188,123,0.6542553191489362,0.51498880314828,1.0064750814094883,0.349918699186992,condescending,+
transparent,61.524663158088,188,131,0.6968085106382979,0.469653917237313,0.860311523931454,0.3280152671755726,entertaining,+
proactive,61.41871687898948,188,134,0.7127659574468085,0.45834863342529464,0.9542631228631209,0.33141791044776125,condescending,+
traditional,61.35906964918443,188,128,0.6808510638297872,0.47936773163425334,0.9241810283139699,0.32064494680851086,condescending,+
cautious,61.32958908954435,188,126,0.6702127659574468,0.48674277055193926,1.0181880748792553,0.3501587301587302,condescending,+
flexible,61.053571135108406,188,122,0.648936170212766,0.500439107664823,0.9024895678659479,0.3364754098360657,condescending,+
adaptable,61.031701556453626,188,132,0.7021276595744681,0.46236137542767897,0.8652466458685802,0.34909090909090923,empathetic,+
formal,59.57336438181032,188,104,0.5531914893617021,0.5728208113635608,1.4465470577649167,0.3125961538461538,philosophical,+
educational,59.52518294397429,188,123,0.6542553191489362,0.4839445767802788,0.8936470463694353,0.3217886178861789,artistic,+
practical,54.2196291816584,188,123,0.6542553191489362,0.44080999334681625,0.8282925770390227,0.3347967479674798,subversive,+
problem_solving,53.30481548471637,188,115,0.6117021276595744,0.4635201346497076,0.9521208384736152,0.3268695652173914,condescending,+
big_picture,50.11486806475471,188,108,0.574468085106383,0.4640265561551362,0.8632968353797937,0.3241666666666667,provocative,+
stoic,48.45900424602138,188,109,0.5797872340425532,0.44457802060570073,0.8097217444033786,0.356953162723322,enigmatic,+
