condition,axis,num_topics,count,overall_mean,overall_std,overall_variance,between_topic_std,between_topic_variance,mean_within_topic_std,mean_within_topic_variance,pooled_within_topic_std,pooled_within_topic_variance
accessible,absolutist,25,100,-0.8807394278049469,0.3911441928048326,0.15299377956494406,0.3671947399246894,0.13483197702836028,0.1526606939882289,0.029366858429425012,0.14915636098501353,0.022247620022291664
accessible,abstract,25,100,0.850485109910369,0.7533352434373168,0.5675139890047615,0.7267019592744614,0.5280957376133409,0.23291336964623582,0.0731559213412091,0.23541697587731225,0.055421152531219015
accessible,accessible,25,100,1.694705585539341,0.7215166486627395,0.520586274297511,0.5980523103560479,0.35766656592220664,0.3848764361749957,0.22936067769229038,0.4168430030129161,0.173758089160826
accessible,accommodating,25,100,1.066491612792015,0.3124506208605078,0.09762539047611678,0.27166705791250245,0.07380299035483497,0.1526539531258584,0.034397687774285333,0.1614275514726609,0.026058854374458585
accessible,acerbic,25,100,-2.5805344104766847,0.41365775187278164,0.17111273568444377,0.38802825830855636,0.15056592924597176,0.1591385875710531,0.03314442166862212,0.15845949121152939,0.025109410355016758
accessible,adventurous,25,100,-0.12925164684653281,0.3000974510109372,0.09005848010326185,0.2864841839708121,0.0820731876654221,0.10331613859700976,0.01382351352456541,0.10233454319403276,0.010472358730731357
accessible,agreeable,25,100,1.583700178861618,0.35189849790377414,0.12383255282693255,0.3318516083603438,0.11012548997134697,0.12842797358918565,0.022498342568226946,0.13055343318091425,0.017044198915323442
accessible,altruistic,25,100,4.616556625366211,0.5217060870632908,0.2721772412788899,0.4936625408537112,0.24370270424214205,0.19090120728983406,0.047334497058193016,0.18936596174689907,0.03585946746832804
accessible,animated,25,100,-0.03624545156955719,0.27338431854279954,0.0747389856251109,0.2508223733449586,0.0629118629703978,0.11832686521651085,0.018128276423037163,0.11719019901307921,0.013733542744725113
accessible,anxious,25,100,-1.764896532893181,0.48667403440111806,0.23685161576026065,0.4537527278793104,0.20589153805791552,0.18853723796934654,0.04910296408941221,0.19287098075981174,0.037199215219251666
accessible,arrogant,25,100,-1.4276024961471558,0.29717328103268925,0.08831195895973369,0.2620456904619229,0.06866794388966589,0.13860833505483566,0.02867681764807617,0.14739356110292998,0.021724861854603154
accessible,artistic,25,100,-0.27507849156856534,0.4590238273938811,0.21070287411532754,0.4369944951335251,0.19096418877700452,0.1581221391874377,0.03369363219766639,0.15976695195698648,0.025525478937626026
accessible,ascetic,25,100,0.5284738000482321,0.49520304983102953,0.2452260605619531,0.48947465698711323,0.23958543983265215,0.10845899447111983,0.017029036955983026,0.11358162515439899,0.0129007855727144
accessible,assertive,25,100,0.5035258820652961,0.24749561823995053,0.06125408104797534,0.22924947148500902,0.05255532017615596,0.10945880889119605,0.013584577157847855,0.10144627312870057,0.010291346331702915
accessible,avoidant,25,100,-5.121694583892822,0.5882058775667962,0.34598615440412483,0.5654491513488866,0.31973274276117614,0.19507908035125296,0.047443813079139543,0.18958449998803112,0.035942282635711774
accessible,benevolent,25,100,3.7286645364761353,0.464149140465516,0.21543442459487727,0.43888421083318974,0.19261935051867174,0.16854227044526454,0.03782067180133822,0.16926908782150063,0.028652024091922895
accessible,bitter,25,100,-2.6584109830856324,0.5248295038618095,0.27544600812383313,0.4898012888270253,0.23990530253661504,0.2026408508372759,0.05650994347659254,0.20690713675425224,0.042810563239842836
accessible,bombastic,25,100,-0.9960964646935463,0.3309797611033786,0.1095476022600496,0.2988734401608437,0.08932533323357743,0.14329453248874494,0.030266408444286345,0.15142356919012817,0.022929097306277537
accessible,callous,25,100,-1.2093210566043853,0.2799534392386178,0.07837392814153046,0.2679199921752528,0.07178112220718752,0.09314398205111157,0.011573748721620165,0.09363755366183404,0.008767991455772851
accessible,calm,25,100,2.143037476539612,0.43889029141855507,0.19262468790146417,0.38860944929578983,0.15101730408197703,0.20883262553586543,0.060962438805002156,0.21490385236511064,0.04618366576136527
