rank,trait,abs_mean_sum
1,entertaining,49.4980743921362
2,playful,45.20875498130919
3,empathetic,33.14515182480216
4,anxious,32.97343430059031
5,intuitive,32.48209920480845
6,humble,31.11660636080427
7,skeptical,30.00468306797557
8,spontaneous,29.73165989476255
9,pessimistic,29.398559168716897
10,casual,28.486039004977794
11,speculative,26.692658760850964
12,narrative,25.697477938048547
13,resilient,24.830058155851447
14,accessible,24.53426077717915
15,patient,23.515474577639253
16,reactive,22.439833245258768
17,inspirational,22.346535853259276
18,curious,21.54409179867245
19,verbose,21.15500187437981
20,open_ended,20.76458536932245
21,inclusive,20.5670498256851
22,agreeable,20.10932336520404
23,grounded,19.769570716437872
24,collaborative,19.62548285916448
25,optimistic,19.320215068832038
26,supportive,18.556928983572877
27,cautious,18.448612674325705
28,inquisitive,17.81428523560985
29,transparent,17.733685618322347
30,adaptable,17.641719622276728
31,independent,17.618455161657174
32,flexible,17.53698020296171
33,traditional,17.30006072063871
34,calm,17.13645911058411
35,formal,16.306953781098137
36,analytical,15.99586681101471
37,big_picture,15.570496803997075
38,practical,15.336903324741867
39,educational,14.957369219241668
40,problem_solving,14.586645485740156
41,stoic,14.551457374626278
42,proactive,14.167090768739575
43,data_driven,12.567782959341995
44,serious,12.567001275280495
45,factual,11.827712677065279
46,confident,11.598132634684447
47,conscientious,11.536887350366452
48,methodical,11.27219192478806
49,strategic,10.676480030268433
50,concise,7.995442229208266
