rank,trait,abs_mean_sum
1,entertaining,13.554699716996401
2,playful,12.800972033552824
3,anxious,12.040402471479023
4,empathetic,10.934811544902619
5,humble,10.817691009230913
6,casual,9.823225708212707
7,skeptical,9.790097764004026
8,pessimistic,9.769816907318312
9,intuitive,9.44452422179282
10,spontaneous,9.24171931584366
11,accessible,8.573674068078397
12,reactive,7.706408838517964
13,resilient,7.052374930549414
14,patient,7.0232014431897545
15,speculative,7.009612775141639
16,inclusive,6.997293905299158
17,narrative,6.920790155231953
18,agreeable,6.66821427023038
19,cautious,6.454731219690293
20,supportive,6.204675602316855
21,verbose,6.09340592192486
22,optimistic,6.013700373973698
23,grounded,5.850409776535818
24,open_ended,5.758734522424636
25,curious,5.613173607913777
26,flexible,5.568321130797268
27,adaptable,5.518841832317414
28,collaborative,5.380180369876326
29,inspirational,5.304373849630355
30,calm,5.271224939003585
31,independent,4.876434739101678
32,transparent,4.869121003486215
33,inquisitive,4.796199093125761
34,practical,4.5496477727592
35,big_picture,4.413592770742253
36,formal,4.318324772696942
37,traditional,4.162601635395054
38,problem_solving,3.656132330913097
39,educational,3.2593791705928745
40,analytical,2.9481130811944607
41,proactive,2.9016410899534817
42,stoic,2.8912418695215716
43,conscientious,2.85622878719587
44,factual,2.5290392377786337
45,data_driven,2.4189261506497868
46,concise,2.212900910500998
47,serious,2.1329438434727486
48,strategic,2.1252461134828624
49,confident,2.0460118648596106
50,methodical,1.5485807499103246
