rank,trait,top10_count
1,formal,80
2,concise,80
3,confident,75
4,verbose,73
5,strategic,72
6,anxious,71
7,data_driven,65
8,methodical,65
9,serious,62
10,big_picture,62
11,humble,60
12,empathetic,56
13,casual,55
14,playful,53
15,inspirational,53
16,entertaining,52
17,conscientious,51
18,factual,48
19,optimistic,48
20,practical,47
21,spontaneous,46
22,skeptical,45
23,supportive,44
24,pessimistic,42
25,intuitive,41
26,speculative,39
27,reactive,39
28,accessible,38
29,inclusive,37
30,cautious,37
31,agreeable,34
32,stoic,31
33,analytical,29
34,adaptable,26
35,flexible,23
36,calm,19
37,patient,18
38,proactive,14
39,grounded,10
40,open_ended,9
41,problem_solving,7
42,educational,6
43,narrative,5
44,traditional,5
45,curious,3
46,resilient,2
47,transparent,2
48,inquisitive,1
