rank,trait,abs_mean_sum
1,entertaining,35.9433746751398
2,playful,32.40778294775635
3,intuitive,23.037574983015645
4,empathetic,22.21034027989954
5,anxious,20.93303182911128
6,spontaneous,20.4899405789189
7,humble,20.298915351573378
8,skeptical,20.214585303971532
9,speculative,19.683045985709338
10,pessimistic,19.628742261398592
11,narrative,18.77668778281659
12,casual,18.662813296765094
13,resilient,17.777683225302034
14,inspirational,17.042162003628917
15,patient,16.492273134449498
16,accessible,15.960586709100745
17,curious,15.930918190758677
18,verbose,15.061595952454946
19,open_ended,15.005850846897811
20,reactive,14.733424406740813
21,collaborative,14.245302489288155
22,grounded,13.91916093990207
23,inclusive,13.569755920385939
24,agreeable,13.441109094973653
25,optimistic,13.306514694858343
26,traditional,13.137459085243663
27,analytical,13.047753729820258
28,inquisitive,13.018086142484101
29,transparent,12.864564614836127
30,independent,12.742020422555509
31,supportive,12.352253381256018
32,adaptable,12.122877789959317
33,cautious,11.993881454635407
34,formal,11.988629008401192
35,flexible,11.96865907216445
36,calm,11.865234171580518
37,educational,11.69799004864879
38,stoic,11.660215505104706
39,proactive,11.265449678786096
40,big_picture,11.156904033254829
41,problem_solving,10.930513154827054
42,practical,10.787255551982671
43,serious,10.434057431807739
44,data_driven,10.148856808692212
45,methodical,9.723611174877737
46,confident,9.552120769824832
47,factual,9.298673439286647
48,conscientious,8.680658563170581
49,strategic,8.551233916785574
50,concise,5.782541318707269
