axis,num_traits,mean_abs_shift,max_abs_shift,signed_mean_shift,trait_mean_std,strongest_positive_trait,strongest_positive_mean_delta,strongest_negative_trait,strongest_negative_mean_delta
serious,50,0.3302839912686287,1.1543945235013962,-0.3147607511434493,0.24481787996349236,formal,0.3066399458050728,playful,-1.1543945235013962
entertaining,50,0.3286484823792803,1.1058761730790139,0.3242103653817999,0.19945451457818653,playful,1.1058761730790139,formal,-0.11095292493700981
casual,50,0.3132639031317775,1.053770135641098,0.2912049604983687,0.24273094972502,playful,1.053770135641098,formal,-0.34822525799274445
formal,50,0.3098331811669421,1.0696542435884475,-0.28435310199290037,0.25023936102105365,formal,0.38424313575029373,playful,-1.0696542435884475
solemn,50,0.30944185690419085,1.1008583050966263,-0.2922761354638756,0.23791193713448927,formal,0.31619274139404296,playful,-1.1008583050966263
playful,50,0.30733073415855655,1.1014858064055444,0.3022213191161562,0.1931552398392025,playful,1.1014858064055444,formal,-0.127735376060009
narrative,50,0.29954522146109225,0.7697432830929756,0.2985961385871292,0.14368843902126277,playful,0.7697432830929756,concise,-0.023727071849075524
condescending,50,0.29081088591236903,0.7067700320482254,0.29081088591236903,0.11603521055089007,playful,0.7067700320482254,concise,0.11393226562319575
spontaneous,50,0.2872784547575723,0.8029540953040123,0.2872784547575723,0.137024034570467,playful,0.8029540953040123,formal,0.05306827902793884
subversive,50,0.2798330320661943,0.6657821992039681,0.2798330320661943,0.12088622383328888,playful,0.6657821992039681,formal,0.06647535502910613
empathetic,50,0.2703120673286797,0.7394217620790005,0.26673369620918047,0.16186015709100163,playful,0.7394217620790005,formal,-0.08945927798748016
emotional,50,0.2681682676453224,0.7769976130127907,0.2652331890959374,0.1533301449202419,playful,0.7769976130127907,formal,-0.07337696373462677
disorganized,50,0.2642288685713334,0.8648867654800415,0.26031336230378577,0.1694422899602471,playful,0.8648867654800415,formal,-0.09788765668869019
stream_of_consciousness,50,0.2445878684401961,0.6936170367896557,0.24122309300114633,0.13800589360386478,playful,0.6936170367896557,concise,-0.04321925704543655
detached,50,0.23915189347765214,0.7188724753260612,-0.23591931231519944,0.1474375482569548,formal,0.08081452906131745,playful,-0.7188724753260612
ritualistic,50,0.23682041791609545,0.7798231837153434,-0.1999393292204777,0.20999732742286892,formal,0.40585596770048143,playful,-0.7798231837153434
provocative,50,0.23496731706776192,0.47788031026721,0.23496731706776192,0.09518256688060309,speculative,0.47788031026721,educational,0.09134121185168624
mercurial,50,0.23414988897224362,0.7829299032688141,0.23318812940498287,0.13613581086681747,playful,0.7829299032688141,formal,-0.024043989181518555
accessible,50,0.23278127253692463,0.6368001163005829,0.11821937631528316,0.252823112695859,playful,0.6368001163005829,formal,-0.5966936610639095
rhetorical,50,0.23038637754707378,0.5169610878825188,0.22978047367511223,0.09694082172956074,playful,0.5169610878825188,concise,-0.015147596799038552
dispassionate,50,0.2284312622598602,0.6635030665993691,-0.22723250216760177,0.13318010849519277,formal,0.029969002306461334,playful,-0.6635030665993691
stoic,50,0.2282703222612519,0.7856564766168594,-0.22011122115834955,0.16318972594708298,formal,0.14080875635147094,playful,-0.7856564766168594
witty,50,0.22541516252283014,0.8206837484240532,0.22496428604844965,0.12622955399239638,playful,0.8206837484240532,formal,-0.011271911859512328
flippant,50,0.21643496816158805,0.8281168609857559,0.20983039157391103,0.1641919350484691,playful,0.8281168609857559,formal,-0.14616944074630736
metaphorical,50,0.2160661377384838,0.5934494733810425,0.2160661377384838,0.11211372673198935,playful,0.5934494733810425,concise,0.011810705065727234
artistic,50,0.2075923578751854,0.538162594884634,0.20434150126622755,0.100924454553069,playful,0.538162594884634,concise,-0.08127141522394644
gregarious,50,0.20643259593758878,0.6919914101064205,0.20205243070828782,0.13249336471062992,playful,0.6919914101064205,formal,-0.06938916988670826
introspective,50,0.20635494445900116,0.43393493185237964,0.19952139845844322,0.0981034925731934,speculative,0.43393493185237964,concise,-0.17083865001394943
whimsical,50,0.1981737035888321,0.6279153524339199,0.1981737035888321,0.11773732200375982,playful,0.6279153524339199,concise,0.027163394399591395
pedantic,50,0.19778328482451438,0.6183462604321539,-0.0751465994759216,0.23530066421969728,formal,0.6183462604321539,casual,-0.5832436990737915
conscientious,50,0.19766628474201176,0.7130552077293396,-0.18952098306621526,0.15683072187196334,formal,0.15044541478157045,playful,-0.7130552077293396
reverent,50,0.1967498753250112,0.6959442231059074,-0.17642330326075814,0.1671609145380326,formal,0.28337974309921266,playful,-0.6959442231059074
confrontational,50,0.19632652504461615,0.4970727597177029,-0.19599577147978156,0.10579338160428718,formal,0.008268839120864869,playful,-0.4970727597177029
closure_seeking,50,0.189254831601927,0.4572010910511017,-0.18510606618616826,0.10191358036891057,concise,0.1037191353939675,pessimistic,-0.4572010910511017
inquisitive,50,0.18852743071360142,0.4178957998752594,0.18852743071360142,0.08636212279646964,playful,0.4178957998752594,formal,0.05297381401062012
introverted,50,0.18813029442314064,0.7936100286245346,-0.1522428803528646,0.18371484480089031,formal,0.26890599727630615,playful,-0.7936100286245346
socratic,50,0.1862938327683493,0.40671695709228517,0.1862938327683493,0.079103069106848,playful,0.40671695709228517,formal,0.05982089161872864
impatient,50,0.18514748263323938,0.622254588007927,0.17987237472499046,0.13062070978349535,playful,0.622254588007927,formal,-0.12754412412643432
risk_taking,50,0.18422279730702992,0.49500413313508035,0.18422279730702992,0.09328745021270766,playful,0.49500413313508035,formal,0.057141418904066085
sycophantic,50,0.18372109596525316,0.542923287153244,0.18372109596525316,0.09759169788485401,playful,0.542923287153244,data_driven,0.04073356844484806
