axis,direction,rank,trait,count,mean_delta,min_delta,max_delta
absolutist,positive,1,formal,100,0.0050304228067398074,-0.6367582082748413,0.6048836708068848
absolutist,positive,2,confident,100,-0.025375686883926392,-0.5290312170982361,0.7898899614810944
absolutist,positive,3,educational,100,-0.03508556686341763,-0.6525529623031616,0.6351311206817627
absolutist,positive,4,concise,74,-0.05756952583387091,-0.567013144493103,0.7388137578964233
absolutist,negative,1,pessimistic,100,-0.28050370335578917,-1.0648186206817627,0.2631329894065857
absolutist,negative,2,speculative,98,-0.25237542527670764,-1.2118430137634277,0.2157520055770874
absolutist,negative,3,narrative,100,-0.22075266510248184,-1.07102370262146,0.3332674503326416
absolutist,negative,4,intuitive,100,-0.20423247694969177,-0.8636141419410706,0.6042838096618652
abstract,positive,1,formal,100,0.28972519174218175,-0.45241641998291016,1.6815448999404907
abstract,positive,2,speculative,98,0.23943340854377163,-0.5565384179353714,0.974204421043396
abstract,positive,3,verbose,100,0.23925024308264256,-0.7370559126138687,1.0068110227584839
abstract,positive,4,analytical,100,0.19625756211578846,-0.7170257568359375,0.9316186904907227
abstract,negative,1,concise,74,-0.25205800173854503,-0.7609582543373108,0.2724407911300659
abstract,negative,2,casual,100,-0.2504350981861353,-1.1096612215042114,0.29876160621643066
abstract,negative,3,playful,100,-0.24236768402159214,-1.8265471458435059,0.8837690353393555
abstract,negative,4,anxious,100,-0.17406817369163036,-1.0528576970100403,0.6203834488987923
accessible,positive,1,playful,100,0.6368001163005829,-1.1878759860992432,2.640339493751526
accessible,positive,2,casual,100,0.5945234176516533,-0.24769830703735352,1.517056941986084
accessible,positive,3,anxious,100,0.4899266800284386,-0.9528472423553467,2.06307053565979
accessible,positive,4,empathetic,100,0.436980317234993,-1.3366936445236206,2.634900212287903
accessible,negative,1,formal,100,-0.5966936610639095,-3.0222122371196747,0.384240984916687
accessible,negative,2,analytical,100,-0.3525012505054474,-1.8704928159713745,0.78626948595047
accessible,negative,3,verbose,100,-0.35121923133730887,-1.882223904132843,1.3740853071212769
accessible,negative,4,data_driven,100,-0.2712471930682659,-1.9576188325881958,0.9599559307098389
accommodating,positive,1,playful,100,0.3968834573030472,-0.09097641706466675,1.4466628432273865
accommodating,positive,2,casual,100,0.2874031138420105,-0.0839422345161438,0.8924061059951782
accommodating,positive,3,pessimistic,100,0.2745650869607925,-0.21084201335906982,1.230743408203125
accommodating,positive,4,entertaining,100,0.27302379250526426,-0.35213398933410645,0.9319093823432922
accommodating,negative,1,concise,74,-0.052395337336772194,-0.42763906717300415,0.5969737768173218
accommodating,negative,2,formal,100,-0.04325991749763489,-0.9124184846878052,0.4153890013694763
accommodating,negative,3,stoic,65,-0.012559780478477478,-0.6212928295135498,0.3792021870613098
accommodating,negative,4,methodical,100,0.015416781008243561,-0.5244837999343872,0.4769357442855835
acerbic,positive,1,playful,100,0.169653217792511,-0.7059285640716553,0.8871698379516602
acerbic,positive,2,entertaining,100,0.13107438683509826,-0.6385941505432129,0.8359560966491699
acerbic,positive,3,data_driven,100,0.09858898758888245,-0.9070320129394531,0.899693489074707
acerbic,positive,4,concise,74,0.0818303275752712,-0.511411190032959,0.7390495538711548
acerbic,negative,1,pessimistic,100,-0.11794555544853211,-0.844132661819458,0.47052907943725586
acerbic,negative,2,anxious,100,-0.0892249083518982,-0.9331283569335938,0.4014914035797119
acerbic,negative,3,empathetic,100,-0.08305939555168151,-1.0044410228729248,1.1667816638946533
acerbic,negative,4,intuitive,100,-0.07927676916122436,-0.7961745262145996,0.4628925323486328
adventurous,positive,1,playful,100,0.39051190108060835,-0.2396845817565918,0.8626604974269867
adventurous,positive,2,entertaining,100,0.3008320313692093,-0.23891937732696533,1.5034331679344177
adventurous,positive,3,inspirational,100,0.2564736317098141,-0.14978671073913574,1.0749228298664093
adventurous,positive,4,narrative,100,0.16860715731978415,-0.4319598078727722,1.1299225091934204
adventurous,negative,1,factual,100,0.010441911965608596,-0.3190515637397766,0.37263166904449463
adventurous,negative,2,cautious,100,0.012488469630479813,-0.302549809217453,0.6422594487667084
adventurous,negative,3,formal,100,0.01693588376045227,-0.39867550134658813,0.41231104731559753
adventurous,negative,4,practical,100,0.02184925854206085,-0.34925606846809387,0.46055811643600464
agreeable,positive,1,intuitive,100,0.14288874745368957,-0.4066423177719116,0.8897209167480469
agreeable,positive,2,empathetic,100,0.10862713456153869,-0.856447160243988,0.831963300704956
agreeable,positive,3,anxious,100,0.10836407840251923,-0.40276527404785156,0.7624552249908447
agreeable,positive,4,pessimistic,100,0.10720296919345856,-0.43208837509155273,0.6955238580703735
agreeable,negative,1,playful,100,-0.033567829728126525,-0.9592792987823486,0.7765414714813232
agreeable,negative,2,entertaining,100,-0.03270097315311432,-0.7571163177490234,0.5637154579162598
agreeable,negative,3,concise,74,-0.025413105616698396,-0.5168969631195068,0.46402180194854736
agreeable,negative,4,confident,100,-0.020022225975990297,-0.8593051433563232,0.39605283737182617
altruistic,positive,1,inspirational,100,0.16172139167785646,-0.7329316139221191,1.0461921691894531
altruistic,positive,2,big_picture,100,0.08913173437118531,-0.7412533760070801,1.4312474727630615
altruistic,positive,3,pessimistic,100,0.07581416606903076,-0.8851613998413086,1.2414884567260742
altruistic,positive,4,open_ended,100,0.044188115596771244,-0.9164071083068848,1.4843182563781738
altruistic,negative,1,concise,74,-0.22855352066658638,-1.1669378280639648,0.7818844318389893
altruistic,negative,2,playful,100,-0.134354248046875,-1.2399945259094238,1.0012993812561035
altruistic,negative,3,data_driven,100,-0.1253614091873169,-1.334822177886963,1.0998892784118652
altruistic,negative,4,supportive,100,-0.1115458846092224,-1.3596861362457275,0.9164094924926758
animated,positive,1,playful,100,0.5274699778854847,-0.1310563087463379,1.2274399995803833
animated,positive,2,entertaining,100,0.3901174063980579,-0.14489471912384033,1.5431697070598602
animated,positive,3,inspirational,100,0.31318227395415305,-0.08791354298591614,1.194887638092041
animated,positive,4,narrative,100,0.24854042440652846,-0.4056676924228668,1.1644893288612366
animated,negative,1,concise,74,0.0045556383761199745,-0.42557963728904724,0.6511100232601166
animated,negative,2,formal,100,0.030262162536382677,-0.4296312481164932,0.4722137451171875
animated,negative,3,methodical,100,0.03748760811984539,-0.5001137405633926,0.5176695585250854
animated,negative,4,factual,100,0.04319419428706169,-0.2906314581632614,0.45252394676208496
anxious,positive,1,playful,100,0.3291178700327873,-0.4395589828491211,1.3005591928958893
anxious,positive,2,casual,100,0.21732497990131378,-0.5840184688568115,0.730043888092041
anxious,positive,3,entertaining,100,0.2101410472393036,-0.5812983512878418,0.9070756435394287
anxious,positive,4,accessible,100,0.14064158618450165,-0.6235085725784302,0.6363699436187744
anxious,negative,1,formal,100,-0.1144057846069336,-1.3191227912902832,1.143052101135254
anxious,negative,2,stoic,65,-0.0877167059825017,-0.8535723686218262,0.49526286125183105
anxious,negative,3,inspirational,100,-0.0816983449459076,-1.2490181922912598,0.5844570398330688
anxious,negative,4,verbose,100,-0.06707138776779174,-0.5485210418701172,0.5937314033508301
arrogant,positive,1,entertaining,100,0.3293445113301277,-0.28697800636291504,1.2077520787715912
arrogant,positive,2,playful,100,0.3190439745783806,-0.3605586290359497,0.9449446201324463
arrogant,positive,3,verbose,100,0.2677391943335533,-0.40847545862197876,1.0256520509719849
arrogant,positive,4,narrative,100,0.26266715228557586,-0.47385263442993164,1.1068094968795776
arrogant,negative,1,concise,74,0.007968323456274497,-0.5276603698730469,0.5053483247756958
arrogant,negative,2,grounded,100,0.07348302483558655,-0.45028477907180786,0.5684363842010498
arrogant,negative,3,educational,100,0.08014019906520843,-0.47177720069885254,0.6216322183609009
arrogant,negative,4,calm,100,0.08248248994350434,-0.5109150409698486,0.8170990943908691
artistic,positive,1,playful,100,0.538162594884634,-0.1072588562965393,1.4015218019485474
artistic,positive,2,entertaining,100,0.45797032907605173,-0.3749794363975525,2.01177716255188
artistic,positive,3,inspirational,100,0.4043982501327992,-0.11241114139556885,1.5613928437232971
artistic,positive,4,narrative,100,0.37608549878001213,-0.25575268268585205,1.7897194027900696
artistic,negative,1,concise,74,-0.08127141522394644,-0.5812783241271973,0.9445117712020874
artistic,negative,2,practical,100,0.07605560690164566,-0.8209169507026672,0.9115396440029144
artistic,negative,3,factual,100,0.08416046410799026,-0.5124344229698181,0.5970904231071472
artistic,negative,4,strategic,100,0.10296276777982712,-0.6789219379425049,0.577275276184082
ascetic,positive,1,stoic,65,0.1623077883170201,-0.3468675911426544,0.626873254776001
ascetic,positive,2,formal,100,0.04275595635175705,-0.619734525680542,0.5644004791975021
ascetic,positive,3,analytical,100,0.04178438611328602,-0.3247324824333191,0.30612029135227203
ascetic,positive,4,methodical,100,0.005298839136958122,-0.35136842727661133,0.3658197745680809
ascetic,negative,1,playful,100,-0.31305058129131796,-1.2142377197742462,0.05482536554336548
ascetic,negative,2,entertaining,100,-0.18131378568708897,-0.7078214883804321,0.249561607837677
ascetic,negative,3,casual,100,-0.17688496299088002,-0.6118094325065613,0.08308207988739014
ascetic,negative,4,anxious,100,-0.13553448222577572,-0.6413784027099609,0.27212582528591156
assertive,positive,1,inspirational,100,0.17698657862842082,-0.24544990062713623,0.5424973368644714
assertive,positive,2,entertaining,100,0.13206869892776013,-0.3027666211128235,1.0243481546640396
assertive,positive,3,stoic,65,0.13193212065559168,-0.26934152841567993,0.5856683254241943
assertive,positive,4,big_picture,100,0.08861909952014685,-0.4873802736401558,0.5412748456001282
assertive,negative,1,concise,74,-0.08644992178557692,-0.4458223879337311,0.3498091697692871
assertive,negative,2,cautious,100,-0.06179439283907413,-0.5577501356601715,0.316398561000824
assertive,negative,3,humble,100,-0.024815582185983658,-0.45432449877262115,0.43838533759117126
assertive,negative,4,skeptical,100,-0.024608433432877063,-0.3459400534629822,0.386464461684227
avoidant,positive,1,concise,74,0.23755470482078758,-1.0500264167785645,1.2896308898925781
avoidant,positive,2,supportive,100,0.08873703002929688,-1.0828347206115723,1.3096165657043457
avoidant,positive,3,data_driven,100,0.0868728756904602,-1.3966827392578125,1.4134273529052734
avoidant,positive,4,methodical,100,0.07432771682739257,-0.8260173797607422,1.2326936721801758
avoidant,negative,1,inspirational,100,-0.18910930395126344,-1.1088788509368896,0.6785721778869629
avoidant,negative,2,pessimistic,100,-0.14405935049057006,-1.4740188121795654,0.7416296005249023
avoidant,negative,3,big_picture,100,-0.1378285837173462,-1.5666522979736328,0.788060188293457
avoidant,negative,4,open_ended,100,-0.0967219614982605,-1.4524784088134766,0.8948578834533691
benevolent,positive,1,inspirational,100,0.1695378851890564,-0.5759305953979492,0.9284191131591797
benevolent,positive,2,pessimistic,100,0.14189181804656983,-0.6995086669921875,1.028686285018921
benevolent,positive,3,intuitive,100,0.13961963415145873,-0.49001216888427734,0.9566507339477539
benevolent,positive,4,anxious,100,0.13061568021774292,-0.45762085914611816,1.4349801540374756
benevolent,negative,1,concise,74,-0.1638085648820207,-1.082181453704834,0.952939510345459
benevolent,negative,2,data_driven,100,-0.06555352449417114,-1.083040714263916,0.8746271133422852
