axis,composite_score,n_total_traits,n_significant_traits,pct_significant_traits,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_trait,top_direction
condescending,53.54451221453951,50,50,1.0,1.0708902442907902,1.8521929475009988,0.43170953499524933,playful,+
entertaining,46.964696590610416,50,49,0.98,0.9584631957267432,1.9180030880235468,0.45092238573288146,playful,+
subversive,45.79505909139556,50,50,1.0,0.9159011818279111,1.8399644932376156,0.40596488196488195,playful,+
spontaneous,44.612052187199076,50,49,0.98,0.9104500446367159,1.8275217403969806,0.43400104251416205,playful,+
emotional,44.072933209764116,50,47,0.94,0.9377219831864706,1.8877018100704976,0.4479766839037356,playful,+
rhetorical,44.00554774315819,50,49,0.98,0.8980724029215957,1.6099610978177827,0.415209342002345,playful,+
risk_taking,43.883658289204924,50,50,1.0,0.8776731657840985,1.8733218960835807,0.27938959496102356,playful,+
dispassionate,43.11285806795633,50,44,0.88,0.9798376833626439,1.8271098114359756,0.3847595622270948,playful,-
sycophantic,42.97344554680251,50,49,0.98,0.877009092791888,1.6528228096016362,0.37021400368339147,playful,+
narrative,42.39523375907311,50,49,0.98,0.8652088522259818,1.5827388018343311,0.41202070362420234,entertaining,+
provocative,42.37004902738082,50,50,1.0,0.8474009805476165,1.5192813881686411,0.39994668977526115,playful,+
playful,42.33521837009987,50,48,0.96,0.8819837160437473,1.7826244131828772,0.4006248037498037,playful,+
artistic,42.262600448869016,50,50,1.0,0.8452520089773803,1.7467096561976034,0.3278302215159358,playful,+
empathetic,41.291604609782034,50,46,0.92,0.8976435784735225,1.7232033027411773,0.47817881566328785,casual,+
gregarious,41.00385272575287,50,46,0.92,0.8913881027337581,1.790800776306805,0.4538022639885993,playful,+
animated,39.7678022984255,50,47,0.94,0.8461234531579894,1.927883184537462,0.4504937008280472,playful,+
accommodating,39.213470400412,50,44,0.88,0.891215236373,1.5785086055579247,0.4115254561358457,playful,+
forgiving,38.99691985475331,50,43,0.86,0.9069051129012398,1.6809938499320214,0.30249414588285023,casual,+
metaphorical,38.59105506100484,50,49,0.98,0.7875725522654049,1.512503362321274,0.36389045356975386,playful,+
confrontational,38.507218452890754,50,46,0.92,0.8371134446280599,1.7509987180351956,0.4356966376842154,casual,-
creative,37.99235590787553,50,49,0.98,0.7753542022015414,1.5425818419287112,0.37011116191874216,playful,+
whimsical,37.955817380647176,50,49,0.98,0.7746085179723914,1.698728058685787,0.3708384780104896,playful,+
witty,37.62768317020773,50,49,0.98,0.7679119014328109,1.8718138289921458,0.3953415628051196,playful,+
detached,37.38973132447344,50,45,0.9,0.830882918321632,1.7158168578831452,0.4969907693717217,casual,-
stream_of_consciousness,37.197109006628494,50,46,0.92,0.8086328044919238,1.5840037402463345,0.4799067288818839,playful,+
charismatic,37.08585005911476,50,48,0.96,0.7726218762315575,1.7403788810684295,0.3367562992562993,playful,+
rebellious,36.547461575504165,50,49,0.98,0.7458665627653911,1.7666281570730569,0.3616530956764191,playful,+
deconstructionist,36.47697856564447,50,49,0.98,0.7444281339927443,1.3137293672863752,0.39841120007300757,entertaining,+
passionate,35.73165433323176,50,48,0.96,0.7444094652756617,1.7030983682773388,0.4301426081783224,playful,+
serious,34.87805421479259,50,42,0.84,0.8304298622569665,2.019706102641641,0.4134346259856465,casual,-
iconoclastic,34.366728435632986,50,49,0.98,0.7013618048088365,1.7144617045460018,0.3822372145404215,playful,+
inquisitive,34.29591058110124,50,49,0.98,0.6999165424714539,1.454429363728109,0.32592846756112065,casual,+
disorganized,34.20323116850029,50,46,0.92,0.7435485036630497,1.8117359289523955,0.37013474988630274,casual,+
casual,33.93076912716439,50,41,0.82,0.8275797348088876,2.0621933130993964,0.4242484563390487,casual,+
urgent,33.83393254521211,50,43,0.86,0.786835640586328,1.3201120173619556,0.40131612304369785,casual,-
introspective,33.79323891834884,50,49,0.98,0.68965793710916,1.2034470181635133,0.3757958477492006,speculative,+
solemn,33.76999796094926,50,42,0.84,0.8040475704987919,2.0732320400162814,0.42011426082854664,casual,-
reserved,33.689398640861754,50,45,0.9,0.7486533031302612,1.6398895950230474,0.3570538280062089,playful,-
formal,33.644814607003646,50,42,0.84,0.8010670144524678,2.078453327857808,0.4255066980577185,casual,-
socratic,33.483154466966596,50,50,1.0,0.6696630893393319,1.486224819410006,0.2848810971096686,casual,+
chaotic,33.26146575560492,50,48,0.96,0.6929472032417691,1.6172282449221747,0.42621526291169154,playful,+
decisive,33.23700256521294,50,42,0.84,0.7913572039336414,1.3461670274035633,0.33406788978217555,pessimistic,-
contrarian,33.034180781980915,50,47,0.94,0.7028549102549131,1.4603629563053895,0.4513142450528468,playful,+
ritualistic,32.99486967925922,50,41,0.82,0.8047529190063224,1.9684854466166888,0.4810878999729173,casual,-
closure_seeking,32.84438690905188,50,46,0.92,0.7140084110663452,1.4222433904008482,0.3576250479977189,pessimistic,-
passive_aggressive,32.68033877058826,50,50,1.0,0.6536067754117652,1.4767884258162935,0.344266560380846,playful,+
mercurial,32.243718057346896,50,48,0.96,0.671744126194727,1.5720527954661292,0.39823186528543664,playful,+
flirty,32.02383259312511,50,49,0.98,0.6535476039413287,1.6861958515137858,0.3750136738474931,playful,+
stoic,31.915913099017807,50,43,0.86,0.7422305371864606,1.7451727112388253,0.38672325170664024,casual,-
challenging,31.680487064124417,50,49,0.98,0.6465405523290697,1.3477761402419293,0.4115453343441681,analytical,+
arrogant,31.451312260479334,50,49,0.98,0.6418635155199864,1.2116198105299536,0.35642115901591115,playful,+
chill,31.163000769981153,50,42,0.84,0.7419762088090751,1.3976838483547982,0.39882228504677497,casual,+
innovative,31.12489723897066,50,50,1.0,0.6224979447794132,1.6221694222000214,0.3361512782369925,playful,+
dramatic,30.724936429549906,50,49,0.98,0.6270395189704062,1.3826309382877848,0.3174303539026571,playful,+
extroverted,30.69390648327243,50,45,0.9,0.6820868107393873,1.7894380874280684,0.37582363315696643,playful,+
impatient,29.778859674318426,50,43,0.86,0.6925316203329867,1.7445914245445244,0.3320321581783374,casual,+
traditional,28.957779657986073,50,46,0.92,0.6295169490866538,1.5771577099760394,0.3901005315912148,playful,-
pacifist,28.312216080147305,50,47,0.94,0.6023875761733469,1.4077014029820263,0.3146965460947223,playful,+
humble,27.647494857745368,50,40,0.8,0.6911873714436342,1.549705835558555,0.4350512425155282,casual,+
effusive,27.5280822707712,50,43,0.86,0.6401879597853768,1.570728435308455,0.38543612473845035,playful,+
enigmatic,27.49978018864058,50,50,1.0,0.5499956037728116,1.2675058566097412,0.3180597112882827,playful,+
poetic,27.486920542379824,50,49,0.98,0.5609575620893842,1.533676334346754,0.34267658579611926,playful,+
zealous,27.39793778425939,50,45,0.9,0.6088430618724309,1.4724473631996915,0.42195776005299807,playful,+
existentialist,27.258206282963336,50,43,0.86,0.6339117740224032,1.3686130124609133,0.22562286087203032,playful,+
radical,27.257696654513907,50,49,0.98,0.5562795235615083,1.2520154686786302,0.3175239251332546,entertaining,+
reverent,27.235848328368608,50,39,0.78,0.6983550853427848,1.871507703670333,0.402306665163808,casual,-
paranoid,26.843980995230293,50,44,0.88,0.6100904771643249,1.4300020860329576,0.3153679858225313,playful,+
