trait,axis,n,mean_delta,cohen_d,t_stat,p_raw,p_adjusted,significant,direction,exceedance_rate
casual,formal,100,-0.8215688681602478,-2.078453327857808,-20.78453327857808,6.898320859870043e-38,3.971738543307421e-34,True,-,0.74
casual,solemn,100,-0.7876228958368301,-2.0732320400162814,-20.732320400162813,8.450507538951959e-38,3.971738543307421e-34,True,-,0.65
casual,casual,100,0.809759578704834,2.0621933130993964,20.621933130993963,1.2992304243213635e-37,4.070921996206939e-34,True,+,0.69
casual,serious,100,-0.7986510077118874,-2.019706102641641,-20.197061026416414,6.895358459426656e-37,1.6204092379652643e-33,True,-,0.71
casual,ritualistic,100,-0.6457226188480854,-1.9684854466166888,-19.684854466166886,5.308465097669937e-36,9.979914383619482e-33,True,-,0.7
playful,animated,100,0.5274699778854847,1.927883184537462,19.278831845374622,2.738343800974534e-35,4.290071954860103e-32,True,+,0.78
playful,entertaining,100,1.1058761730790139,1.9180030880235468,19.180030880235467,4.094520471795757e-35,5.498356062125731e-32,True,+,0.92
playful,emotional,100,0.7769976130127907,1.8877018100704976,18.877018100704976,1.4168006847270691e-34,1.6647408045543062e-31,True,+,0.84
playful,risk_taking,100,0.49500413313508035,1.8733218960835807,18.733218960835806,2.5637921534369952e-34,2.361529930863901e-31,True,+,0.54
playful,witty,100,0.8206837484240532,1.8718138289921458,18.71813828992146,2.7287281856554535e-34,2.361529930863901e-31,True,+,0.82
casual,reverent,100,-0.5327037769556046,-1.871507703670333,-18.715077036703327,2.7634924722875437e-34,2.361529930863901e-31,True,-,0.58
playful,condescending,100,0.7067700320482254,1.8521929475009988,18.521929475009987,6.157146974070527e-34,4.823098463021913e-31,True,+,0.86
playful,subversive,100,0.6657821992039681,1.8399644932376156,18.39964493237616,1.024948954837129e-33,7.411169365745394e-31,True,+,0.61
playful,spontaneous,100,0.8029540953040123,1.8275217403969806,18.275217403969805,1.724806126686967e-33,1.0997007843331003e-30,True,+,0.85
playful,dispassionate,100,-0.6635030665993691,-1.8271098114359756,-18.271098114359756,1.7548416771272876e-33,1.0997007843331003e-30,True,-,0.7
casual,disorganized,100,0.5788896408677101,1.8117359289523955,18.117359289523954,3.347544771115291e-33,1.9666825530302333e-30,True,+,0.63
entertaining,condescending,100,0.5708542469143868,1.79351912385158,17.9351912385158,7.223668628476448e-33,3.9942638298634474e-30,True,+,0.74
playful,gregarious,100,0.6919914101064205,1.790800776306805,17.90800776306805,8.105106011199853e-33,4.2326664725154786e-30,True,+,0.84
playful,extroverted,100,0.43089416131377223,1.7894380874280684,17.894380874280685,8.586952527148223e-33,4.24828177658912e-30,True,+,0.68
playful,playful,100,1.1014858064055444,1.7826244131828772,17.826244131828773,1.1465634093214515e-32,5.388848023810822e-30,True,+,0.91
playful,rebellious,100,0.4077286388725042,1.7666281570730569,17.666281570730572,2.2655409024833722e-32,1.0140992611116047e-29,True,+,0.41
casual,emotional,100,0.4826282060146332,1.7644841088211385,17.644841088211383,2.4826914196684547e-32,1.0607863338583397e-29,True,+,0.58
casual,confrontational,100,-0.36396031111478805,-1.7509987180351956,-17.509987180351956,4.421027967062154e-32,1.806854908277576e-29,True,-,0.58
entertaining,entertaining,100,0.8066978626698256,1.7470733241569902,17.470733241569903,5.231877096072361e-32,1.9981367049551915e-29,True,+,0.79
playful,artistic,100,0.538162594884634,1.7467096561976034,17.467096561976035,5.314193364242531e-32,1.9981367049551915e-29,True,+,0.62
casual,stoic,100,-0.5325736427307128,-1.7451727112388253,-17.451727112388255,5.676733272461854e-32,2.0263099476382134e-29,True,-,0.65
casual,impatient,100,0.44299001872539523,1.7445914245445244,17.445914245445245,5.820251977258698e-32,2.0263099476382134e-29,True,+,0.52
casual,playful,100,0.5553951174020767,1.7417067772684107,17.41706777268411,6.588392057958092e-32,2.2118173337430737e-29,True,+,0.65
