trait,composite_score,n_total_axes,n_significant_axes,pct_significant_axes,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_axis,top_direction
playful,190.0980163068637,188,171,0.9095744680851063,1.1116843058880919,1.927883184537462,0.5127485380116958,animated,+
casual,160.31210483588706,188,163,0.8670212765957447,0.983509845618939,2.078453327857808,0.4033128834355825,formal,-
entertaining,154.5755054134233,188,167,0.8882978723404256,0.9256018288228939,1.79351912385158,0.42760479041916183,condescending,+
pessimistic,119.86004210837226,188,152,0.8085106382978723,0.7885529086077122,1.6230437565320404,0.40421052631578963,condescending,+
narrative,114.29038123736743,188,162,0.8617021276595744,0.7054961804775767,1.4175246993622332,0.40685185185185174,entertaining,+
spontaneous,111.88661846094772,188,154,0.8191489361702128,0.7265364835126475,1.4773328757211972,0.35753246753246753,entertaining,+
speculative,111.483132402913,188,148,0.7872340425531915,0.7532644081277905,1.5577045676905703,0.36231384445670134,condescending,+
anxious,108.97063595183785,188,152,0.8085106382978723,0.7169120786305122,1.5618332971834645,0.3720394736842104,forgiving,+
humble,107.79336852387323,188,154,0.8191489361702128,0.6999569384667093,1.412758353092907,0.36305194805194796,forgiving,+
inspirational,107.76577126262785,188,147,0.7819148936170213,0.7331004847797813,1.4529730638267189,0.3635374149659865,extroverted,+
intuitive,104.56167231215392,188,148,0.7872340425531915,0.7064977858929319,1.3658645949997696,0.3615540540540541,entertaining,+
accessible,103.58212606231382,188,152,0.8085106382978723,0.6814613556731173,1.2245448943832797,0.36171052631578954,emotional,+
empathetic,100.49758275929362,188,150,0.7978723404255319,0.6699838850619575,1.3930386955592955,0.39333333333333353,condescending,+
reactive,97.98183992035405,188,156,0.8297872340425532,0.628088717438167,1.1772680599312781,0.352952602952603,condescending,+
skeptical,95.43411310359537,188,147,0.7819148936170213,0.6492116537659549,1.2992475559575531,0.3412925170068028,condescending,+
inquisitive,91.96454499827081,188,145,0.7712765957446809,0.6342382413673849,1.2230927688954027,0.32613793103448285,entertaining,+
inclusive,91.0963502833649,188,145,0.7712765957446809,0.628250691609413,1.2218420572057354,0.36013793103448277,entertaining,+
resilient,89.24836873635809,188,143,0.7606382978723404,0.6241144666878188,1.2709584830704799,0.33481669845306217,condescending,+
verbose,88.43888993976094,188,141,0.75,0.6272261697855386,1.2222760721840673,0.3386524822695037,philosophical,+
supportive,87.11104838706973,188,150,0.7978723404255319,0.5807403225804648,1.1622242631876851,0.3581333333333333,forgiving,+
stoic,86.97288588896913,188,124,0.6595744680851063,0.7013942410400736,1.3830241714281775,0.3662531017369726,provocative,+
flexible,85.83805534965386,188,151,0.8031914893617021,0.5684639427129394,1.1043094501651805,0.3448344370860926,condescending,+
