rank,trait,abs_mean_sum
1,playful,68.28305052740502
2,entertaining,50.989455745741736
3,casual,41.194997782334696
4,narrative,37.574605475664114
5,pessimistic,36.84469681649463
6,anxious,31.644093572888515
7,speculative,31.56550348709262
8,inspirational,31.120306010264894
9,humble,31.116135778296726
10,empathetic,31.111370963472854
11,spontaneous,30.92959489699453
12,intuitive,29.810737874330957
13,accessible,29.217008325196794
14,reactive,28.137186599989427
15,skeptical,27.9064347922895
16,inclusive,26.031283082179716
17,stoic,25.978393589791207
18,verbose,25.258365656752133
19,supportive,24.657459960468117
20,optimistic,24.06518028001302
21,grounded,23.38418529028074
22,inquisitive,23.233246899694215
23,concise,22.715394984804888
24,resilient,22.534974336003252
25,transparent,22.314394039995967
26,adaptable,21.987471409421413
27,flexible,21.969559236923246
28,curious,21.272004935201263
29,formal,21.15826231652872
30,patient,21.136102133439845
31,cautious,20.969144455306235
32,independent,20.234642474334695
33,agreeable,19.73617705132811
34,big_picture,19.371202378980808
35,collaborative,18.822222085632383
36,calm,18.394374869801094
37,open_ended,17.737073360811923
38,practical,16.323846875950704
39,data_driven,16.25585590973497
40,traditional,16.034438984848702
41,problem_solving,15.225824904479088
42,proactive,14.42394586903974
43,analytical,14.221108936909584
44,confident,13.13618445643224
45,educational,11.89278551878408
46,strategic,11.702285175435243
47,conscientious,11.643347391914565
48,serious,11.556188145317133
49,methodical,11.498318041544414
50,factual,8.43889862917364
