rank,trait,abs_mean_sum
1,playful,19.35206972108223
2,casual,15.541837076265367
3,pessimistic,12.83754955649376
4,entertaining,12.775372526235882
5,anxious,11.782303326195107
6,humble,10.541794018745424
7,empathetic,10.390699041970073
8,narrative,10.192865189053117
9,concise,10.19231391474101
10,spontaneous,9.87665474327281
11,accessible,9.577962790858
12,intuitive,9.245026593217625
13,reactive,9.099004955322602
14,skeptical,8.677424349738288
15,grounded,8.317866274546834
16,inclusive,8.295154728777707
17,supportive,7.748638454396275
18,cautious,7.12822545375675
19,speculative,7.060898500589692
20,inspirational,6.923958482891321
21,patient,6.847425859142095
22,flexible,6.430116474721582
23,adaptable,6.28201344328001
24,formal,6.235864576343449
25,agreeable,6.222550224550068
26,transparent,6.007556487917899
27,resilient,5.943618055132001
28,optimistic,5.828456920068711
29,independent,5.823803538717331
30,inquisitive,5.661711669433862
31,curious,5.600459201894702
32,calm,5.598744384963066
33,verbose,5.597191779427231
34,practical,5.22111242070794
35,collaborative,5.115605261605233
36,stoic,4.5752654487410425
37,open_ended,4.455753356199712
38,big_picture,4.347219205219298
39,traditional,4.141773497685791
40,problem_solving,4.084041430316864
41,proactive,3.2296472622826706
42,data_driven,3.085137730855494
43,conscientious,2.9971326468326156
44,analytical,2.625667031239718
45,confident,2.4684182876348504
46,educational,2.468089491277934
47,strategic,2.128197890240699
48,serious,2.0512895588018
49,factual,1.9363773779198523
50,methodical,1.846142729520798
