rank,trait,abs_mean_sum
1,playful,48.930980806322786
2,entertaining,38.21408321950584
3,narrative,27.381740286611027
4,casual,25.653160706069336
5,speculative,24.504604986502923
6,inspirational,24.196347527373582
7,pessimistic,24.007147260000924
8,stoic,21.403128141050164
9,spontaneous,21.052940153721718
10,empathetic,20.720671921502785
11,humble,20.574341759551306
12,intuitive,20.56571128111332
13,anxious,19.861790246693413
14,verbose,19.661173877324902
15,accessible,19.6390455343388
16,skeptical,19.229010442551225
17,reactive,19.038181644666825
18,optimistic,18.236723359944296
19,inclusive,17.73612835340201
20,inquisitive,17.57153523026035
21,supportive,16.908821506071835
22,resilient,16.591356280871256
23,transparent,16.306837552078072
24,adaptable,15.70545796614141
25,curious,15.671545733306557
26,flexible,15.539442762201654
27,grounded,15.066319015733892
28,big_picture,15.023983173761518
29,formal,14.92239774018526
30,independent,14.410838935617361
31,patient,14.288676274297764
32,cautious,13.840919001549484
33,collaborative,13.706616824027156
34,agreeable,13.513626826778047
35,open_ended,13.281320004612207
36,data_driven,13.170718178879472
37,calm,12.795630484838043
38,concise,12.52308107006389
39,traditional,11.89266548716291
40,analytical,11.595441905669864
41,proactive,11.19429860675707
42,problem_solving,11.14178347416222
43,practical,11.102734455242757
44,confident,10.667766168797383
45,methodical,9.652175312023617
46,strategic,9.574087285194546
47,serious,9.504898586515331
48,educational,9.424696027506139
49,conscientious,8.646214745081958
50,factual,6.5025212512537856
