condition,axis,num_topics,count,overall_mean,overall_std,overall_variance,between_topic_std,between_topic_variance,mean_within_topic_std,mean_within_topic_variance,pooled_within_topic_std,pooled_within_topic_variance
Neutral,absolutist,5,628,-0.6347004387551433,0.454508153000215,0.20657766114366688,0.4874112998412555,0.23756977521294223,0.12140441898842884,0.016048240926683985,0.1262417106592895,0.01593696951018377
Neutral,abstract,5,628,1.0282416048987655,0.8411278583329275,0.7074960740637373,0.9264472147811268,0.8583044417757072,0.14632783380586561,0.02477335377214999,0.15664383913851115,0.02453729234005176
Neutral,accessible,5,628,1.1311106746363793,0.664144379298104,0.44108775655326377,0.6481859781961976,0.4201450623301616,0.21327007382011268,0.10945218742093432,0.3278100279640116,0.10745941443376608
Neutral,accommodating,5,628,0.9289181100524915,0.3509859189828078,0.12319111532420612,0.3455572895166269,0.11940984033807792,0.13146034429979864,0.028771514722203857,0.16824860525777807,0.02830759317118763
Neutral,acerbic,5,628,-2.719220779124339,0.43572042166812175,0.18985228585864583,0.4631151616175341,0.2144756529200347,0.13268592358194295,0.01947259674162679,0.13903681691336106,0.019331236457399485
Neutral,adventurous,5,628,-0.38711045763105345,0.4667424666374936,0.2178485301628518,0.5191893418740805,0.26955757271564085,0.05597875774123227,0.0035261410184473318,0.0591270631181795,0.0034960095929811824
Neutral,agreeable,5,628,1.6241983889014857,0.32528790860630347,0.10581222348546285,0.34398171491636825,0.11832342019680565,0.10219385495347774,0.011848381259059695,0.1084423016930069,0.011759732796477127
Neutral,altruistic,5,628,4.627736247269211,0.3952347299165078,0.15621049173217488,0.36388461898322233,0.13241201593256488,0.21391683851294233,0.05044058813965292,0.22377855201459426,0.050076840341748474
Neutral,animated,5,628,-0.32472815242400216,0.2428929528741056,0.05899698655590248,0.24080635154677335,0.057987698945268194,0.10282773981800783,0.013054599689862712,0.11364929032705119,0.012916161191842373
Neutral,anxious,5,628,-2.2594900165393854,0.40756848735597884,0.16611207188564067,0.42275103810228754,0.17871844021656175,0.1440539374343626,0.02394345814911536,0.15390172826703555,0.02368574196358045
Neutral,arrogant,5,628,-1.588229572317403,0.5346755042408717,0.28587789483523046,0.5901288432649588,0.34825205165323836,0.0896611044619908,0.009285590547553338,0.09588909795782787,0.009194719107165907
Neutral,artistic,5,628,-0.48882065886619747,0.617534534897995,0.381348901791683,0.6817804763059812,0.4648246178720105,0.09560426765774749,0.011306495224059245,0.10595155585442151,0.011225732187972601
Neutral,ascetic,5,628,0.8331987230095325,0.684327847919966,0.4683046034387722,0.7594839115511218,0.5768158119049923,0.0817933928446791,0.0072038571269759,0.08456204698435113,0.007150739790183608
Neutral,assertive,5,628,0.5804119867029464,0.24159340198622148,0.058367371883276,0.2378011540795456,0.05654938888156379,0.11221106105366929,0.013246452355659485,0.1146921980062369,0.01315430028350185
Neutral,avoidant,5,628,-4.852286026735974,0.43027211602445153,0.1851340938281591,0.39685395058811507,0.15749305809739406,0.23174791531962854,0.05944750068115454,0.2431039543483645,0.05909953261981169
Neutral,benevolent,5,628,3.6930220073955073,0.4214619556002859,0.17763018001841732,0.4331732981637845,0.18763910624209096,0.16255488498543885,0.02881312770604501,0.16923933226479349,0.028641951585433173
Neutral,bitter,5,628,-3.02545530363253,0.4110526761471886,0.1689643025677655,0.410410042477848,0.168436402966669,0.17318923336236838,0.035065539649322366,0.18629577455684518,0.03470611561773489
Neutral,bombastic,5,628,-1.0176243964274219,0.583110646796422,0.3400180264073416,0.6375523160140981,0.4064729556549404,0.11329291683905296,0.017482357512023056,0.13136595493462325,0.017257014115885465
Neutral,callous,5,628,-1.15488913958999,0.20955145256549004,0.04391181127230682,0.20835999657120635,0.043413888171153124,0.090185280473019,0.00938172066853724,0.0964127481801757,0.009295418011653973
Neutral,calm,5,628,2.601062536239624,0.3993302142495074,0.15946462001255748,0.3961483979956259,0.15693355323450084,0.16366329947410596,0.03478469254153885,0.1853166663806438,0.03434226683843484
Neutral,casual,5,628,-2.2234818490732247,0.43506980932639744,0.18928573898730783,0.2897244993274588,0.08394028551054666,0.24441286708208865,0.1241296006363011,0.3492169269383098,0.1219524620602368
Neutral,challenging,5,628,-0.9548766682054967,0.6540124563314241,0.42773229303666294,0.7240192114907847,0.5242038186077377,0.10221411114700192,0.01127452255790879,0.10576990397075708,0.011187272585983175
Neutral,chaotic,5,628,-0.470101439269485,0.6888388523228373,0.47449896446944356,0.7672685560716713,0.5887010371363075,0.07426019724577701,0.0057470133565346365,0.07551318224210304,0.005702240692329067
Neutral,charismatic,5,628,-0.23227500531134332,0.2599111642229555,0.06755381328773216,0.2637470003900718,0.06956248021476054,0.10036035767876132,0.012254878052209503,0.11016845345565954,0.012137088136811821
Neutral,chill,5,628,1.3959445307968528,0.34984685189610115,0.12239281978161254,0.37003469724820287,0.13692567716756918,0.10049925188916668,0.013647025906480833,0.11604057985695292,0.013465416173537867
Neutral,circumspect,5,628,0.5706123432298754,0.29828348664958854,0.08897303840783526,0.30320672277947597,0.09193431673866999,0.10957181835359334,0.015545793491778998,0.12409101744420871,0.01539858061033891
Neutral,closure_seeking,5,628,-1.7853147228052662,0.47123756022186014,0.22206483816385128,0.5059321542850724,0.2559673447395343,0.11331498826543333,0.016437572741538682,0.12789808438419797,0.016357919989147426
